,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Revenue,128.73,126.95,109.22,-,87.01,101.94,94.72,100.54,100.54,108.67,108.67
1,Revenue Growth (YoY),47.95%,24.53%,15.31%,-,-13.46%,-6.19%,-12.83%,-,-,-,-
2,Cost of Revenue,62.6,59.02,51.68,-,47.38,56.87,47.41,53.82,53.82,46.09,46.09
3,Gross Profit,66.13,67.93,57.55,-,39.63,45.07,47.31,46.72,46.72,62.58,62.58
4,"Selling, General & Admin",15.47,5.43,9.84,-,12.06,6.57,6.85,11.16,11.16,5.7,5.7
5,Research & Development,-4.17,4.17,-,-,-3.23,3.23,-,-1.12,-1.12,1.12,1.12
6,Other Operating Expenses,-,-,-,-,-,-,-,-4.37,-4.37,4.37,4.37
7,Operating Expenses,11.3,9.6,9.84,-,8.83,9.8,6.85,5.67,5.67,11.19,11.19
8,Operating Income,54.83,58.33,47.7,-,30.79,35.27,40.46,41.05,41.05,51.39,51.39
9,Interest Expense,-1.71,-,-0.7,-,-1.72,-,-0.83,-0.25,-0.25,-0.22,-0.22
10,Interest & Investment Income,-,0.38,-,-,-,0.11,-,0.66,0.66,0.46,0.46
11,Other Non Operating Income (Expenses),4.48,4.63,4.42,-,2.95,2.5,1.99,-3.36,-3.36,2.71,2.71
12,EBT Excluding Unusual Items,57.6,63.35,51.43,-,32.03,37.88,41.62,38.09,38.09,54.35,54.35
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,0.01,0.01,-,-
14,Pretax Income,57.6,63.35,51.43,-,32.03,37.88,41.62,38.1,38.1,54.35,54.35
15,Income Tax Expense,18.48,20.78,15.13,-,10.11,13.49,13.24,13.84,13.84,18.12,18.12
16,Earnings From Continuing Operations,39.13,42.57,36.3,-,21.92,24.39,28.38,24.26,24.26,36.24,36.24
17,Minority Interest in Earnings,-10.84,-11.45,-10.13,-,-6.07,-7.44,-8.07,-8.37,-8.37,-10.52,-10.52
18,Net Income,28.29,31.12,26.17,-,15.85,16.94,20.32,15.89,15.89,25.72,25.72
19,Net Income to Common,28.29,31.12,26.17,-,15.85,16.94,20.32,15.89,15.89,25.72,25.72
20,Net Income Growth,78.50%,83.65%,28.79%,-,-0.25%,-34.12%,-21.00%,-,-,-,-
21,Shares Outstanding (Basic),1970,2692,1308,-,1552,968,2032,3000,3000,0,0
22,Shares Outstanding (Diluted),1970,2692,1308,-,1552,968,2032,3000,3000,0,0
23,Shares Change (YoY),26.93%,177.98%,-35.60%,-,-48.26%,1210275.00%,2539525.00%,-,-,-,-
24,EPS (Basic),0.01,0.01,0.02,-,0.01,0.02,0.01,0.01,0.01,321.49,321.49
25,EPS (Diluted),0.01,0.01,0.02,-,0.01,0.02,0.01,0.01,0.01,321.49,321.49
26,EPS Growth,40.63%,-33.94%,100.00%,-,92.79%,-99.99%,-100.00%,-,-,-,-
27,Free Cash Flow,43.75,51.98,25.44,-,17.67,30.6,37.21,24.26,24.26,51.19,51.19
28,Free Cash Flow Per Share,0.02,0.02,0.02,-,0.01,0.03,0.02,0.01,0.01,639.89,639.89
29,Dividend Per Share,-,0.027,-,-,-,-,-,-,-,-,-
30,Gross Margin,51.37%,53.51%,52.69%,-,45.54%,44.22%,49.95%,46.47%,46.47%,57.59%,57.59%
31,Operating Margin,42.59%,45.95%,43.68%,-,35.39%,34.60%,42.71%,40.83%,40.83%,47.29%,47.29%
32,Profit Margin,21.97%,24.51%,23.96%,-,18.21%,16.62%,21.45%,15.80%,15.80%,23.67%,23.67%
33,Free Cash Flow Margin,33.98%,40.94%,23.29%,-,20.31%,30.02%,39.28%,24.13%,24.13%,47.11%,47.11%
34,EBITDA,67.07,71.55,59.52,-,40.39,46.37,49.34,50.43,50.43,60.97,60.97
35,EBITDA Margin,52.10%,56.36%,54.50%,-,46.42%,45.49%,52.09%,50.16%,50.16%,56.11%,56.11%
36,D&A For EBITDA,12.24,13.22,11.82,-,9.6,11.1,8.88,9.38,9.38,9.58,9.58
37,EBIT,54.83,58.33,47.7,-,30.79,35.27,40.46,41.05,41.05,51.39,51.39
38,EBIT Margin,42.59%,45.95%,43.68%,-,35.39%,34.60%,42.71%,40.83%,40.83%,47.29%,47.29%
39,Effective Tax Rate,32.07%,32.80%,29.42%,-,31.57%,35.62%,31.81%,36.33%,36.33%,33.33%,33.33%
