,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,1700,1560,1320,1440,1120,-,-,-,-,-,-,-
1,Enterprise Value,1212,1064,864,982,923,-,-,-,-,-,-,-
2,Last Close Price,0.85,0.78,0.63,0.69,0.54,-,-,-,-,-,-,-
3,PE Ratio,14.70,16.46,16.80,22.53,-,-,-,-,-,-,-,-
4,PS Ratio,3.08,3.86,3.80,4.46,-,-,-,-,-,-,-,-
5,PB Ratio,1.75,1.38,1.16,1.31,-,-,-,-,-,-,-,-
6,P/TBV Ratio,1.88,1.88,1.59,1.80,-,-,-,-,-,-,-,-
7,P/FCF Ratio,11.01,11.62,12.92,18.02,-,-,-,-,-,-,-,-
8,P/OCF Ratio,6.87,8.61,8.49,10.49,-,-,-,-,-,-,-,-
9,EV/Sales Ratio,2.35,2.63,2.49,3.04,-,-,-,-,-,-,-,-
10,EV/EBITDA Ratio,4.37,4.85,4.69,6.20,-,-,-,-,-,-,-,-
11,EV/EBIT Ratio,5.63,5.97,5.88,7.97,-,-,-,-,-,-,-,-
12,EV/FCF Ratio,7.85,7.93,8.46,12.30,-,-,-,-,-,-,-,-
13,Debt / Equity Ratio,-,-,0.03,0.03,-,-,0.04,0.04,0.04,0.04,-,0.06
14,Debt / EBITDA Ratio,-,-,0.10,0.12,-,-,0.15,0.15,0.14,0.14,-,0.12
15,Debt / FCF Ratio,-,-,0.32,0.41,-,-,0.26,0.22,0.20,0.24,-,0.59
16,Asset Turnover,0.41,0.40,-,-,-,-,-,0.45,-,-,-,
17,Inventory Turnover,-,14.70,12.33,-,-,-,-,-,11.54,-,-,-
18,Quick Ratio,4.24,4.24,3.96,3.84,-,-,2.11,-,1.98,1.98,-,-
19,Current Ratio,4.58,4.58,4.22,4.12,-,-,2.34,-,2.27,2.27,-,-
20,Return on Equity (ROE),15.06%,16.46%,-,-,-,13.87%,16.79%,14.35%,-,-,-,
21,Return on Assets (ROA),10.89%,11.55%,-,-,-,-,-,11.58%,-,-,-,
22,Return on Capital (ROIC),13.00%,13.70%,-,-,-,12.03%,14.32%,14.53%,-,-,-,
23,Return on Capital Employed (ROCE),17.89%,14.81%,12.18%,10.57%,-,-,19.77%,-,25.00%,19.45%,-,-
24,Earnings Yield,6.35%,6.08%,5.95%,4.44%,-,-,-,-,-,-,-,-
25,FCF Yield,9.08%,8.60%,7.74%,5.55%,-,-,-,-,-,-,-,-
26,Dividend Yield,6.94%,-,4.66%,-,-,-,-,-,-,-,-,-
27,Payout Ratio,79.04%,189.58%,-,-,-,-,-,-,122.38%,122.38%,-,-
28,Buyback Yield / Dilution,1.12%,-26.93%,-177.98%,35.60%,-,48.26%,-1210275.00%,-2539525.00%,-,-,-,-
29,Total Shareholder Return,8.06%,-26.93%,-173.32%,35.60%,-,48.26%,-1210275.00%,-2539525.00%,-,-,-,-
