,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,601.14,661.32,609.07,-,-,350,-,282.19,282.19,-,-
1,Short-Term Investments,-,-,-,-,-,0.44,-,0.48,0.48,-,-
2,Cash & Short-Term Investments,601.14,661.32,609.07,-,-,350.44,282.67,282.67,282.67,-,183.08
3,Cash Growth,-,88.71%,115.47%,-,-,-,54.40%,-,-,-,-
4,Other Receivables,-,-,-,-,-,7.2,-,7.2,7.2,-,-
5,Receivables,-,-,-,-,-,7.2,-,7.2,7.2,-,-
6,Inventory,16.79,17.28,21,-,-,11.31,-,18.65,18.65,-,-
7,Other Current Assets,30.35,25.8,23.58,-,-,27.8,-,23.36,23.36,-,-
8,Total Current Assets,648.28,704.4,653.65,-,-,396.76,-,331.88,331.88,-,-
9,"Property, Plant & Equipment",455.3,459.03,451.33,-,-,435.82,-,416.65,416.65,-,-
10,Other Intangible Assets,112.24,114.19,116.25,-,-,121.11,-,125.09,125.09,-,-
11,Long-Term Deferred Tax Assets,7.85,7.26,7.18,-,-,6.32,-,5.91,5.91,-,-
12,Other Long-Term Assets,4.26,5.48,6.23,-,-,7.54,-,6.53,6.53,-,-
13,Total Assets,1228,1290,1235,-,-,967.55,-,886.05,886.05,-,-
14,Accounts Payable,11.98,10.91,12.93,-,-,9.58,-,12.43,12.43,-,-
15,Accrued Expenses,-,-,-,-,-,11.84,-,11.78,11.78,-,-
16,Short-Term Debt,-,30,30,-,-,30,-,30,30,-,-
17,Current Income Taxes Payable,97.07,95.72,90.31,-,-,87.31,-,73.65,73.65,-,-
18,Current Unearned Revenue,0.04,0.09,0.13,-,-,0.26,-,0.34,0.34,-,-
19,Other Current Liabilities,32.54,30.14,25.22,-,-,30.4,-,18.24,18.24,-,-
20,Total Current Liabilities,141.63,166.85,158.58,-,-,169.37,-,146.43,146.43,-,-
21,Long-Term Deferred Tax Liabilities,14.67,17.74,14.62,-,-,13.72,-,9.54,9.54,-,-
22,Other Long-Term Liabilities,49.4,49.26,49.11,-,-,54.39,-,53.98,53.98,-,-
23,Total Liabilities,205.7,233.85,222.31,-,-,237.48,-,209.95,209.95,-,-
24,Common Stock,18.17,18.17,18.17,-,-,0,-,0,0,-,-
25,Additional Paid-In Capital,-,214.66,-,-,-,-,-,-,-,-,-
26,Retained Earnings,-,269.72,-,-,-,194.4,-,157.14,157.14,-,-
27,Comprehensive Income & Other,843.48,384.23,835.88,-,-,397.92,-,396.73,396.73,-,-
28,Total Common Equity,861.66,886.79,854.05,-,-,592.33,553.87,553.87,553.87,-,488.64
29,Minority Interest,160.57,169.73,158.28,-,-,137.74,-,122.23,122.23,-,-
30,Shareholders' Equity,1022,1057,1012,-,-,730.07,676.1,676.1,676.1,-,529.55
31,Total Liabilities & Equity,1228,1290,1235,-,-,967.55,-,886.05,886.05,-,-
32,Total Debt,-,30,30,-,-,30,30,30,30,-,30
33,Net Cash (Debt),601.14,631.32,579.07,-,-,320.44,252.67,252.67,252.67,-,153.08
34,Net Cash Growth,-,97.01%,129.18%,-,-,-,65.06%,-,-,-,-
35,Net Cash Per Share,0.31,0.23,0.44,-,-,0.33,0.12,0.08,0.08,-,1913.50
36,Filing Date Shares Outstanding,1970,2000,1308,-,1552,0.08,2032,0.08,0.08,0.08,0.08
37,Total Common Shares Outstanding,1970,2000,1308,-,1552,0.08,2032,0.08,0.08,0.08,0.08
38,Working Capital,506.64,537.55,495.07,-,-,227.38,-,185.45,185.45,-,-
39,Book Value Per Share,0.44,0.44,0.65,-,-,7404.06,6923.39,6923.39,6923.39,-,6107.96
40,Tangible Book Value,749.41,772.6,737.8,-,-,471.22,428.78,428.78,428.78,-,356.32
41,Tangible Book Value Per Share,0.38,0.39,0.56,-,-,5890.19,5359.76,5359.76,5359.76,-,4453.94
42,Buildings,-,-,-,-,-,3.23,-,3.23,3.23,-,-
43,Machinery,-,-,-,-,-,215.95,-,211.15,211.15,-,-
44,Leasehold Improvements,-,-,-,-,-,4.09,-,4.09,4.09,-,-
