,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,-,75.43,541.92,1365,1967,1895,1967,1604,1545,953.49,891.01,845.2,1478,182.64,500.12,-,221.6
1,Trading Asset Securities,-,2400,2038,1679,1514,1551,1548,2196,1719,1847,1986,2324,1976,891.4,653.69,-,795.65
2,Cash & Short-Term Investments,2475,2475,2580,3044,3481,3445,3515,3800,3264,2801,2877,3169,3454,1074,1154,1017,1017
3,Cash Growth,-28.90%,-28.16%,-26.60%,-19.89%,6.65%,23.01%,22.17%,19.90%,-5.49%,160.77%,149.37%,211.53%,239.50%,-,-,-,-
4,Accounts Receivable,-,508.97,479.72,403.5,351.93,297.23,295.39,500.6,839.62,645.52,492.95,509.44,322.32,381.83,218.45,-,226.24
5,Other Receivables,-,4.04,3.91,3.94,4.07,4.71,5.88,5.52,7.72,42.22,10.61,14.74,4.67,19.41,14.2,-,4.57
6,Receivables,-,513.01,483.64,407.44,356.01,301.95,301.27,506.12,847.35,687.73,503.55,524.18,326.99,401.24,232.65,-,230.81
7,Inventory,-,375.57,361.27,361.45,346.25,415.75,418.72,394.06,364.2,672.01,692.53,417.06,242.19,277.84,250.65,-,132.37
8,Prepaid Expenses,-,-,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,Other Current Assets,-,62.58,61.72,52.11,47.12,50.63,60.89,111.18,89.71,122.84,121.69,324.97,28.1,26.2,27.81,-,15.27
10,Total Current Assets,-,3426,3487,3865,4230,4214,4296,4811,4565,4283,4195,4435,4051,1779,1665,-,1396
11,"Property, Plant & Equipment",-,736.33,751.37,769.42,767.3,736.93,735.24,708.4,679.48,892.33,807.3,397.09,308.98,275.81,239.55,-,128.5
12,Long-Term Investments,-,52.3,52.33,52.11,47.3,47.27,22.31,22.31,22.31,9.84,16.68,17.81,18.48,19.28,19.73,-,-
13,Goodwill,-,130.49,130.49,130.49,130.49,130.49,130.49,130.49,130.49,130.62,-,-,-,-,-,-,-
14,Other Intangible Assets,-,95.03,97.15,98.45,101.24,98.36,98.56,49.88,49.7,38.33,18.63,16.8,16.65,14.8,13,-,7.42
15,Long-Term Deferred Tax Assets,-,127.05,116.65,113.75,106.51,97.83,89.84,76.05,67.12,26.59,20.59,24.25,24.87,24.74,14.05,-,9.09
16,Long-Term Deferred Charges,-,295.78,307.57,310.41,280.54,284.1,289.59,311.09,318.31,206.34,129.29,135.89,145,139.39,146.55,-,62.72
17,Other Long-Term Assets,-,34.37,37.49,73.63,82.53,103.48,93.82,209.11,172.69,297.69,281.55,431.92,42.25,36.17,37.39,-,8.22
18,Total Assets,-,4897,4980,5413,5746,5712,5756,6318,6005,5885,5469,5459,4607,2290,2135,-,1612
19,Accounts Payable,-,83.31,104.74,122.23,146.82,163.07,176.14,243.77,318.78,369.53,335.34,390.96,118.76,93.89,101.99,-,58.58
20,Accrued Expenses,-,80.5,81.95,61.27,112.52,74.05,79.32,78.29,258.07,106.22,100.99,54.76,104.7,44.59,43.73,-,54.62
21,Short-Term Debt,-,456.78,472.34,884.67,1134,1168,1155,1009,272.21,200,-,-,-,-,-,-,1.15
22,Current Portion of Leases,-,44.15,38.49,50.25,46.16,60.7,60.73,54.26,58.25,66.81,70.83,40.02,31.25,-,-,-,-
23,Current Income Taxes Payable,-,12.21,0.19,8.03,0.03,14.68,0.01,9.36,0.54,29.72,40.91,109.92,20.02,41.75,35.66,-,31.57
24,Current Unearned Revenue,-,37.61,44.69,43.87,55.92,43.24,67.27,133.7,214.55,107.74,105.7,162.6,95.03,86.35,83.47,-,85.42
25,Other Current Liabilities,-,16.66,20.96,10.53,24.09,5.78,10.91,10.76,31.67,12.55,22.86,10.09,17.5,28.71,32.8,-,7.89
26,Total Current Liabilities,-,731.22,763.35,1181,1520,1529,1549,1539,1154,892.57,676.63,768.35,387.26,295.29,297.65,-,239.23
27,Long-Term Leases,-,159.11,172.37,147.29,106.89,77.54,107.71,125.76,127.68,150.71,127.68,84.04,59.93,56.43,63.03,-,-
28,Long-Term Unearned Revenue,-,49.27,48.75,32.8,21.38,18.43,18.95,22.37,19.25,22.71,22.86,23.51,16.24,18.14,18.36,-,15.36
29,Long-Term Deferred Tax Liabilities,-,1.32,1.23,1.51,1.51,5.17,2.74,3.17,11.19,39.89,1.51,2.22,0.87,0.98,0.57,-,0.1
30,Other Long-Term Liabilities,-,18.51,17.63,53.24,67.6,64.03,60.28,77.24,80.92,12.91,15.38,20.32,15.52,30.64,27.63,-,24.59
31,Total Liabilities,-,959.43,1003,1416,1717,1695,1739,1768,1393,1119,844.05,898.45,479.83,401.48,407.23,-,279.28
32,Common Stock,-,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,360,360,-,360
33,Additional Paid-In Capital,-,2477,2475,2463,2442,2423,2421,2419,2429,2428,2426,2424,2422,350.74,349.04,-,345.3
34,Retained Earnings,-,1187,1225,1214,1209,1203,1198,1729,1780,1935,1799,1737,1305,1177,1019,-,627.06
35,Treasury Stock,-,-124.04,-120.03,-76.9,-20.01,-5.73,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,-0.58,-2.42,-1.96,-1.72,-3.14,-3.36,1.43,-,-,-,-,-,-,-,-,-
37,Total Common Equity,3939,3939,3978,3998,4029,4017,4016,4549,4609,4763,4625,4561,4127,1888,1728,1332,1332
38,Minority Interest,-,-1.25,-0.96,-0.45,-0.11,0.47,0.9,1.77,3.2,3.68,-0,-0,-,-,-,-,-
39,Shareholders' Equity,3938,3938,3977,3998,4029,4018,4017,4551,4612,4766,4625,4561,4127,1888,1728,1332,1332
40,Total Liabilities & Equity,-,4897,4980,5413,5746,5712,5756,6318,6005,5885,5469,5459,4607,2290,2135,-,1612
41,Total Debt,660.03,660.03,683.19,1082,1287,1306,1323,1189,458.14,417.53,198.5,124.06,91.18,56.43,63.03,1.15,1.15
42,Net Cash (Debt),1815,1815,1897,1962,2194,2139,2192,2611,2806,2383,2679,3045,3362,1018,1091,1016,1016
43,Net Cash Growth,-17.27%,-15.16%,-13.45%,-24.85%,-21.81%,-10.24%,-18.17%,-14.26%,-16.56%,134.20%,145.58%,199.67%,230.91%,-,-,-,-
44,Net Cash Per Share,2.97,6.45,6.62,3.76,5.92,5.41,5.20,6.70,7.15,5.95,6.64,7.62,9.04,2.83,3.05,2.81,2.81
45,Filing Date Shares Outstanding,610.79,281.42,395.31,397,397,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,360,360,361.84,360
46,Total Common Shares Outstanding,610.79,281.42,395.31,397,397,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,360,360,361.84,360
47,Working Capital,-,2695,2723,2684,2711,2684,2747,3272,3411,3391,3518,3667,3664,1484,1367,-,1156
48,Book Value Per Share,14.00,14.00,10.06,10.07,10.15,10.04,10.04,11.37,11.52,11.91,11.56,11.40,10.32,5.24,4.80,3.70,3.70
49,Tangible Book Value,3714,3714,3750,3769,3798,3788,3787,4369,4429,4594,4606,4544,4111,1873,1715,1325,1325
50,Tangible Book Value Per Share,13.20,13.20,9.49,9.49,9.57,9.47,9.47,10.92,11.07,11.48,11.52,11.36,10.28,5.20,4.76,3.68,3.68
51,Machinery,-,-,679.11,-,656.11,-,630.17,-,513.97,-,458.02,-,250.31,-,181.4,-,119.03
52,Construction In Progress,-,-,69.89,-,127.48,-,79.86,-,69.44,-,218.51,-,-,-,-,-,36.81
