,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,385.05,337.94,346.4,301.57,414.29,298.38,268.72,302.19,1260,685.3,644.37,975.34,576.22,481.38,265.61,541.64,420.75
1,Other Revenue,-,-1.3,1.3,-,2.41,-0.12,0.12,-,3.81,-0,0,-,3.78,-18.31,18.31,-,5.45
2,Revenue,385.05,336.64,347.7,301.57,416.69,298.26,268.84,302.19,1264,685.3,644.38,975.34,580,463.07,283.92,541.64,426.2
3,Revenue Growth (YoY),-7.59%,12.87%,29.33%,-0.21%,-67.03%,-56.48%,-58.28%,-69.02%,117.93%,47.99%,126.96%,80.07%,36.08%,-,-,-,-
4,Cost of Revenue,1144,89.29,114.48,87.26,262.19,18.19,139.83,94.68,766.59,155.7,224.34,246.09,218.71,44.49,85.84,40.93,92.46
5,Gross Profit,-758.51,247.35,233.22,214.32,154.5,280.07,129.02,207.52,497.39,529.6,420.04,729.25,361.29,418.58,198.08,500.71,333.74
6,"Selling, General & Admin",-499.69,173.51,169.28,156.9,206.38,159.35,173.67,169.47,292.38,210.85,176.74,139,181.15,145.15,101.43,71.57,90.25
7,Research & Development,-214.51,72.02,71.72,70.76,92.24,74.49,86.98,84.91,126.21,112.93,85.81,71.16,82.46,63.35,46.33,38.19,40.18
8,Other Operating Expenses,-7.72,1.56,4.09,2.07,-0.74,-23.66,1.25,-13.16,17.15,1.99,-0.36,0.5,5.48,1.54,-0.21,0.23,10.33
9,Operating Expenses,-733.41,251.39,250.65,231.37,311.44,211.74,251.78,228.94,504.24,336.5,263.21,222.09,268.06,220.06,147.74,112.87,151.22
10,Operating Income,-25.1,-4.03,-17.43,-17.06,-156.94,68.32,-122.76,-21.42,-6.85,193.1,156.83,507.16,93.23,198.51,50.33,387.84,182.52
11,Interest Expense,-20.56,-7,-7.53,-8.96,-7.54,-12.27,-10.22,-5.04,-4.91,-2.68,-1.34,-3.55,-1.27,-1.15,-1.06,-0.38,-
12,Interest & Investment Income,23.5,2.19,8.34,10.03,14.65,24,13.07,8.53,8.96,20.39,20.25,15.83,11.64,6.24,5.22,4.05,7.12
13,Currency Exchange Gain (Loss),-,0.58,-0.58,-,3.18,-6.44,6.44,-,5.04,0.01,-0.01,-,-2.32,0.84,-0.84,-,-3.9
14,Other Non Operating Income (Expenses),3.95,-1.86,1.85,-0.8,-8.2,-5.06,1.77,-3.37,-45.83,2.72,1.11,-3.04,2.06,-2.12,-0.84,0.01,11.03
15,EBT Excluding Unusual Items,-18.22,-10.13,-15.35,-16.79,-154.85,68.55,-111.71,-21.3,-43.59,213.54,176.83,516.4,103.34,202.32,52.81,391.52,196.77
16,Gain (Loss) on Sale of Investments,-42.81,15.07,11.14,16.6,9.92,7.06,12.03,14.03,22.47,13.37,1.08,8.98,-0.69,2.83,-0.14,3.84,0.17
17,Gain (Loss) on Sale of Assets,1.72,-0.57,-1.47,0.32,-0.38,5.5,0.05,-0.06,-1.11,0.57,-0.15,0.04,-2.31,0.18,-0.16,-0.05,-1.76
18,Asset Writedown,18.22,-18.22,8.7,-8.7,82.41,-82.41,60.66,-60.66,-120.07,-84.16,20.34,-20.34,29.63,-29.63,4.04,-4.04,53.03
19,Other Unusual Items,-11.18,5.87,-0.89,6.2,55.44,-,-,-,-94.82,-,-,-,10.96,-,-,-,-4.07
20,Pretax Income,-52.26,-7.99,2.13,-2.36,-7.47,-1.29,-38.97,-67.99,-237.12,143.32,198.1,505.09,140.93,175.7,56.55,391.27,244.15
21,Income Tax Expense,-18.25,-9.7,-8.29,-7.24,-12.32,-5.57,-8.19,-16.78,-81.13,7.77,15.52,73.73,12.86,17.34,1.21,54.75,27.51
22,Earnings From Continuing Operations,-34.01,1.71,10.43,4.88,4.85,4.27,-30.78,-51.21,-155.99,135.56,182.58,431.36,128.07,158.36,55.34,336.51,216.64
23,Minority Interest in Earnings,-1.14,0.29,0.51,0.34,0.58,0.43,0.31,0.59,0.5,0.24,0,0,-,-,-,-,-
24,Net Income,-35.16,2,10.94,5.22,5.43,4.7,-30.47,-50.62,-155.49,135.79,182.58,431.36,128.07,158.36,55.34,336.51,216.64
25,Net Income to Common,-35.16,2,10.94,5.22,5.43,4.7,-30.47,-50.62,-155.49,135.79,182.58,431.36,128.07,158.36,55.34,336.51,216.64
26,Net Income Growth,-,-57.55%,-,-,-,-96.54%,-,-,-,-14.25%,229.90%,28.18%,-40.88%,-,-,-,-
27,Shares Outstanding (Basic),611,281,286,522,371,395,422,389,393,400,403,399,372,360,357,362,361
28,Shares Outstanding (Diluted),611,281,286,522,371,395,422,389,393,400,403,399,372,360,357,362,361
29,Shares Change (YoY),64.78%,-28.79%,-32.07%,33.96%,-5.57%,-1.26%,4.56%,-2.50%,5.50%,11.23%,12.87%,10.38%,2.96%,-,-,-,-
30,EPS (Basic),-0.06,0.01,0.04,0.01,0.01,0.01,-0.07,-0.13,-0.40,0.34,0.45,1.08,0.34,0.44,0.15,0.93,0.60
31,EPS (Diluted),-0.06,0.01,0.04,0.01,0.01,0.01,-0.07,-0.13,-0.40,0.34,0.45,1.08,0.34,0.44,0.15,0.93,0.60
32,EPS Growth,-,-40.38%,-,-,-,-96.49%,-,-,-,-22.90%,192.29%,16.13%,-42.58%,-,-,-,-
33,Free Cash Flow,-,-56.09,-5.36,-111.16,179.3,-130.26,74.59,-203.54,411.04,-155.86,-179.64,-303.24,271.93,-80.54,-11.04,174.49,231.67
34,Free Cash Flow Per Share,-,-0.20,-0.02,-0.21,0.48,-0.33,0.18,-0.52,1.05,-0.39,-0.45,-0.76,0.73,-0.22,-0.03,0.48,0.64
35,Dividend Per Share,-,-,0.030,-,0.100,-,-,-,1.250,-,-,-,0.300,-,-,-,-
36,Dividend Growth,-,-,-,-,-92.00%,-,-,-,316.67%,-,-,-,-,-,-,-,-
37,Gross Margin,-196.99%,73.48%,67.07%,71.07%,37.08%,93.90%,47.99%,68.67%,39.35%,77.28%,65.18%,74.77%,62.29%,90.39%,69.76%,92.44%,78.31%
38,Operating Margin,-6.52%,-1.20%,-5.01%,-5.66%,-37.66%,22.91%,-45.66%,-7.09%,-0.54%,28.18%,24.34%,52.00%,16.07%,42.87%,17.73%,71.60%,42.82%
39,Profit Margin,-9.13%,0.59%,3.15%,1.73%,1.30%,1.58%,-11.33%,-16.75%,-12.30%,19.82%,28.33%,44.23%,22.08%,34.20%,19.49%,62.13%,50.83%
40,Free Cash Flow Margin,-,-16.66%,-1.54%,-36.86%,43.03%,-43.67%,27.75%,-67.35%,32.52%,-22.74%,-27.88%,-31.09%,46.88%,-17.39%,-3.89%,32.22%,54.36%
41,EBITDA,-3.48,17.59,6.04,4.57,-135.31,84.16,-99.86,-5.58,8.99,200.91,169.03,514.98,101.04,201.94,55.79,391.27,185.95
42,EBITDA Margin,-0.90%,5.23%,1.74%,1.51%,-32.47%,28.22%,-37.14%,-1.85%,0.71%,29.32%,26.23%,52.80%,17.42%,43.61%,19.65%,72.24%,43.63%
43,D&A For EBITDA,21.62,21.62,23.47,21.62,21.62,15.84,22.9,15.84,15.84,7.81,12.21,7.81,7.81,3.43,5.46,3.43,3.43
44,EBIT,-25.1,-4.03,-17.43,-17.06,-156.94,68.32,-122.76,-21.42,-6.85,193.1,156.83,507.16,93.23,198.51,50.33,387.84,182.52
45,EBIT Margin,-6.52%,-1.20%,-5.01%,-5.66%,-37.66%,22.91%,-45.66%,-7.09%,-0.54%,28.18%,24.34%,52.00%,16.07%,42.87%,17.73%,71.60%,42.82%
46,Effective Tax Rate,-,-,-,-,-,-,-,-,-,5.42%,7.83%,14.60%,9.12%,9.87%,2.14%,13.99%,11.27%
47,Revenue as Reported,-,336.64,347.7,301.57,416.69,298.26,268.84,302.19,1264,685.3,644.38,975.34,580,463.07,283.92,541.64,426.2
