,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,9393,8811,9614,7944,9320,12808,11540,12196,16240,21257,24729,33961,38237,42401,-,-,-,-
1,Market Cap Growth,-31.21%,-31.21%,-16.69%,-34.87%,-42.61%,-39.74%,-53.33%,-64.09%,-57.53%,-49.87%,-,-,-,-,-,-,-,-
2,Enterprise Value,7577,6995,7716,5982,7181,10670,9349,9587,13861,18877,22050,30916,37219,41383,-,-,-,-
3,Last Close Price,23.90,22.17,24.29,19.88,23.15,31.81,28.66,30.29,38.81,50.80,59.10,81.17,91.04,100.96,-,-,-,-
4,PE Ratio,-,-,407.55,302.09,-616.56,-180.51,-49.77,-,-,-,28.17,37.72,49.46,62.51,-,-,-,-
5,Forward PE,68.29,43.68,48.64,23.36,32.25,48.03,61.23,29.77,31.29,23.21,27.36,36.36,46.40,57.10,-,-,-,-
6,PS Ratio,7.41,6.43,6.85,5.82,7.25,9.96,5.41,4.84,5.61,5.96,8.57,12.75,16.61,22.69,-,-,-,-
7,PB Ratio,1.71,2.24,2.44,2.00,2.33,3.18,2.87,3.04,3.57,4.61,5.19,7.34,8.38,10.27,-,-,-,-
8,P/TBV Ratio,2.37,2.37,2.59,2.12,2.47,3.37,3.05,3.22,3.72,4.80,5.38,7.37,8.42,10.31,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-160.28,-,96.62,-,-93.36,-,-,-,119.49,-,-,-,-
10,P/OCF Ratio,-,-,-,233.86,-,83.72,-,18.80,-,28.91,-,77.24,84.46,68.74,-,-,-,-
11,EV/Sales Ratio,5.53,5.10,5.50,4.38,5.59,8.30,4.38,3.80,4.79,5.29,7.64,11.61,16.17,22.15,-,-,-,-
12,EV/EBITDA Ratio,305.79,-,-72.04,-147.55,-49.04,-,-761.31,-,-,21.12,22.36,31.32,42.60,55.17,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-113.03,-,-,-,23.20,32.35,43.83,56.70,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-133.51,-,75.95,-,-82.90,-,-,-,116.63,-,-,-,-
15,Debt / Equity Ratio,0.17,0.17,0.17,0.17,0.27,0.32,0.33,0.33,0.26,0.10,0.09,0.04,0.03,0.02,0.03,0.04,0.00,0.00
