,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,3306,2372,2811,3864,5126,5425,4136,5399,6316,2600,-,3413,-,3096,3096
1,Trading Asset Securities,-,1273,1752,1559,1302,-,-,1914,1205,-,-,-,-,-,695.29,695.29
2,Cash & Short-Term Investments,4579,4579,4124,4370,5165,5126,5425,6050,6604,6316,2600,3413,3413,-,3791,3791
3,Cash Growth,-11.35%,-10.68%,-23.99%,-27.77%,-21.78%,-18.84%,108.69%,77.29%,93.51%,-,-31.42%,-9.98%,-,-,-,-
4,Accounts Receivable,-,5439,6141,5687,5769,5572,5272,4760,4948,4777,4595,-,4547,-,3436,3436
5,Other Receivables,-,168.28,184.16,242.27,195.62,181.49,207.34,257.23,197.84,281.4,270.63,-,197.89,-,238.5,238.5
6,Receivables,-,5607,6325,5930,5965,5754,5479,5018,5146,5058,4866,-,4745,-,3675,3675
7,Inventory,-,1926,1883,2108,2106,2394,2691,2754,2233,2662,2305,-,1456,-,1725,1725
8,Other Current Assets,-,164.37,164.26,201.35,153.19,225.64,241.7,201.87,181.26,207.52,146.47,-,95.65,-,127.68,127.68
9,Total Current Assets,-,12277,12497,12609,13389,13500,13837,14023,14164,14244,9917,-,9709,-,9318,9318
10,"Property, Plant & Equipment",-,552.6,551.78,564.44,577.09,522.25,561.07,563.35,591.9,627.39,641.94,-,708.54,-,767.3,767.3
11,Long-Term Investments,-,144.88,137.88,159.63,164.54,166.33,173.98,160.42,161.42,140.93,137.2,-,116.11,-,78.21,78.21
12,Other Intangible Assets,-,205.88,145.92,141.6,142.46,141.02,141.76,143.32,147.82,148.73,148.62,-,156.07,-,72.76,72.76
13,Long-Term Accounts Receivable,-,-,16.5,-,21.15,-,1.74,-,2.77,-,4.75,-,6.87,-,27.63,27.63
14,Long-Term Deferred Tax Assets,-,65.42,61.05,65.17,65.22,49.62,50.55,48.27,65.83,45,44.63,-,44.07,-,42.74,42.74
15,Long-Term Deferred Charges,-,111.54,72.9,35.92,6.66,7.06,7.72,8.61,9.53,9.24,10.31,-,12.58,-,14.29,14.29
16,Other Long-Term Assets,-,306.19,166.73,80.23,71.07,54.53,68.87,57.07,67.25,61.97,51.5,-,51.49,-,46.58,46.58
17,Total Assets,-,13663,13649,13656,14438,14441,14843,15004,15210,15277,10956,-,10805,-,10368,10368
18,Accounts Payable,-,4151,4407,4295,5173,4842,5015,4898,5213,5323,4912,-,4795,-,3709,3709
19,Accrued Expenses,-,137.92,216.8,236.52,367.6,99.65,149.71,111.82,379.58,71.79,100.62,-,332.56,-,100.52,100.52
20,Short-Term Debt,-,841.57,971.46,972.3,688.26,1108,1121,1064,880.8,886.77,875.67,-,879.07,-,2310,2310
21,Current Portion of Long-Term Debt,-,732.89,326,386.26,390,176.37,213.5,272.24,177.5,206.22,1,-,1,-,201,201
22,Current Portion of Leases,-,-,41.19,-,57.86,-,47.13,-,55.9,-,59.91,-,94.87,-,71.27,71.27
23,Current Income Taxes Payable,-,45,0.09,-,1.04,54.23,1.1,19.75,1.14,33.61,1.1,-,1.09,-,1.53,1.53
24,Current Unearned Revenue,-,597.88,263.9,256.21,196.07,160.78,173.83,198.38,137.49,110.22,129.44,-,92.34,-,63.36,63.36
25,Other Current Liabilities,-,323.02,166.07,289.85,175.49,120.32,147.82,369.1,218.14,118.1,118.86,-,130.82,-,153.85,153.85
26,Total Current Liabilities,-,6830,6392,6437,7049,6561,6869,6933,7064,6750,6199,-,6327,-,6610,6610
27,Long-Term Debt,-,-,400,400,400,720,730,730,790,840,994.5,-,497.5,-,298,298
28,Long-Term Leases,-,39.1,26.21,37.7,37.38,19.12,44.43,42.18,62.32,79.89,92.25,-,127.02,-,181.34,181.34
29,Long-Term Unearned Revenue,-,263.09,202.62,203.98,210.47,265.22,180.47,187.66,192.92,198.49,157.69,-,172.23,-,151.99,151.99
30,Long-Term Deferred Tax Liabilities,-,29.9,24.2,32.93,32.18,17.1,17.96,15.99,34.06,12.48,12.06,-,9.08,-,3.52,3.52
31,Other Long-Term Liabilities,-,44.21,38.02,51.89,39.2,62.1,54.06,48.8,46.38,32.09,35.88,-,40.79,-,27.91,27.91
32,Total Liabilities,-,7206,7083,7163,7768,7645,7896,7957,8190,7913,7491,-,7173,-,7273,7273
33,Common Stock,-,3419,3419,3419,3419,3419,3419,3419,3419,3419,2735,-,2735,-,2735,2735
34,Additional Paid-In Capital,-,11833,11833,11835,11835,11837,11837,11837,11837,11837,8509,-,8509,-,7467,7467
35,Retained Earnings,-,-8945,-8837,-8934,-8776,-8621,-8491,-8381,-8418,-8023,-7912,-,-7745,-,-7181,-7181
36,Comprehensive Income & Other,-,67.62,59.77,79.46,79.81,80.27,87.93,73.98,73.59,53.65,52.46,-,34.43,-,1.88,1.88
37,Total Common Equity,6374,6374,6475,6399,6558,6715,6852,6949,6911,7286,3384,3534,3534,-,3023,3023
38,Minority Interest,-,82.74,91.37,93.91,111.05,80.69,94.93,98.06,109.64,78.48,80.39,-,97.09,-,72.58,72.58
39,Shareholders' Equity,6457,6457,6566,6493,6669,6796,6947,7047,7021,7364,3465,3631,3631,-,3095,3095
