,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,2342,1158,2019,969.03,2554,1839,2083,1359,2553,1710,1681,961.33,2935,1265,726.68,726.68
1,Other Revenue,-,-4.78,4.78,-,13.21,-3.96,3.96,-,14.19,-3.74,3.74,-,11.75,-3.43,1.72,1.72
2,Revenue,2342,1154,2023,969.03,2567,1835,2087,1359,2567,1707,1684,961.33,2947,1262,728.4,728.4
3,Revenue Growth (YoY),-8.77%,-37.15%,-3.04%,-28.70%,0.00%,7.54%,23.88%,41.39%,-12.90%,35.28%,131.26%,31.98%,-,-,-,-
4,Cost of Revenue,-3176,893.64,1523,759.12,2380,1321,1784,932.22,2381,1366,1411,640.68,2653,1062,642.66,642.66
5,Gross Profit,5518,259.87,500.06,209.9,186.55,514.28,303.26,426.96,185.55,340.54,273.47,320.65,293.61,199.42,85.74,85.74
6,"Selling, General & Admin",-336.17,95.29,132.46,108.43,180.47,123.18,146.69,110.13,200.08,120.53,126.02,111.24,198.47,136.42,114.43,114.43
7,Research & Development,-826.17,291.7,274.8,259.67,413.07,349.27,326.15,281.4,461.4,297.56,307.86,260.77,432.13,282.92,297.16,297.16
8,Other Operating Expenses,6714,-46.06,4.57,-3.88,23.74,-21.57,-17.9,-13.45,80.76,-21.68,-18.68,-16.11,106.29,-38.52,-24.73,-24.73
9,Operating Expenses,5515,319.24,479.92,354.93,655.67,467.1,494.47,377.02,739.43,410.2,468.66,311.78,736.96,414.12,367.34,367.34
10,Operating Income,3,-59.37,20.15,-145.02,-469.12,47.18,-191.21,49.94,-553.88,-69.66,-195.19,8.86,-443.35,-214.69,-281.6,-281.6
11,Interest Expense,-45.36,-10.22,-15.48,-7.58,-24.07,-13.67,-9.31,-9.88,-23.67,-8.33,-15.86,-13.72,-21.36,-30.39,-35.31,-35.31
12,Interest & Investment Income,33.28,10.67,25.03,9.66,19.75,16.87,37.41,17.77,21.09,14.55,10.29,14.66,20.5,18.6,4.22,4.22
13,Currency Exchange Gain (Loss),-,-10.1,10.1,-,10.1,-9.38,9.38,-,16.77,-9.8,9.8,-,-16.03,7.21,-3.6,-3.6
14,Other Non Operating Income (Expenses),-7.09,8.7,2.26,-4.29,-24.68,33.42,-15.83,10.09,-22.89,20.48,0.23,-3.66,12.53,-14.15,-2.48,-2.48
15,EBT Excluding Unusual Items,-16.17,-60.32,42.06,-147.23,-488.02,74.42,-169.56,67.91,-562.59,-52.77,-190.73,6.15,-447.7,-233.43,-318.78,-318.78
16,Gain (Loss) on Sale of Investments,-3.11,0.91,-6.52,8.72,1.83,-,-10.6,10.6,4.62,-,-0.02,0.02,-1.79,-3.5,2.65,2.65
17,Gain (Loss) on Sale of Assets,0.02,-0.07,0.05,0,0.64,-,-0,-,0.25,-,-,-,0.07,0,0.31,0.31
18,Asset Writedown,35.84,-36.53,37.09,-36.4,191.46,-195.17,53.08,-53.25,58.14,-59.02,18.76,-18.55,39.9,-38.03,-1.95,-1.95
19,Other Unusual Items,-,-22.77,22.77,-,174.3,-17.17,17.17,-,151.1,-2.06,2.06,-,147.34,0.91,-0.46,-0.46
20,Pretax Income,16.58,-118.78,95.45,-174.91,-119.8,-137.92,-109.91,25.26,-348.48,-113.85,-169.93,-12.38,-262.18,-274.04,-318.23,-318.23
21,Income Tax Expense,93.91,-1.73,0.82,0.81,4.55,0.93,3.6,-0.55,15.6,-0.9,-2.62,4.77,3.73,-0.77,-0.72,-0.72
22,Earnings From Continuing Operations,-77.34,-117.05,94.63,-175.72,-124.35,-138.85,-113.51,25.82,-364.08,-112.95,-167.31,-17.15,-265.91,-273.27,-317.51,-317.51
23,Minority Interest in Earnings,-28.31,8.63,2.54,17.14,-30.34,9.24,3.12,11.56,-31.09,1.91,7.53,9.18,-27.88,3.37,7.51,7.51
24,Net Income,-105.65,-108.42,97.17,-158.58,-154.69,-129.61,-110.39,37.37,-395.17,-111.04,-159.79,-7.98,-293.79,-269.9,-310.01,-310.01
25,Net Income to Common,-105.65,-108.42,97.17,-158.58,-154.69,-129.61,-110.39,37.37,-395.17,-111.04,-159.79,-7.98,-293.79,-269.9,-310.01,-310.01
26,Shares Outstanding (Basic),3584,4049,2969,3172,4161,2830,3564,3737,3357,2772,2735,-,1194,4215,2735,2735
27,Shares Outstanding (Diluted),3584,4049,2969,3172,4161,2830,3564,3737,3357,2772,2735,-,1194,4215,2735,2735
28,Shares Change (YoY),-13.87%,43.06%,-16.68%,-15.14%,23.95%,2.09%,30.30%,-,181.21%,-34.23%,-,-,-,-,-,-
29,EPS (Basic),-0.03,-0.03,0.03,-0.05,-0.04,-0.05,-0.03,0.01,-0.12,-0.04,-0.06,-,-0.25,-0.06,-0.11,-0.11
30,EPS (Diluted),-0.03,-0.03,0.03,-0.05,-0.04,-0.05,-0.03,0.01,-0.12,-0.04,-0.06,-,-0.25,-0.06,-0.11,-0.11
31,Free Cash Flow,-,475.07,-185.49,-1010,435.67,-98.49,-570.45,-715.89,686.29,-208.56,-321.47,-851.86,562.48,-546,-868.9,-868.9
32,Free Cash Flow Per Share,-,0.12,-0.06,-0.32,0.10,-0.03,-0.16,-0.19,0.20,-0.08,-0.12,-,0.47,-0.13,-0.32,-0.32
33,Gross Margin,235.63%,22.53%,24.71%,21.66%,7.27%,28.02%,14.53%,31.41%,7.23%,19.95%,16.23%,33.35%,9.96%,15.81%,11.77%,11.77%
34,Operating Margin,0.13%,-5.15%,1.00%,-14.97%,-18.27%,2.57%,-9.16%,3.67%,-21.58%,-4.08%,-11.59%,0.92%,-15.04%,-17.02%,-38.66%,-38.66%
35,Profit Margin,-4.51%,-9.40%,4.80%,-16.36%,-6.03%,-7.06%,-5.29%,2.75%,-15.39%,-6.51%,-9.49%,-0.83%,-9.97%,-21.39%,-42.56%,-42.56%
36,Free Cash Flow Margin,-,41.18%,-9.17%,-104.23%,16.97%,-5.37%,-27.34%,-52.67%,26.74%,-12.22%,-19.08%,-88.61%,19.09%,-43.28%,-119.29%,-119.29%
37,EBITDA,18.92,-43.44,44.77,-129.1,-453.19,77.92,-168.21,80.67,-523.15,-37.15,-165.98,41.37,-410.84,-171.92,-238.83,-238.83
38,EBITDA Margin,0.81%,-3.77%,2.21%,-13.32%,-17.65%,4.25%,-8.06%,5.94%,-20.38%,-2.18%,-9.85%,4.30%,-13.94%,-13.63%,-32.79%,-32.79%
39,D&A For EBITDA,15.92,15.92,24.63,15.92,15.92,30.74,23,30.74,30.74,32.51,29.21,32.51,32.51,42.78,42.78,42.78
40,EBIT,3,-59.37,20.15,-145.02,-469.12,47.18,-191.21,49.94,-553.88,-69.66,-195.19,8.86,-443.35,-214.69,-281.6,-281.6
41,EBIT Margin,0.13%,-5.15%,1.00%,-14.97%,-18.27%,2.57%,-9.16%,3.67%,-21.58%,-4.08%,-11.59%,0.92%,-15.04%,-17.02%,-38.66%,-38.66%
42,Effective Tax Rate,566.54%,-,0.86%,-,-,-,-,-,-,-,-,-,-,-,-,-
43,Revenue as Reported,-,1154,2023,969.03,2567,1835,2087,1359,2567,1707,1684,961.33,2947,1262,728.4,728.4
