,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,20444,20376,22598,17231,23521,24649,24444,28547,22495,17162,17538,-,-,-,-,-,-
1,Market Cap Growth,-17.34%,-17.34%,-7.55%,-39.64%,4.56%,43.63%,39.38%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,17561,17493,20330,14751,20499,21627,21270,24703,18270,12937,17042,-,-,-,-,-,-
3,Last Close Price,5.98,5.96,6.61,5.04,6.88,7.21,7.15,8.35,6.58,5.02,5.13,-,-,-,-,-,-
4,PE Ratio,-,-,-,-49.84,-,-,-,-,-35.79,-,-,-,-,-,-,-,-
5,Forward PE,99.67,132.44,220.33,145.66,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.17,3.14,3.37,2.33,3.15,3.14,3.11,3.70,3.07,2.48,2.40,-,-,-,-,-,-
7,PB Ratio,3.21,3.16,3.50,2.62,3.62,3.70,3.60,4.11,3.19,2.44,2.38,-,-,-,-,-,-
8,P/TBV Ratio,3.30,3.30,3.66,2.72,3.76,3.84,3.72,4.25,3.31,2.54,2.46,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-79.36,-,-,-25.97,-,-,-,-24.67,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,635.13,-,-,-29.26,-,-,-,-28.04,-,-,-,-,-,-,-
11,EV/Sales Ratio,2.71,2.70,3.03,1.99,2.75,2.76,2.71,3.20,2.50,1.87,2.33,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-160.71,-,-32.09,-,-,-39.92,-,-28.30,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-96.52,-,-26.98,-,-,-32.82,-,-23.76,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-71.40,-,-,-22.79,-,-,-,-18.60,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.25,0.25,0.25,0.27,0.28,0.24,0.30,0.31,0.30,0.28,0.27,0.58,0.44,0.44,-,0.99,0.99
16,Debt / EBITDA Ratio,-,21.32,-,5.84,-,-,6.49,-,6.53,-,-,-,9.66,-,-,-,-
17,Debt / FCF Ratio,-,-,-5.67,-,-,-1.66,-,-,-,-2.83,-,-,-,-0.93,-,-,-
18,Asset Turnover,-,0.34,0.59,0.28,0.71,0.50,0.56,0.36,0.67,0.52,-,-,-,-,0.28,-,
19,Inventory Turnover,-,-,1.88,3.05,1.44,4.23,2.08,2.62,1.50,3.89,2.20,-,-,-,-,1.49,-
20,Quick Ratio,-,-,1.49,1.63,1.60,1.58,1.66,1.59,1.60,1.66,1.69,1.20,-,1.29,-,1.13,1.13
21,Current Ratio,-,-,1.80,1.96,1.96,1.90,2.06,2.01,2.02,2.01,2.11,1.60,-,1.53,-,1.41,1.41
22,Return on Equity (ROE),-4.79%,-7.19%,5.80%,-10.68%,-7.39%,-8.08%,-6.49%,1.47%,-20.25%,-8.34%,-18.86%,-1.89%,-,-,-41.03%,-,
23,Return on Assets (ROA),-,-1.09%,0.37%,-2.58%,-8.12%,0.81%,-3.20%,0.83%,-9.08%,-1.33%,-,-,-,-,-6.79%,-,
24,Return on Capital (ROIC),0.09%,-1.81%,0.61%,-4.39%,-13.75%,1.32%,-5.24%,1.38%,-15.08%,-2.34%,-9.10%,0.42%,-,-,-11.43%,-,
25,Return on Capital Employed (ROCE),-,-,-,-7.53%,-,-,-8.22%,-,-9.52%,-,-,-,-,-,-,-,-
26,Earnings Yield,-1.35%,-1.35%,-1.44%,-2.01%,-2.35%,-1.45%,-2.45%,-2.03%,-2.79%,-3.93%,-3.26%,-,-,-,-,-,-
27,FCF Yield,-,-1.26%,-4.98%,-5.29%,-3.85%,-2.86%,-2.83%,-2.49%,-4.05%,-4.67%,-,-,-,-,-,-,
28,Payout Ratio,0.00%,-,-,0.66%,-,-,-,-,38.12%,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,3.63%,13.87%,-43.06%,16.68%,15.14%,-23.95%,-2.09%,-30.30%,-,-181.21%,34.23%,-,-,-,-,-,-
30,Total Shareholder Return,3.63%,13.87%,-43.06%,16.68%,15.14%,-23.95%,-2.09%,-30.30%,-,-181.21%,34.23%,-,-,-,-,-,-
