,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Market Capitalization,964540,1233551,747247,711664,557470,533748,865858,937024,2384074,2858517,1740659,1070566,530684,495598,385952,364151,1112462,704292,664276,508211,512213,Upgrade
1,Market Cap Growth,131.11%,131.11%,-13.70%,-24.05%,-76.62%,-81.33%,-50.26%,-12.47%,349.25%,476.78%,351.00%,193.99%,-52.30%,-29.63%,-41.90%,-28.35%,117.19%,49.15%,58.10%,15.45%,13.26%,Upgrade
2,Enterprise Value,-292580,221721,-257046,274501,83671,59949,131489,19698,2454565,3681379,2178695,1618790,1078909,1539394,1047051,1202801,1749723,1341553,1131214,1022338,880567,Upgrade
3,Last Close Price,9400.00,10400.00,6300.00,6000.00,4700.00,4500.00,7300.00,7900.00,20100.00,24100.00,16800.00,13158.42,10272.06,9037.87,7038.34,6640.77,20287.18,12843.68,12113.93,9267.89,9340.86,Upgrade
4,PE Ratio,3.39,-,-2.14,-1.93,-0.90,-,-,-,-,6.69,4.71,4.46,3.06,6.29,5.39,7.41,48.71,31.78,-,22.86,28.26,Upgrade
5,PS Ratio,4.52,16.04,9.52,7.91,5.92,4.34,3.83,3.67,6.66,6.62,5.02,3.30,2.45,4.76,4.84,6.80,20.10,11.95,13.04,10.61,12.36,Upgrade
6,PB Ratio,0.69,0.62,0.42,0.40,0.26,0.35,0.40,0.43,0.97,1.16,0.86,0.77,0.66,0.62,0.53,0.51,1.63,1.05,1.13,0.89,0.95,Upgrade
7,P/TBV Ratio,0.77,0.77,0.56,0.54,0.37,0.49,0.56,0.59,1.33,1.60,1.17,1.04,0.94,0.83,0.72,0.69,2.28,1.47,1.39,1.07,1.12,Upgrade
8,P/FCF Ratio,2.56,-,-,-,-,5.85,-1.65,-,-,-,-,-1.51,-1.40,-,-,-2.66,-2.54,-,-,5.52,-,Upgrade
