,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4560,2954,3024,3085,3856,3850,3934,3950,3503,3165,3651,3922,4532,4661,5712,6822,-,-,-,-
1,Market Cap Growth,-23.28%,-23.28%,-23.12%,-21.91%,10.06%,21.62%,7.76%,0.73%,-22.69%,-32.09%,-36.08%,-42.52%,-,-,-,-,-,-,-,-
2,Enterprise Value,3861,2222,2230,2224,2995,2994,3101,3161,2714,2410,2913,2763,3373,3549,4624,6580,-,-,-,-
3,Last Close Price,31.65,20.50,20.58,20.61,25.76,25.72,27.79,27.53,24.42,22.06,25.45,26.89,31.07,31.96,39.16,46.53,-,-,-,-
4,PE Ratio,39.06,25.38,26.92,28.40,37.92,35.13,34.32,35.47,27.56,22.89,24.55,22.95,22.49,20.91,23.78,25.71,-,-,-,-
5,PS Ratio,5.00,3.25,3.45,3.73,4.78,4.69,4.59,4.80,3.91,3.60,4.41,4.39,5.00,4.89,5.81,6.82,-,-,-,-
6,PB Ratio,2.18,1.37,1.39,1.40,1.78,1.80,2.12,2.10,1.89,1.74,2.04,2.15,2.54,2.68,3.36,4.05,-,-,-,-
7,P/TBV Ratio,1.68,1.68,1.69,1.70,2.17,2.20,2.20,2.19,1.96,1.86,2.17,2.29,2.72,2.77,3.47,4.19,-,-,-,-
8,P/FCF Ratio,51.69,33.48,-,16.97,25.86,26.60,26.91,-,60.33,-10.62,-12.70,-,-,37.88,57.43,-,-,-,-,-
9,P/OCF Ratio,22.16,22.16,-,15.57,20.79,20.61,19.62,18.15,32.28,100.86,83.61,-,-,21.01,30.42,-,-,-,-,-
10,EV/Sales Ratio,4.25,2.44,2.55,2.69,3.71,3.65,3.62,3.84,3.03,2.74,3.51,3.09,3.72,3.72,4.70,6.57,-,-,-,-
11,EV/EBITDA Ratio,19.90,11.38,12.07,12.98,19.02,20.01,21.29,22.41,18.19,14.74,17.18,14.18,14.45,13.35,15.77,20.50,-,-,-,-
12,EV/EBIT Ratio,29.83,16.63,17.87,19.46,29.36,31.25,31.21,33.16,24.45,18.15,20.78,15.90,15.78,14.35,16.80,21.66,-,-,-,-
13,EV/FCF Ratio,43.75,25.19,-,12.24,20.09,20.69,21.21,-,46.74,-8.08,-10.13,-,-,28.84,46.49,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,0.00,0.00,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
15,Debt / EBITDA Ratio,-,-,-,0.00,0.05,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,0.00
16,Debt / FCF Ratio,-,-,-,0.00,0.06,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,0.23
17,Asset Turnover,0.35,0.41,0.36,0.37,0.31,0.38,0.39,0.48,0.42,0.32,0.54,0.46,0.33,0.46,0.77,-,-,-,-,
18,Inventory Turnover,3.88,3.58,3.87,3.33,3.79,3.30,3.75,3.54,4.38,3.61,2.98,4.93,4.30,3.68,5.50,7.31,-,-,-,-
