,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,216.94,236.48,225.26,214.02,185.22,186.57,203.93,233.66,214.75,159.66,277.5,223.55,161.41,227.07,289.8,273.36,190.24,245.08,156.16
1,Other Revenue,-9.21,9.21,-,16.57,-10.9,10.9,-,10.79,-3.85,3.85,-,4.67,-1.96,1.96,-,2.24,-0.86,0.86,-
2,Revenue,207.73,245.69,225.26,230.59,174.32,197.47,203.93,244.45,210.9,163.51,277.5,228.22,159.45,229.03,289.8,275.6,189.38,245.94,156.16
3,Revenue Growth (YoY),19.17%,24.42%,10.46%,-5.67%,-17.34%,20.77%,-26.51%,7.11%,32.27%,-28.61%,-4.25%,-17.19%,-15.81%,-6.88%,85.59%,-,-,-,-
4,Cost of Revenue,151.74,179.25,163.59,174.16,135.61,152.71,150.89,189.35,160.29,126.79,202.3,157.5,112.3,153.43,184.59,173.98,113.91,146.45,92.34
5,Gross Profit,55.99,66.45,61.67,56.43,38.72,44.77,53.04,55.1,50.61,36.72,75.2,70.72,47.15,75.6,105.21,101.62,75.47,99.49,63.82
6,"Selling, General & Admin",15,16.02,13.46,25.39,12.89,12.71,14.07,17.4,13.96,12.85,16.36,15.11,8.48,10.49,8.54,10.09,6.36,4,6.85
7,Research & Development,8.88,9.54,9.3,10.65,6.83,8.27,8.69,9.56,8.75,7.72,8.34,8.78,7.51,10.15,10.96,10.51,7.43,8.33,5.1
8,Other Operating Expenses,1.13,1.06,-2.58,-2.77,1.35,1.06,0.52,4.72,1.12,0.75,1.29,3.76,-0.21,0.72,1.4,5.7,-1.36,1.45,0.81
9,Operating Expenses,24.7,31.16,20.94,30.11,16.29,19.94,24.61,34.98,24.64,15.92,31.08,28.8,13.85,21.14,21.14,26.09,14.25,16.59,12.45
10,Operating Income,31.29,35.29,40.72,26.32,22.43,24.83,28.43,20.12,25.97,20.8,44.12,41.92,33.3,54.46,84.08,75.52,61.22,82.9,51.37
11,Interest Expense,-0.36,-0.07,-,-0.16,-,-0.11,-,-,-,-0.08,-,-,-1,-0.1,-0.02,-0.58,-0,-0.4,-0.01
12,Interest & Investment Income,4.96,3.95,3.15,13.94,0.51,5.7,2.83,4.22,2.86,7.35,3.3,9.74,7.43,1.77,1.58,0.92,0.94,1.12,0.14
13,Currency Exchange Gain (Loss),-0.42,0.42,-,0.5,-1.18,1.18,-,1.66,-0.88,0.88,-,-0.33,0.13,-0.13,-,-0.48,-0.1,0.1,-
14,Other Non Operating Income (Expenses),-1.61,-0.69,0.53,-5.62,5.54,0.15,-0.25,-3.97,3.43,-1.4,1.86,-2.06,0.04,0.33,0.39,-2.8,0.29,2.01,0.03
15,EBT Excluding Unusual Items,33.86,38.9,44.4,34.98,27.3,31.75,31.01,22.04,31.37,27.56,49.28,49.27,39.9,56.33,86.03,72.58,62.36,85.73,51.54
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.13,-0.13
17,Gain (Loss) on Sale of Assets,-0.04,0.22,-,0.19,0.03,-0.1,0,1.04,-0.69,-0.2,0.13,-0.32,0.33,-0.04,-0.09,-0.22,0.12,-0.2,0.19
18,Asset Writedown,-1.25,0.25,-0.25,-2.46,0.49,0.99,-0.99,-2.63,1.31,1.17,-0.61,-1.98,-0.88,-,-,0.75,-0.75,0.84,-0.84
19,Other Unusual Items,-0.76,0.71,-,-2.8,-,-,-,14.88,-,-,-,5.19,-,-,-,3.28,1.41,-1.41,-
20,Pretax Income,31.81,40.08,44.16,29.91,27.82,32.64,30.02,35.33,32,28.54,48.81,52.17,39.35,56.29,85.94,76.4,63.14,85.09,50.75
21,Income Tax Expense,3.98,4.9,5.77,2,4.41,3.96,3.57,2.67,5.15,3.12,6.61,8.35,2.11,8.68,13.1,11.12,8.7,12.3,7.41
22,Earnings From Continuing Operations,27.82,35.18,38.38,27.91,23.41,28.68,26.44,32.66,26.85,25.42,42.2,43.82,37.24,47.61,72.84,65.28,54.44,72.79,43.35
23,Minority Interest in Earnings,-1.94,-2.79,-5.01,-3.16,-1.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,25.89,32.39,33.37,24.75,21.81,28.68,26.44,32.66,26.85,25.42,42.2,43.82,37.24,47.61,72.84,65.28,54.44,72.79,43.35
25,Net Income to Common,25.89,32.39,33.37,24.75,21.81,28.68,26.44,32.66,26.85,25.42,42.2,43.82,37.24,47.61,72.84,65.28,54.44,72.79,43.35
