,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,520.36,670.16,800.41,798.76,884.3,815.55,713.4,674.38,789.31,755.64,738.08,809.79,1159,1112,1088,242.46,-,-,-
1,Trading Asset Securities,240,120,50,110,40,40,120,170,-,-,-,30,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,760.36,790.16,850.41,908.76,924.3,855.55,833.4,844.38,789.31,755.64,738.08,839.79,1159,1112,1088,242.46,-,-,143.54
3,Cash Growth,-17.74%,-7.64%,2.04%,7.62%,17.10%,13.22%,12.91%,0.55%,-31.87%,-32.04%,-32.16%,246.36%,-,-,657.93%,-,-,-,-
4,Accounts Receivable,432.36,435.58,379.76,424.59,420.23,358.74,398.13,365.39,320.76,352.81,454.16,340.31,244.67,393.28,474.89,397.99,-,-,-
5,Other Receivables,1.22,5.18,5.5,1.07,4.35,4.25,7.08,8.15,4,3.74,5.11,5.92,4.01,5.13,7,7,-,-,-
6,Receivables,433.58,440.76,385.26,425.66,424.58,362.99,405.21,373.53,324.76,356.55,459.27,346.22,248.68,398.41,481.89,405,-,-,-
7,Inventory,169.31,169.77,200.61,191.88,175.61,153.38,172.33,168.43,177.14,177.95,162.56,165.95,126.99,116.93,106.24,95.73,-,-,-
8,Other Current Assets,7.16,4.14,6.58,6.26,7.05,6.12,6.66,9.46,60.64,28.8,35.64,26.5,13.17,6.98,8.55,5.38,-,-,-
9,Total Current Assets,1370,1405,1443,1533,1532,1378,1418,1396,1352,1319,1396,1378,1547,1634,1685,748.56,-,-,-
10,"Property, Plant & Equipment",463.94,459.11,467.68,469.46,479.24,415.05,414.34,413.62,516.62,522.17,538.88,527.99,301.32,272.89,256.91,222.33,-,-,-
11,Long-Term Investments,6,6,6,6,1.5,1.5,1.5,1.5,1.61,1.61,1.61,1.61,1.81,1.81,1.81,1.81,-,-,-
12,Goodwill,221.63,221.63,221.63,221.63,221.63,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,110.67,108.92,111.64,112.76,115.31,71.28,71.84,64.17,111.69,112.52,114.35,114.2,53.29,53.62,53.96,54.29,-,-,-
14,Long-Term Deferred Tax Assets,1.95,1.94,1.65,1.97,2.22,1.92,1.82,0.83,0.59,0.57,0.54,0.14,-,-,-,-,-,-,-
15,Long-Term Deferred Charges,4.49,4.89,5.5,5.96,5.49,2.85,3.07,2.92,2.45,-,0.02,-,0.17,0.19,-,-,-,-,-
16,Other Long-Term Assets,167.98,170.67,171.55,173.75,169.08,171.06,173.03,178.45,26.51,26.84,27.17,27.51,0.05,0.05,0.05,0.05,-,-,-
17,Total Assets,2347,2378,2429,2524,2526,2042,2083,2057,2011,1983,2078,2050,1904,1963,1997,1027,-,-,-
18,Accounts Payable,112.79,123.33,145.59,187.71,149.82,111.11,135.72,135.37,124.07,141.02,211.71,225.42,136.59,223.94,260.68,267.34,-,-,-
19,Accrued Expenses,11.87,15.08,8.99,21.85,16.86,13.35,7.9,17.55,11.36,12.89,8.08,16.12,9.06,10.09,6,18.2,-,-,-
20,Short-Term Debt,-,-,0.01,9.01,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,10,3.06,13.81,6.87,17.37,4.24,9.98,6.13,17.67,4.4,7.12,0.51,4.15,1.51,13.15,5.33,-,-,-
