,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020,H2 2019,H1 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019","Jun '19 Jun 30, 2019",+2 Quarters
0,Revenue,621.31,787.64,746.08,785.03,510.64,698.2,652.17,125.48,273.22,573.37,Upgrade
1,Revenue Growth (YoY),-16.72%,0.33%,46.11%,12.44%,-21.70%,456.41%,138.70%,-78.11%,-,89.12%,Upgrade
2,Cost of Revenue,613.19,696.21,748.42,619.23,489.36,625.18,579.25,75.22,193.18,482.46,Upgrade
3,Gross Profit,8.12,91.43,-2.34,165.81,21.28,73.02,72.92,50.27,80.04,90.91,Upgrade
4,"Selling, General & Admin",56.97,55.07,88.9,98.61,61.22,75.88,86.61,57.91,112.2,70.53,Upgrade
5,Research & Development,17.18,25.08,21.39,16.19,15.86,18.16,18.47,3.46,26.24,11.98,Upgrade
6,Other Operating Expenses,2.85,80.79,2.26,108.92,1.95,104.84,1.95,18.79,-8.01,34.05,Upgrade
7,Operating Expenses,76.42,229.78,112.54,224.26,79.02,196.54,107.03,80.16,130.42,116.55,Upgrade
8,Operating Income,-68.3,-138.35,-114.88,-58.46,-57.75,-123.52,-34.12,-29.89,-50.38,-25.64,Upgrade
9,Interest Expense,-31.52,-91,-41.19,-42.1,-97.93,-159.71,-141.49,-152.91,-222.68,-101.43,Upgrade
10,Interest & Investment Income,0.03,0.01,0.03,0.02,0.03,0.02,0.03,59.1,-,43.8,Upgrade
11,Currency Exchange Gain (Loss),-,-,-,-,9.56,-,-,-,-,-,Upgrade
12,EBT Excluding Unusual Items,-99.79,-229.34,-156.04,-100.54,-146.09,-283.22,-175.58,-123.7,-273.07,-83.28,Upgrade
13,Impairment of Goodwill,-,-13.4,-,-,-,-,-,-,-,-,Upgrade
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,0.25,-,Upgrade
15,Gain (Loss) on Sale of Assets,-,-,-,0.08,-,-1.43,-0.28,2.44,-,-,Upgrade
16,Asset Writedown,-,-31.76,-,-,-,0.42,-,-,-,-,Upgrade
17,Other Unusual Items,-,-1342,-,0.66,-,-,-,112.31,-,-,Upgrade
18,Pretax Income,-99.79,-1617,-156.04,-99.81,-146.09,-284.23,-175.86,-8.95,-272.82,-83.28,Upgrade
19,Income Tax Expense,-,-12.89,-,0.12,0.05,0.01,-,-3.04,-4.74,-8.62,Upgrade
20,Earnings From Continuing Operations,-99.79,-1604,-156.04,-99.92,-146.13,-284.23,-175.86,-5.91,-268.08,-74.66,Upgrade
21,Earnings From Discontinued Operations,-,-,-,-,-,1.17,2.17,-,23.67,-37.43,Upgrade
22,Net Income to Company,-99.79,-1604,-156.04,-99.92,-146.13,-283.07,-173.69,-5.91,-244.41,-112.09,Upgrade
23,Minority Interest in Earnings,41.25,69.89,57.45,41.43,41.99,62.46,36.57,27.99,64.41,23.6,Upgrade
24,Net Income,-58.54,-1534,-98.6,-58.5,-104.14,-220.61,-137.12,22.07,-180,-88.49,Upgrade
25,Net Income to Common,-58.54,-1534,-98.6,-58.5,-104.14,-220.61,-137.12,22.07,-180,-88.49,Upgrade
26,Shares Outstanding (Basic),12512,6409,1169,1169,1169,1169,1169,1075,1075,1075,Upgrade
27,Shares Outstanding (Diluted),12512,6409,1169,1169,1169,1169,1169,1075,1075,1075,Upgrade
28,Shares Change (YoY),970.73%,448.48%,-,-0.00%,-,8.72%,8.72%,-,-,-,Upgrade
29,EPS (Basic),-0.00,-0.24,-0.08,-0.05,-0.09,-0.19,-0.12,0.02,-0.17,-0.08,Upgrade
30,EPS (Diluted),-0.00,-0.24,-0.08,-0.05,-0.09,-0.19,-0.12,0.02,-0.17,-0.08,Upgrade
31,Free Cash Flow,59.16,-64.43,25.37,-75.69,68.51,-,-,-3.5,-,-182.01,Upgrade
32,Free Cash Flow Per Share,0.00,-0.01,0.02,-0.06,0.06,-,-,-0.00,-,-0.17,Upgrade
33,Operating Margin,-10.99%,-17.57%,-15.40%,-7.45%,-11.31%,-17.69%,-5.23%,-23.82%,-18.44%,-4.47%,Upgrade
34,Profit Margin,-9.42%,-194.75%,-13.22%,-7.45%,-20.39%,-31.60%,-21.03%,17.59%,-65.88%,-15.43%,Upgrade
35,Free Cash Flow Margin,9.52%,-8.18%,3.40%,-9.64%,13.42%,-,-,-2.79%,-,-31.74%,Upgrade
36,EBITDA,-25.2,-61.14,-66.26,-24.89,-29.73,-981,878.18,15.42,94.9,36.7,Upgrade
37,D&A For EBITDA,43.11,77.21,48.62,33.57,28.02,-857.48,912.3,45.31,708.2,62.34,Upgrade
38,EBIT,-68.3,-138.35,-114.88,-58.46,-57.75,-123.52,-34.12,-29.89,-50.38,-25.64,Upgrade
