,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,7632,4418,4590,-,-,-,-
1,Enterprise Value,7265,4161,4591,-,-,-,-
2,Last Close Price,138.46,80.16,83.27,-,-,-,-
3,PE Ratio,63.88,47.45,46.98,-,-,-,-
4,PS Ratio,10.61,7.67,7.78,-,-,-,-
5,PB Ratio,9.49,5.34,5.71,-,-,-,-
6,P/TBV Ratio,5.65,5.65,6.05,-,-,-,-
7,P/FCF Ratio,115.34,69.13,61.22,-,-,-,-
8,P/OCF Ratio,48.45,53.03,50.48,-,-,-,-
9,EV/Sales Ratio,12.12,7.22,7.78,-,-,-,-
10,EV/EBITDA Ratio,54.40,31.43,33.23,-,-,-,-
11,EV/EBIT Ratio,69.07,39.05,40.82,-,-,-,-
12,EV/FCF Ratio,109.79,65.10,61.24,-,-,-,-
13,Debt / Equity Ratio,0.08,0.08,0.08,0.17,-,-,0.34
14,Debt / EBITDA Ratio,0.50,0.52,0.46,0.59,-,-,0.82
15,Debt / FCF Ratio,1.01,1.04,0.88,0.99,-,-,4.94
16,Asset Turnover,0.54,0.72,-,-,-,-,
17,Inventory Turnover,-,2.54,2.93,-,-,-,-
18,Quick Ratio,3.15,3.15,2.66,1.53,-,-,-
19,Current Ratio,3.91,3.91,3.88,2.55,-,-,-
20,Return on Equity (ROE),11.55%,16.41%,-,-,-,-,
21,Return on Assets (ROA),5.83%,8.03%,-,-,-,-,
22,Return on Capital (ROIC),7.25%,10.23%,-,-,-,-,
23,Return on Capital Employed (ROCE),11.82%,11.97%,13.01%,20.79%,-,-,-
24,Earnings Yield,1.30%,2.11%,2.13%,-,-,-,-
25,FCF Yield,0.87%,1.45%,1.63%,-,-,-,-
26,Payout Ratio,3.37%,3.31%,3.38%,3.25%,4.90%,4.01%,4.65%
27,Buyback Yield / Dilution,-11.11%,-33.32%,-11.12%,-,-,-,-
28,Total Shareholder Return,-11.11%,-33.32%,-11.12%,-,-,-,-
