,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Other Revenue,-9.33,5.1,4.23,-9.32,4.57,4.75
1,Revenue,147.2,164.75,130.72,133.69,161.14,133.81
2,Revenue Growth (YoY),-8.65%,23.13%,-,-,-,-
3,Cost of Revenue,100.25,111.14,86.8,89.97,109.54,87.58
4,Gross Profit,46.95,53.61,43.92,43.72,51.6,46.22
5,"Selling, General & Admin",13.22,13.97,9.82,11.98,12.2,11.23
6,Research & Development,7.11,7.27,6.67,7.65,8.67,6.37
7,Other Operating Expenses,0.14,1.46,0.13,0.6,-2.22,0.97
8,Operating Expenses,21.34,24.38,16.29,19.63,20.06,17.81
9,Operating Income,25.61,29.23,27.62,24.09,31.54,28.41
10,Interest Expense,-1.69,-0.12,-0.82,-0.63,-0.7,-1.26
11,Interest & Investment Income,1.98,0.17,0.8,0.48,-,0.92
12,Currency Exchange Gain (Loss),-0.48,0.34,0.14,-1.34,1.87,-0.53
13,Other Non Operating Income (Expenses),1.07,-0.16,-0.25,0.22,-0.16,0.1
14,EBT Excluding Unusual Items,26.48,29.46,27.5,22.81,32.55,27.65
15,Gain (Loss) on Sale of Investments,0.45,-0.47,0.5,-,-,-
16,Gain (Loss) on Sale of Assets,0.05,0,-,-,0,-0.02
17,Asset Writedown,-1.04,-0.01,-0.24,0.14,0.41,-0.02
18,Other Unusual Items,0.8,0.72,0.49,0.04,-0.32,0.29
19,Pretax Income,26.74,29.71,28.24,23,32.63,27.89
20,Income Tax Expense,3.16,3.42,3.35,2.68,3.74,3.46
21,Earnings From Continuing Operations,23.58,26.29,24.89,20.31,28.89,24.44
22,Minority Interest in Earnings,-0.64,-0.51,-0.2,-0.6,-1.39,-1.22
23,Net Income,22.94,25.78,24.69,19.72,27.5,23.22
24,Net Income to Common,22.94,25.78,24.69,19.72,27.5,23.22
25,Net Income Growth,-16.59%,11.04%,-,-,-,-
26,Shares Outstanding (Basic),55,46,41,41,41,41
27,Shares Outstanding (Diluted),55,46,41,41,41,41
28,Shares Change (YoY),33.32%,11.12%,-,-,-,-
29,EPS (Basic),0.42,0.56,0.60,0.48,0.67,0.56
30,EPS (Diluted),0.42,0.56,0.60,0.48,0.67,0.56
31,EPS Growth,-37.44%,-0.07%,-,-,-,-
32,Free Cash Flow,6.15,17.23,24.29,16.24,17.21,23.74
33,Free Cash Flow Per Share,0.11,0.37,0.59,0.39,0.42,0.57
34,Gross Margin,31.90%,32.54%,33.60%,32.70%,32.02%,34.54%
35,Operating Margin,17.40%,17.74%,21.13%,18.02%,19.57%,21.23%
36,Profit Margin,15.58%,15.65%,18.89%,14.75%,17.07%,17.35%
37,Free Cash Flow Margin,4.18%,10.46%,18.58%,12.15%,10.68%,17.74%
38,EBITDA,32.11,35.73,34.14,30.41,37.86,35.84
39,EBITDA Margin,21.81%,21.69%,26.12%,22.75%,23.50%,26.78%
40,D&A For EBITDA,6.5,6.5,6.52,6.32,6.32,7.43
41,EBIT,25.61,29.23,27.62,24.09,31.54,28.41
42,EBIT Margin,17.40%,17.74%,21.13%,18.02%,19.57%,21.23%
43,Effective Tax Rate,11.81%,11.50%,11.87%,11.67%,11.46%,12.39%
44,Revenue as Reported,147.2,164.75,130.72,133.69,161.14,133.81
