,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,192.58,347.42,102.44,-,-,-
1,Trading Asset Securities,265.47,-,-,-,-,-
2,Cash & Short-Term Investments,458.05,347.42,102.44,-,-,79.73
3,Cash Growth,-,335.75%,-,-,-,-
4,Accounts Receivable,245,235.54,203.07,-,-,-
5,Other Receivables,1.01,1.03,1.29,-,-,-
6,Receivables,246.01,236.57,204.36,-,-,-
7,Inventory,162.61,153.02,150.23,-,-,-
8,Other Current Assets,5.51,114.61,54.2,-,-,-
9,Total Current Assets,872.18,851.63,511.23,-,-,-
10,"Property, Plant & Equipment",194.39,189.28,188.37,-,-,-
11,Other Intangible Assets,22.11,22.24,22.03,-,-,-
12,Long-Term Deferred Tax Assets,8.15,8.16,7.78,-,-,-
13,Other Long-Term Assets,16.16,12.42,7.8,-,-,-
14,Total Assets,1113,1084,737.22,-,-,-
15,Accounts Payable,83.54,92.22,75.56,-,-,-
16,Accrued Expenses,33.49,31.16,30.46,-,-,-
17,Short-Term Debt,41.19,40.69,55.31,-,-,-
18,Current Portion of Long-Term Debt,0.53,0.53,0.54,-,-,-
19,Current Income Taxes Payable,4.57,3.51,2.71,-,-,-
20,Current Unearned Revenue,8.22,9.08,7.95,-,-,-
21,Other Current Liabilities,51.7,42.16,27.69,-,-,-
22,Total Current Liabilities,223.24,219.35,200.22,-,-,-
23,Long-Term Debt,24.9,24.9,24.9,-,-,-
24,Long-Term Unearned Revenue,10.13,9.08,8.68,-,-,-
25,Long-Term Deferred Tax Liabilities,14.58,14.1,13.93,-,-,-
26,Other Long-Term Liabilities,11.98,11.98,11.98,-,-,-
27,Total Liabilities,284.83,279.41,259.71,-,-,-
28,Common Stock,55.12,55.12,41.34,-,-,-
29,Additional Paid-In Capital,471.78,471.78,185,-,-,-
30,Retained Earnings,265.5,242.57,216.79,-,-,-
31,Comprehensive Income & Other,11.38,11.17,11.23,-,-,-
32,Total Common Equity,803.78,780.63,454.36,-,-,330.84
33,Minority Interest,24.38,23.68,23.14,-,-,-
34,Shareholders' Equity,828.16,804.31,477.5,-,-,349.42
35,Total Liabilities & Equity,1113,1084,737.22,-,-,-
36,Total Debt,66.63,66.13,80.75,-,-,117.23
37,Net Cash (Debt),391.43,281.3,21.69,-,-,-37.5
38,Net Cash Per Share,7.10,6.12,0.52,-,-,-0.91
39,Filing Date Shares Outstanding,55.12,55.12,55.12,41.34,41.34,41.34
40,Total Common Shares Outstanding,55.12,55.12,41.34,41.34,41.34,41.34
41,Working Capital,648.94,632.28,311,-,-,-
42,Book Value Per Share,14.58,14.16,10.99,-,-,8.00
43,Tangible Book Value,781.67,758.39,432.33,-,-,310.37
44,Tangible Book Value Per Share,14.18,13.76,10.46,-,-,7.51
45,Buildings,-,85.75,85.75,-,-,-
46,Machinery,-,252.44,249.66,-,-,-
47,Construction In Progress,-,10.59,7.31,-,-,-
