,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Total Interest Expense,16.9,16.43,20.05,8.64,6.65,11.29,18.89,19.32,14.93,15.93,Upgrade
1,Net Interest Income,-16.9,-16.43,-20.05,-8.64,-6.65,-11.29,-18.89,-19.32,-14.93,-15.93,Upgrade
2,Brokerage Commission,208.74,155.8,157.07,166.85,175.34,270.7,259.15,263.42,194.57,281.37,Upgrade
3,Revenue,191.84,139.38,137.03,158.21,168.68,259.42,240.25,244.1,179.64,265.44,Upgrade
4,Revenue Growth (YoY),40.00%,-11.90%,-18.77%,-39.01%,-29.79%,6.27%,33.74%,-8.04%,-24.03%,31.06%,Upgrade
5,Cost of Services Provided,227.98,195.03,179.59,190.88,217.96,343.66,271.66,265.85,245.32,299.3,Upgrade
6,Other Operating Expenses,-,-,-,-,-,-,-,-0.52,-,-2.57,Upgrade
7,Total Operating Expenses,227.98,195.03,179.59,190.88,217.96,343.66,271.66,265.33,245.32,296.73,Upgrade
8,Operating Income,-36.14,-55.65,-42.57,-32.67,-49.28,-84.25,-31.41,-21.22,-65.68,-31.29,Upgrade
9,Currency Exchange Gains,-0.95,1.62,0.82,-2.65,-0.31,7.02,6.62,14.65,-2.87,-2.43,Upgrade
10,Other Non-Operating Income (Expenses),48.69,57.52,47.22,37.38,10.76,10.44,7.25,10.46,22.84,20.48,Upgrade
11,EBT Excluding Unusual Items,11.6,3.49,5.47,2.07,-38.83,-66.78,-17.54,3.89,-45.71,-11.52,Upgrade
12,Impairment of Goodwill,-,-,-,-,-,-3,-,-,-,-,Upgrade
13,Asset Writedown,-11.35,1.38,-4.01,-34.17,-5.56,-2.32,-24.57,-31.23,-7.02,20.4,Upgrade
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-2.14,Upgrade
15,Other Unusual Items,-,-,-,-,-,32.24,-,2.51,-,-,Upgrade
16,Pretax Income,66.27,4.65,1.32,-32.42,-31.97,-49.31,-39.03,-26.9,-50.36,7.63,Upgrade
17,Income Tax Expense,0.16,11.12,4.72,-6.42,1.42,68.65,-7.99,22.18,-8.61,10.68,Upgrade
18,Earnings From Continuing Ops.,66.11,-6.47,-3.4,-26,-33.39,-117.96,-31.04,-49.08,-41.75,-3.05,Upgrade
19,Minority Interest in Earnings,0.15,-2.23,1.47,3.19,0.15,10.02,-0.92,-0.27,0.76,-1.14,Upgrade
20,Net Income,66.26,-8.7,-1.93,-22.81,-33.24,-107.95,-31.95,-49.34,-40.99,-4.19,Upgrade
21,Net Income to Common,66.26,-8.7,-1.93,-22.81,-33.24,-107.95,-31.95,-49.34,-40.99,-4.19,Upgrade
22,Shares Outstanding (Basic),2191,1723,1565,1565,1564,1494,1419,1419,1419,1419,Upgrade
23,Shares Outstanding (Diluted),2191,1723,1565,1565,1564,1494,1419,1419,1419,1419,Upgrade
24,Shares Change (YoY),40.00%,10.08%,0.03%,4.77%,10.24%,5.25%,-,-,-,-,Upgrade
25,EPS (Basic),0.03,-0.01,-0.00,-0.01,-0.02,-0.07,-0.02,-0.03,-0.03,-0.00,Upgrade
26,EPS (Diluted),0.03,-0.01,-0.00,-0.01,-0.02,-0.07,-0.02,-0.03,-0.03,-0.00,Upgrade
27,Free Cash Flow,-147.39,-0.22,1.65,-97.91,22.03,2870,-2874,-173.31,182.51,-115.98,Upgrade
28,Free Cash Flow Per Share,-0.07,-0.00,0.00,-0.06,0.01,1.92,-2.03,-0.12,0.13,-0.08,Upgrade
29,Operating Margin,-18.84%,-39.93%,-31.06%,-20.65%,-29.21%,-32.48%,-13.07%,-8.69%,-36.56%,-11.79%,Upgrade
30,Profit Margin,34.54%,-6.24%,-1.41%,-14.42%,-19.70%,-41.61%,-13.30%,-20.21%,-22.82%,-1.58%,Upgrade
31,Free Cash Flow Margin,-76.83%,-0.16%,1.20%,-61.89%,13.06%,1106.47%,-1196.28%,-71.00%,101.60%,-43.69%,Upgrade
