,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,49.62,47.9,45.86,53.91,51.77,66.54,45.36,39.01,37.71,34.44
1,Revenue Growth (YoY),8.21%,-11.14%,-11.41%,-18.98%,14.14%,70.59%,20.27%,13.25%,1.70%,-
2,Cost of Revenue,38.93,34.41,36.45,41.05,41.18,50.04,35.23,29.35,28.19,19.97
3,Gross Profit,10.7,13.49,9.41,12.86,10.59,16.51,10.13,9.66,9.53,14.47
4,"Selling, General & Admin",8.74,12.59,12.55,11.63,9.89,11.43,6.61,8.58,10.93,4.8
5,Operating Expenses,8.74,12.59,12.55,11.63,9.89,11.43,6.61,8.58,10.93,4.8
6,Operating Income,1.96,0.91,-3.14,1.23,0.69,5.08,3.52,1.08,-1.4,9.68
7,Interest Expense,-0.16,-0.25,-0.21,-0.23,-0.22,-0.24,-0.26,-0.29,-0.36,-0.45
8,Interest & Investment Income,0.38,0.65,0.42,0.41,0.41,0.41,0.19,0.33,0.27,0.26
9,Currency Exchange Gain (Loss),0.03,-0.06,0.06,-0.4,0.4,-0.24,0.24,0,0.42,-
10,Other Non Operating Income (Expenses),0,0.15,0.01,0.4,0.01,0.26,0.02,0.46,0.19,0.07
11,EBT Excluding Unusual Items,2.21,1.4,-2.86,1.4,1.3,5.27,3.7,1.59,-0.88,9.55
12,Other Unusual Items,-,-,-,-,-,0.13,-,-,-,-
13,Pretax Income,2.21,1.4,-2.86,1.4,1.3,5.41,3.7,1.59,-0.88,9.55
14,Income Tax Expense,1.19,0.83,1.12,1.1,1.31,2.77,1.79,4.24,1.53,3
15,Earnings From Continuing Operations,1.02,0.57,-3.99,0.3,-0.02,2.64,1.91,-2.66,-2.41,6.55
16,Minority Interest in Earnings,0.1,-0.5,-0.33,-0.7,-0.38,-1.82,-,-,-,-
17,Net Income,1.12,0.07,-4.32,-0.41,-0.4,0.82,1.91,-2.66,-2.41,6.55
18,Net Income to Common,1.12,0.07,-4.32,-0.41,-0.4,0.82,1.91,-2.66,-2.41,6.55
19,Shares Outstanding (Basic),2811,2400,2400,2400,2400,2400,2400,2402,2113,1800
20,Shares Outstanding (Diluted),2811,2400,2400,2400,2400,2400,2400,2402,2113,1800
21,Shares Change (YoY),17.13%,-,-,-,-,-0.07%,13.57%,33.42%,17.40%,-
22,EPS (Basic),0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00
23,EPS (Diluted),0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00
24,Free Cash Flow,2.05,7.33,-9.65,8.5,-17.81,21.43,3.52,3.18,-23.28,8.58
25,Free Cash Flow Per Share,0.00,0.00,-0.00,0.00,-0.01,0.01,0.00,0.00,-0.01,0.00
26,Operating Margin,3.94%,1.89%,-6.84%,2.28%,1.34%,7.63%,7.75%,2.77%,-3.72%,28.10%
27,Profit Margin,2.25%,0.14%,-9.42%,-0.75%,-0.77%,1.23%,4.20%,-6.81%,-6.38%,19.03%
28,Free Cash Flow Margin,4.13%,15.30%,-21.03%,15.77%,-34.41%,32.21%,7.77%,8.14%,-61.72%,24.91%
29,EBITDA,3.38,1.01,-2.1,1.36,2.08,5.37,4.97,1.66,-0.16,10.25
30,D&A For EBITDA,1.43,0.11,1.04,0.14,1.39,0.29,1.45,0.58,1.24,0.57
31,EBIT,1.96,0.91,-3.14,1.23,0.69,5.08,3.52,1.08,-1.4,9.68
