,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,624,2673,2400,3984,3392,2712,3072,2976,1296,848,-
1,Market Cap Growth,-32.91%,-32.91%,-29.25%,46.90%,10.42%,-8.87%,137.04%,250.94%,-,-,-
2,Enterprise Value,568,2619,2357,3916,3335,2617,3016,2924,1251,830,-
3,Last Close Price,0.22,0.93,1.00,1.66,1.41,1.13,1.28,1.24,0.54,0.35,-
4,PE Ratio,288.14,1360.52,-331.70,-,-,-,602.14,-2119.95,-,-,-
5,PS Ratio,3.50,16.56,15.03,23.78,18.03,12.87,14.67,18.87,8.76,6.50,-
6,PB Ratio,1.21,5.11,16.42,27.83,21.69,17.23,18.68,19.07,8.30,5.49,-
7,P/TBV Ratio,16.05,16.05,17.35,29.24,22.53,17.87,19.28,19.07,8.30,5.49,-
8,P/FCF Ratio,40.19,172.22,-608.81,-,-204.66,-,65.78,237.66,-33.42,-,-
9,P/OCF Ratio,123.85,123.85,-2233.59,-,372.29,-,64.52,220.57,-34.60,-,-
10,EV/Sales Ratio,3.52,16.22,14.76,23.38,17.72,12.42,14.40,18.54,8.45,6.36,-
11,EV/EBITDA Ratio,72.46,360.03,-1278.26,-,543.26,197.01,155.90,236.10,433.51,-,-
12,EV/EBIT Ratio,119.98,552.88,-620.79,-,975.10,254.43,187.47,340.19,-2007.84,-,-
13,EV/FCF Ratio,36.62,168.75,-597.99,-,-201.20,-,64.58,233.49,-32.26,-,-
14,Debt / Equity Ratio,0.02,0.02,0.09,0.10,0.15,0.17,0.19,0.20,0.23,0.24,0.35
15,Debt / FCF Ratio,0.65,0.65,-3.27,-,-1.45,-,0.66,2.53,-0.94,-,1.44
16,Return on Capital Employed (ROCE),0.89%,0.89%,-2.46%,-,2.03%,5.96%,8.80%,4.85%,-0.34%,-,30.69%
17,Earnings Yield,0.32%,0.07%,-0.30%,-0.20%,-0.04%,0.03%,0.17%,-0.05%,-0.75%,0.88%,-
18,FCF Yield,2.49%,0.58%,-0.16%,-0.05%,-0.49%,0.24%,1.52%,0.42%,-2.99%,-3.13%,-
19,Buyback Yield / Dilution,-8.56%,-17.13%,-,-,-,-,0.07%,-13.57%,-33.42%,-17.40%,-
20,Total Shareholder Return,-8.56%,-17.13%,-,-,-,-,0.07%,-13.57%,-33.42%,-17.40%,-
