,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,295.49,213.02,232.09,204.69,198.04,153.88,131.46,158.03,193.79,239.4,184.43,184.06
1,Other Revenue,-1.54,1.54,-,1.13,-0.37,0.37,-,1.19,-0.61,0.61,-,0.46
2,Revenue,293.95,214.56,232.09,205.82,197.66,154.26,131.46,159.22,193.18,240.01,184.43,184.51
3,Revenue Growth (YoY),48.71%,39.10%,76.55%,29.27%,2.32%,-35.73%,-28.72%,-13.71%,-,-,-,-
4,Cost of Revenue,218.32,169.94,176.26,158.82,145.86,118.22,100.18,120.82,140.63,177.31,139.43,145.99
5,Gross Profit,75.63,44.63,55.83,47,51.81,36.04,31.28,38.39,52.56,62.7,44.99,38.52
6,"Selling, General & Admin",12.92,12,13.26,12.1,12.92,12.65,11,15.89,12.64,9.27,9.72,10.58
7,Research & Development,7.3,7.88,6.56,6.52,6.6,5.41,5.41,3.83,7.79,7.27,7.05,6.59
8,Other Operating Expenses,0.75,0.72,-1.24,0.76,0.8,0.3,2.12,14.95,-10.09,0.36,-0.68,3.86
9,Operating Expenses,23.67,19.65,19.61,18.13,23.2,19.88,17.12,33.72,8.41,18.65,16.55,19.46
10,Operating Income,51.96,24.97,36.22,28.87,28.61,16.15,14.16,4.67,44.15,44.05,28.45,19.06
11,Interest Expense,-0.42,-1.09,-1.23,-1.23,-1.36,-0.9,-0.66,-0.69,-0.82,-1.09,-0.49,-0.46
12,Interest & Investment Income,3.43,6.96,10.2,7.27,5.49,6.84,7.23,5.03,0.86,-,0.79,1.05
13,Currency Exchange Gain (Loss),-6,6,-,7.28,-10.15,10.15,-,4.05,-1.43,1.43,-,-2.33
14,Other Non Operating Income (Expenses),2.31,-2.38,2.26,-9.27,9.11,2.96,-3.08,-8.67,8.04,0.08,-0.22,2.25
15,EBT Excluding Unusual Items,51.28,34.45,47.44,32.92,31.7,35.2,17.65,4.4,50.8,44.48,28.53,19.57
16,Gain (Loss) on Sale of Investments,-,-,-,0.43,-0.29,-0.36,0.21,-,-1.07,-0.91,-0.27,1.01
17,Gain (Loss) on Sale of Assets,-0.12,-,-,0.03,-0.03,0,-0.01,-0.44,-,-,-,-
18,Asset Writedown,-5.15,0.18,-0.18,1.07,-1.07,0.03,-0.03,1.06,-1.06,1.12,-1.12,0.24
19,Other Unusual Items,0.28,0.33,-0,-0,-,-,-,14.09,-,-,-,2.43
20,Pretax Income,46.29,34.96,47.26,34.45,30.3,34.87,17.82,19.11,48.66,44.69,27.14,23.25
21,Income Tax Expense,3.32,3.94,6.27,4.31,3.11,3.7,3.09,-0.07,5.82,5.8,3.47,0.12
