,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,163.14,165.52,698.66,736.02,847.48,876.11,954.65,927.03,1002,-,-,68.37
1,Trading Asset Securities,-,51.49,-,-,-,-,0.21,-,-,-,-,0.83
2,Cash & Short-Term Investments,163.14,217,698.66,736.02,847.48,876.11,954.86,927.03,1002,-,69.2,69.2
3,Cash Growth,-80.75%,-75.23%,-26.83%,-20.60%,-15.39%,-,1279.84%,1239.62%,-,-,-,-
4,Accounts Receivable,221.42,166.54,171.34,157.23,189.39,142.2,102.07,130.79,147.64,-,-,133.17
5,Other Receivables,2.89,4.25,10.02,4.17,2.41,0.76,2.58,0.27,1.93,-,-,8.22
6,Receivables,224.3,170.79,181.36,161.4,191.81,142.96,104.65,131.06,149.58,-,-,141.39
7,Inventory,319.21,329.09,290.99,287.55,238.22,182.03,179.49,176.53,188.52,-,-,272.8
8,Other Current Assets,9.95,9.51,4.18,3.78,4.57,13.58,7.5,13.33,8.57,-,-,7.89
9,Total Current Assets,716.61,726.39,1175,1189,1282,1215,1246,1248,1348,-,-,491.27
10,"Property, Plant & Equipment",490.46,470.72,431.24,391.56,351.95,280.66,266.05,241.04,202.98,-,-,153.08
11,Long-Term Investments,415.44,411.9,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,90.11,90.28,91.19,91.96,76.46,77.33,77.27,77.81,78.86,-,-,67.38
13,Long-Term Deferred Tax Assets,4.83,3.97,3.7,2.63,5.23,5.26,4.9,5.26,5.3,-,-,5.19
14,Other Long-Term Assets,1.37,2.16,2.98,0.37,8.35,13.78,3.74,13.87,22.29,-,-,24.1
15,Total Assets,1719,1705,1704,1675,1724,1592,1598,1586,1658,-,-,741.03
16,Accounts Payable,92.11,115.4,78.73,123.4,151.67,88.27,68.08,88.12,68.4,-,-,107.29
17,Accrued Expenses,11.76,13.92,8.84,16.57,9.19,11.3,6.81,18.99,9.27,-,-,22.26
18,Short-Term Debt,50.62,57.94,109.84,80.59,138.15,91.65,92.97,62.42,146.34,-,-,185.12
19,Current Portion of Leases,0.45,0.44,0.31,0.35,0.35,0.34,0.33,0.33,0.32,-,-,0.3
20,Current Income Taxes Payable,7.44,5.46,8.46,5.57,5.32,4.21,4.44,-,5.99,-,-,5.77
21,Current Unearned Revenue,0.79,1.82,1.44,1.34,1.08,1.21,2.53,1.34,5.69,-,-,8.94
22,Other Current Liabilities,2.26,2.45,1.43,0.32,2.09,4.59,6.43,5.4,41.21,-,-,0.54
23,Total Current Liabilities,165.42,197.44,209.06,228.13,307.84,201.57,181.6,176.59,277.22,-,-,330.23
24,Long-Term Leases,0.39,0.38,0.42,0.18,0.36,0.36,0.54,0.53,0.69,-,-,0.86
25,Long-Term Unearned Revenue,21.87,17.06,17.25,9.77,4.36,4.54,4.71,3.73,3.87,-,-,2.45
26,Long-Term Deferred Tax Liabilities,0,0.03,0,0,3.87,3.94,4.09,4.33,0.96,-,-,1.16
27,Total Liabilities,187.69,214.91,226.74,238.09,316.43,210.4,190.94,185.18,282.74,-,-,334.7
28,Common Stock,100,100,100,100,100,100,100,100,100,-,-,75
29,Additional Paid-In Capital,872.26,872.26,872,872,872,872.01,872.01,872.51,872.01,-,-,35.7
30,Retained Earnings,549.83,506.62,505.15,464.07,433.95,406.31,435.11,426.75,400.18,-,-,294.97
31,Comprehensive Income & Other,-2.51,-0.17,0.82,1.43,1.78,2.95,0.24,1.1,2.31,-,-,-0.16
32,Total Common Equity,1520,1479,1478,1437,1408,1381,1407,1400,1374,-,405.51,405.51
33,Minority Interest,11.54,11.79,-0.4,-0.31,-0.08,0.02,0.17,0.37,0.49,-,-,0.82
34,Shareholders' Equity,1531,1490,1478,1437,1408,1381,1408,1401,1375,-,406.33,406.33
35,Total Liabilities & Equity,1719,1705,1704,1675,1724,1592,1598,1586,1658,-,-,741.03
36,Total Debt,51.45,58.76,110.58,81.12,138.85,92.35,93.84,63.28,147.35,-,186.29,186.29
37,Net Cash (Debt),111.69,158.24,588.08,654.9,708.63,783.76,861.02,863.75,854.27,-,-117.09,-117.09
38,Net Cash Growth,-84.24%,-79.81%,-31.70%,-24.18%,-17.05%,-,-,-,-,-,-,-
39,Net Cash Per Share,1.11,1.61,5.87,6.45,7.30,7.71,8.67,8.65,11.34,-,-1.57,-1.56
40,Filing Date Shares Outstanding,100,100,100,100,100,100,100,100,100,75.24,74.37,75
