,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,2630,2550,2556,2373,2795,2797,2754,2736,2502,2715,-,-,-
1,Market Cap Growth,-8.83%,-8.83%,-7.19%,-13.27%,11.71%,3.02%,-,-,-,-,-,-,-
2,Enterprise Value,2530,2404,1968,1664,2086,2013,1893,1882,1648,2833,-,-,-
3,Last Close Price,26.30,25.50,25.56,23.46,27.63,27.65,27.23,26.46,24.20,26.26,-,-,-
4,PE Ratio,18.04,17.45,19.63,18.24,26.90,30.12,25.39,23.55,20.00,21.05,-,-,-
5,PS Ratio,2.79,2.69,3.01,3.00,4.06,4.35,4.32,3.78,3.22,3.38,-,-,-
6,PB Ratio,1.73,1.67,1.71,1.61,1.94,1.99,1.99,1.94,1.79,1.97,-,-,-
7,P/TBV Ratio,1.78,1.78,1.84,1.71,2.08,2.10,2.11,2.06,1.89,2.10,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,16.75,19.29,18.25,-,-,-
9,P/OCF Ratio,46.60,-,78.99,-,80.43,-,13.65,10.14,10.85,12.56,-,-,-
10,EV/Sales Ratio,2.67,2.54,2.31,2.11,3.03,3.13,2.97,2.60,2.12,3.53,-,-,-
11,EV/EBITDA Ratio,15.04,14.35,13.75,12.68,19.31,24.32,19.42,15.05,11.90,18.63,-,-,-
12,EV/EBIT Ratio,17.91,16.92,16.58,15.15,23.77,31.66,23.92,17.59,13.59,20.88,-,-,-
13,EV/FCF Ratio,-15.17,-,-,-,-,-,-,11.52,12.71,19.04,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.04,0.07,0.06,0.10,0.07,0.07,0.05,0.11,-,0.46,0.46
15,Debt / EBITDA Ratio,0.31,0.22,0.44,0.66,0.58,1.04,1.09,1.24,1.62,0.77,-,1.44,2.00
16,Debt / FCF Ratio,-,-,-,-,-,-,-,0.57,0.49,0.99,-,-,3.00
17,Asset Turnover,0.69,0.50,0.55,0.48,0.48,0.39,0.33,0.39,-,-,-,-,
18,Inventory Turnover,2.60,2.69,2.19,2.44,2.42,2.78,2.62,2.25,2.65,-,-,-,-
19,Quick Ratio,2.34,2.34,1.96,4.21,3.93,3.38,5.06,5.83,5.99,4.15,-,-,0.64
20,Current Ratio,4.33,4.33,3.68,5.62,5.21,4.16,6.03,6.86,7.07,4.86,-,-,1.49
21,Return on Equity (ROE),11.38%,8.36%,11.25%,8.48%,7.80%,8.94%,4.20%,5.53%,-,-,23.30%,-,
22,Return on Assets (ROA),7.59%,3.66%,5.36%,4.25%,4.31%,2.53%,2.22%,0.72%,-,-,-,-,
23,Return on Capital (ROIC),8.29%,3.98%,5.83%,4.71%,4.74%,2.71%,2.39%,0.78%,-,-,12.00%,-,
24,Return on Capital Employed (ROCE),9.09%,9.14%,7.87%,7.35%,6.07%,4.49%,5.69%,7.55%,8.61%,9.83%,-,-,4.64%
25,Earnings Yield,5.56%,5.73%,5.10%,5.48%,3.72%,3.32%,3.94%,4.25%,5.00%,4.75%,-,-,-
26,FCF Yield,-6.34%,-6.54%,-7.85%,-9.19%,-5.18%,-1.90%,2.97%,5.97%,5.18%,5.48%,-,-,-
27,Dividend Yield,1.14%,-,-,-,1.09%,-,-,-,2.48%,-,-,-,-
28,Payout Ratio,26.29%,3.40%,98.70%,5.07%,12.54%,15.48%,193.11%,2.88%,8.81%,1.28%,1.02%,1.01%,2.25%
29,Buyback Yield / Dilution,-0.76%,-3.60%,2.96%,-0.87%,-1.67%,-28.87%,-35.02%,-33.56%,-33.05%,-,-,-,-
30,Total Shareholder Return,0.38%,-3.60%,2.96%,-0.87%,-0.59%,-28.87%,-35.02%,-33.56%,-30.58%,-,-,-,-
