,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Market Capitalization,5030100,5078700,5443200,4823490,4756500,3591000,3297000,2866500,1650600,1539300,2362500,1734227,3731216,3704939,3342328,2502498,1516514,1071069,671670,599598,625624,Upgrade
1,Market Cap Growth,41.43%,41.43%,65.10%,68.27%,188.17%,133.29%,39.56%,65.29%,-55.76%,-58.45%,-29.32%,-30.70%,146.04%,245.91%,397.61%,317.36%,142.40%,88.90%,113.35%,94.79%,112.92%,Upgrade
2,Last Close Price,20700.00,20900.00,22400.00,20600.00,20313.90,15336.32,14080.72,12242.15,7049.33,6573.99,10089.69,8667.87,18649.06,18517.72,16705.35,12507.75,7579.70,5242.56,3287.62,2934.85,3062.24,Upgrade
3,PE Ratio,17.02,17.53,16.03,11.87,12.33,11.18,13.59,16.37,-10.44,-,2931.52,-,8.62,8.70,7.95,6.52,4.51,4.37,4.31,4.61,20.04,Upgrade
4,PS Ratio,6.97,7.18,8.19,5.65,6.58,6.28,4.66,4.81,3.36,2.61,3.49,2.41,4.06,4.34,4.04,3.48,3.01,2.72,2.92,2.97,3.61,Upgrade
5,PB Ratio,1.82,1.81,1.94,1.82,1.86,1.48,1.42,1.28,0.78,0.74,1.59,1.18,2.22,2.25,2.24,1.76,1.30,0.92,-,-,0.60,Upgrade
6,P/FCF Ratio,-,-9.24,-64.43,-,-,-15.54,-,-,1.29,-,-,-5.93,-,-4.71,-,-,-,14.72,-,-3.55,-2.47,Upgrade
7,P/OCF Ratio,-,-9.87,-107.94,-,-,-16.80,-,-,1.26,-,-,-6.40,-,-4.82,-,-,-,13.50,-,-3.70,-2.52,Upgrade
8,Debt / Equity Ratio,1.24,1.24,1.24,1.18,1.16,1.14,1.16,0.94,0.84,1.01,1.91,1.78,2.13,1.35,1.50,1.26,1.10,1.10,-,-,1.00,Upgrade
9,Debt / FCF Ratio,-,-6.34,-41.21,-,-,-11.97,-,-,1.40,-,-,-8.91,-,-2.83,-,-,-,17.55,-,-,-4.13,Upgrade
10,Asset Turnover,0.03,0.03,0.22,0.21,0.01,0.20,0.18,0.13,0.13,0.11,0.07,0.20,0.23,0.19,-,-,-,-,-,-,Upgrade,
11,Quick Ratio,1.45,1.45,1.45,1.51,1.70,1.66,1.75,1.98,2.18,1.97,1.43,1.55,1.42,1.62,1.53,1.61,-,1.81,-,-,-,Upgrade
12,Current Ratio,1.45,1.45,1.45,1.51,1.70,1.67,1.75,1.99,2.19,1.98,1.43,1.56,1.46,1.62,1.59,1.65,-,1.81,-,-,-,Upgrade
13,Return on Equity (ROE),3.46%,3.55%,18.33%,19.81%,13.04%,16.06%,19.20%,10.51%,-2.31%,6.51%,-59.41%,25.43%,27.17%,20.16%,-,33.65%,-,-,-,-,Upgrade,
14,Return on Assets (ROA),1.52%,1.56%,8.18%,9.00%,5.92%,7.63%,9.93%,5.38%,-0.89%,2.10%,-19.59%,8.95%,10.81%,8.01%,-,-,-,-,-,-,Upgrade,
15,Earnings Yield,5.76%,5.71%,6.24%,8.43%,8.22%,9.08%,7.51%,6.28%,-9.58%,-7.05%,0.03%,2.89%,11.60%,11.49%,12.57%,15.34%,22.19%,22.87%,23.19%,21.67%,4.99%,Upgrade
16,FCF Yield,-10.92%,-10.82%,-1.55%,-18.30%,-10.65%,-6.43%,-23.25%,-4.73%,77.29%,-23.07%,0.68%,-16.87%,-42.14%,-21.21%,-27.02%,-,-42.58%,6.79%,-53.66%,-28.18%,-40.46%,Upgrade
17,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.37%,-,-,-,Upgrade
18,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,0.13%,-,-,0.15%,-,-,30.56%,0.00%,-,16.30%,254.04%,Upgrade
19,Buyback Yield / Dilution,-1.73%,-3.47%,-3.47%,0.07%,-0.07%,-,-,-,-,-37.79%,-,-,-,0.00%,-,-0.03%,-,-,-,-160.15%,-,Upgrade
20,Total Shareholder Return,-1.73%,-3.47%,-3.47%,0.07%,-0.07%,-,-,-,-,-37.79%,-,-,-,0.00%,-,-0.03%,-,3.37%,-,-160.15%,-,Upgrade
