,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+16 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+16 Quarters
0,Interest and Dividend Income,15052,15052,13268,11864,23692,15246,22527,15295,23730,5846,4601,2028,9108,2355,2178,256.58,1266,1879,1376,688.87,Upgrade
1,Total Interest Expense,138892,138892,966.14,964.85,192124,4056,4790,3908,53402,57103,63237,59169,52782,45954,38693,30288,-,21363,24139,23447,Upgrade
2,Net Interest Income,-123840,-123840,12302,10899,-168432,11190,17737,11387,-29672,-51257,-58636,-57141,-43674,-43599,-36515,-30032,1266,-19483,-22763,-22758,Upgrade
3,Brokerage Commission,41002,41002,52573,53425,57871,98580,59160,34198,80667,61535,63212,85198,102775,77798,80675,53065,39548,23312,22387,21448,Upgrade
4,Asset Management Fee,1691,1691,2936,-,496.5,509.09,2590,-,550,12123,3009,2041,2492,704.09,2191,1539,2452,725.27,1353,1053,Upgrade
5,Underwriting & Investment Banking Fee,2271,2271,1710,1692,2050,1726,2672,6254,3247,6991,4351,20175,2064,1670,25553,33609,4215,7588,8094,5036,Upgrade
6,Gain on Sale of Investments (Rev),28022,28022,151964,129725,18447,38440,29100,6884,-394.36,14290,-24634,82575,65791,55906,140858,51773,102813,9307,11568,7250,Upgrade
7,Other Revenue,102385,102385,95652,91702,98071,90541,75216,76984,90210,85122,95346,101030,101922,79045,69138,59636,53072,43660,45230,46802,Upgrade
8,Revenue Before Loan Losses,51531,51531,317137,287442,8503,240987,186474,135706,144608,128804,82648,233877,231371,171524,281900,169590,203366,65108,65868,58830,Upgrade
9,Provision for Loan Losses,11.05,11.05,-,-,-9.91,-,-,-,122.86,-,-,-,-0.08,-,-,-,-,-,-,-,Upgrade
10,Revenue,51520,51520,317137,287442,8513,240987,186474,135706,144486,128804,82648,233877,231371,171524,281900,169590,203366,65108,65868,58830,Upgrade
11,Revenue Growth (YoY),505.16%,-78.62%,70.07%,111.81%,-94.11%,87.10%,125.63%,-41.98%,-37.55%,-24.91%,-70.68%,37.91%,13.77%,163.45%,327.97%,188.27%,406.08%,74.92%,77.57%,128.36%,Upgrade
12,Cost of Services Provided,76093,76093,94114,89994,78087,84378,91554,73301,88752,78737,76821,97768,110746,74363,83866,88614,44105,54795,35594,35210,Upgrade
13,Other Operating Expenses,-64029,-64029,80221,66284,3602,4294,44284,39437,2676,4445,3865,4072,3386,3470,3283,6635,1994,4814,2622,2650,Upgrade
14,Total Operating Expenses,12064,12064,174336,156278,81689,88672,135837,112738,91427,83182,80686,101840,114133,77832,87149,95249,46099,59609,38217,37860,Upgrade
15,Operating Income,39456,39456,142801,131164,-73175,152315,50637,22968,53058,45622,1961,132037,117238,93692,194751,74341,157267,5499,27652,20970,Upgrade
16,Currency Exchange Gains,-18.37,-18.37,-,-169.51,174,-110.5,-7,-294,-6693,-1797,-7583,-277,-406.24,-332,-267,-219,-324,-250,-1300,-745.5,Upgrade
17,Other Non-Operating Income (Expenses),11068,11068,19935,11825,27045,10197,9416,11809,12040,8248,7537,9680,8483,9072,6514,7421,2764,2962,2945,3072,Upgrade
18,EBT Excluding Unusual Items,50505,50505,162736,142819,-45956,162402,60046,34483,58405,52074,1915,141439,125315,102432,200997,81544,159707,8211,29297,23297,Upgrade
19,Gain (Loss) on Sale of Investments,-21162,-21162,-16902,8301,139229,-49023,68274,42515,-100173,-27039,-269607,-9943,6929,-11052,-13723,41609,-29716,37977,75627,-15055,Upgrade
20,Pretax Income,29343,29343,145834,151120,93273,113379,128320,76998,-41767,25035,-267692,131496,132244,91380,187274,123153,129991,46188,104924,8242,Upgrade
21,Income Tax Expense,5081,5081,26405,27864,15950,21771,23603,21683,-31449,990.38,-33849,26362,25699,18017,38496,25099,30014,9076,3536,1735,Upgrade
22,Earnings From Continuing Ops.,24262,24262,119428,123256,77323,91608,104717,55315,-10318,24045,-233843,105134,106546,73364,148778,98054,99977,37112,101388,6507,Upgrade
