,Fiscal Quarter,Q1 2024,Q1 2023,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '24 Mar 31, 2024","Mar '23 Mar 31, 2023","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Revenue,689885,539396,452149,396644,396644,325677,295005,274617,274617,316595
1,Revenue Growth (YoY),73.93%,65.62%,53.27%,44.44%,44.44%,2.87%,-,-,-,-
2,Cost of Revenue,354905,280596,241197,173607,173607,49973,131233,122499,122499,138201
3,Gross Profit,334980,258801,210951,223037,223037,275704,163772,152118,152118,178394
4,"Selling, General & Admin",16955,16122,16677,26424,26424,34217,14419,25984,25984,48035
5,Operating Expenses,16955,16122,16677,26424,26424,34217,14419,25984,25984,48035
6,Operating Income,318025,242679,194275,196613,196613,241487,149353,126134,126134,130359
7,Interest Expense,-208206,-163562,-87673,-153487,-153487,-123235,-116547,-120255,-120255,-240941
8,Interest & Investment Income,3447,3732,16336,1570,1570,-,1497,5204,5204,7614
9,Earnings From Equity Investments,13995,13162,-20175,16032,16032,311.28,6257,3205,3205,4470
10,Other Non Operating Income (Expenses),3715,-553.54,0.99,9606,9606,-4017,261.26,-542.86,-542.86,-963.58
11,Pretax Income,130975,95457,102764,70334,70334,114546,40821,13745,13745,-99461
12,Income Tax Expense,17000,12527,21308,1728,1728,-2349,1769,574.56,574.56,840.98
13,Earnings From Continuing Operations,113975,82930,81457,68606,68606,116896,39052,13170,13170,-100302
14,Minority Interest in Earnings,-17965,-10030,1812,-7087,-7087,-33698,-7344,-1804,-1804,46063
15,Net Income,96009,72901,83269,61519,61519,83198,31708,11366,11366,-54239
16,Net Income to Common,96009,72901,83269,61519,61519,83198,31708,11366,11366,-54239
17,Net Income Growth,56.06%,-12.38%,162.61%,441.25%,441.25%,-,-,-,-,-
18,Shares Outstanding (Basic),415,323,301,301,301,328,283,255,255,27
19,Shares Outstanding (Diluted),493,510,396,397,397,328,283,300,300,27
20,Shares Change (YoY),24.11%,55.53%,40.21%,32.20%,32.20%,1109.17%,-,-,-,-
21,EPS (Basic),231.26,225.56,276.81,204.72,204.72,253.67,112.15,44.50,44.50,-1999.68
22,EPS (Diluted),194.29,142.86,210.06,154.87,154.87,253.67,112.15,37.83,37.83,-1999.68
23,EPS Growth,25.45%,-43.68%,87.30%,309.41%,309.41%,-,-,-,-,-
24,Free Cash Flow,11153,159493,-20742,-14774,-14774,-,-325973,-582107,-582107,-
25,Free Cash Flow Per Share,22.62,312.68,-52.32,-37.19,-37.19,-,-1152.94,-1937.34,-1937.34,-
26,Gross Margin,48.56%,47.98%,46.66%,56.23%,56.23%,84.66%,55.51%,55.39%,55.39%,56.35%
27,Operating Margin,46.10%,44.99%,42.97%,49.57%,49.57%,74.15%,50.63%,45.93%,45.93%,41.18%
28,Profit Margin,13.92%,13.52%,18.42%,15.51%,15.51%,25.55%,10.75%,4.14%,4.14%,-17.13%
29,Free Cash Flow Margin,1.62%,29.57%,-4.59%,-3.72%,-3.72%,-,-110.50%,-211.97%,-211.97%,-
30,EBITDA,408915,320176,242183,277974,277974,294081,199284,176236,176236,-
31,EBITDA Margin,59.27%,59.36%,53.56%,70.08%,70.08%,90.30%,67.55%,64.18%,64.18%,-
32,D&A For EBITDA,90890,77497,47909,81360,81360,52594,49931,50102,50102,-
33,EBIT,318025,242679,194275,196613,196613,241487,149353,126134,126134,130359
34,EBIT Margin,46.10%,44.99%,42.97%,49.57%,49.57%,74.15%,50.63%,45.93%,45.93%,41.18%
35,Effective Tax Rate,12.98%,13.12%,20.73%,2.46%,2.46%,-,4.33%,4.18%,4.18%,-
36,Revenue as Reported,689885,539396,452149,396644,396644,325677,295005,274617,274617,316595
