,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Market Capitalization,3515,2911,2483,3303,3710,4270,4603,3800,-,-,-,-,-,-
1,Market Cap Growth,-31.83%,-31.83%,-46.06%,-13.08%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3043,2450,1964,2821,3228,3836,4139,3867,-,-,-,-,-,-
3,Last Close Price,35.15,29.11,24.83,32.43,36.42,41.92,45.19,36.82,-,-,-,-,-,-
4,PE Ratio,129.80,107.49,72.45,64.94,-,51.05,53.50,50.02,-,-,-,-,-,-
5,Forward PE,-,15.91,15.91,22.66,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,10.68,8.84,7.40,9.23,9.58,9.75,10.64,9.33,-,-,-,-,-,-
7,PB Ratio,3.78,3.14,2.70,3.45,3.90,4.48,4.92,3.98,-,-,-,-,-,-
8,P/TBV Ratio,3.23,3.23,2.79,3.56,4.02,4.63,5.09,4.10,-,-,-,-,-,-
9,P/FCF Ratio,111.21,92.10,-,37.20,41.07,54.24,180.64,146.05,-,-,-,-,-,-
10,P/OCF Ratio,35.17,35.17,21.65,22.78,23.99,28.51,46.75,44.38,-,-,-,-,-,-
11,EV/Sales Ratio,9.24,7.44,5.86,7.88,8.34,8.76,9.57,9.49,-,-,-,-,-,-
12,EV/EBITDA Ratio,69.70,68.02,46.76,49.44,-,36.33,39.81,39.81,-,-,-,-,-,-
13,EV/EBIT Ratio,202.29,162.86,89.32,75.08,-,43.58,46.93,46.90,-,-,-,-,-,-
14,EV/FCF Ratio,96.27,77.50,-,31.78,35.74,48.72,162.43,148.63,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.06,0.44,-,0.45,0.52,0.67,0.67
16,Debt / EBITDA Ratio,0.13,0.07,0.11,0.23,-,0.16,0.19,0.78,1.27,-,1.77,2.99,1.09,1.09
17,Debt / FCF Ratio,0.18,0.18,-,0.09,0.10,0.22,0.90,2.31,11.08,-,3.54,-,2.89,5.79
18,Asset Turnover,0.39,0.36,0.24,0.29,0.39,0.42,0.41,-,-,-,-,0.91,-,
19,Inventory Turnover,3.99,5.16,5.05,3.61,4.16,3.63,4.07,3.14,-,-,-,-,5.69,-
20,Quick Ratio,7.26,7.26,7.91,8.64,7.01,5.54,5.60,4.50,1.00,-,1.11,-,1.03,1.03
21,Current Ratio,7.96,7.96,8.66,9.43,7.58,6.14,6.30,5.10,1.33,-,1.50,-,1.21,1.21
22,Return on Equity (ROE),4.44%,5.18%,1.69%,-0.49%,7.38%,12.28%,6.01%,-,-,22.23%,-,41.95%,-,
23,Return on Assets (ROA),3.68%,1.84%,0.80%,-2.50%,5.10%,5.32%,4.17%,-,-,-,-,15.10%,-,
24,Return on Capital (ROIC),3.99%,1.98%,0.87%,-2.76%,5.65%,5.85%,4.74%,-,-,8.53%,-,22.05%,-,
25,Return on Capital Employed (ROCE),1.61%,1.61%,2.38%,3.90%,-,9.14%,9.29%,8.53%,17.88%,-,15.60%,-,29.44%,14.72%
26,Earnings Yield,0.77%,0.93%,1.38%,1.54%,1.53%,1.96%,1.87%,2.00%,-,-,-,-,-,-
27,FCF Yield,0.90%,1.09%,2.58%,2.69%,2.44%,1.84%,0.55%,0.68%,-,-,-,-,-,-
28,Dividend Yield,1.39%,-,-,-,1.37%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,184.64%,0.12%,397.70%,-,-,0.26%,171.76%,14.11%,6.58%,8.58%,10.45%,22.74%,56.08%,56.08%
30,Buyback Yield / Dilution,-11.62%,0.02%,-0.10%,-19.91%,-33.31%,-33.41%,-33.30%,-11.09%,-9.78%,-9.75%,-,-,-,-
31,Total Shareholder Return,-10.24%,0.02%,-0.10%,-19.91%,-31.94%,-33.41%,-33.30%,-11.09%,-9.78%,-9.75%,-,-,-,-
