,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Operating Revenue,97.01,92.21,63.73,66.55,103.17,114.83,92.94,120.81,97.64,89.63,84.12,61.73,61.73
1,Other Revenue,-,-,-,9.76,-,-,-,6.28,-,-,-,4.91,4.91
2,Revenue,97.01,92.21,63.73,76.31,103.17,114.83,92.94,127.09,97.64,89.63,84.12,66.63,66.63
3,Revenue Growth (YoY),-5.96%,-19.70%,-31.43%,-39.96%,5.66%,28.10%,10.48%,90.74%,46.54%,-,-,-,-
4,Cost of Revenue,60.02,57.27,40.66,55.02,58.26,71.73,56.1,82.17,56.35,57.01,55.9,37.91,37.91
5,Gross Profit,36.99,34.94,23.07,21.29,44.9,43.09,36.84,44.92,41.3,32.62,28.22,28.72,28.72
6,"Selling, General & Admin",13.23,16.01,13.46,17.22,14.1,14.97,12.97,6.87,11.18,9.14,9.85,11.01,11.01
7,Research & Development,8.83,8.59,7.19,10.17,9.22,8.72,8.24,7.19,6.83,6.08,6.59,-,-
8,Other Operating Expenses,-0.33,1.52,0.21,6.43,0.71,-4.22,1.31,1.95,0,-0.4,0.84,0.27,0.27
9,Operating Expenses,22.15,27.44,19.73,31.94,23.11,20,21.7,16.94,19.32,15.27,16.39,10.95,10.95
10,Operating Income,14.84,7.5,3.35,-10.65,21.79,23.09,15.14,27.98,21.98,17.35,11.83,17.77,17.77
11,Interest Expense,-0.08,-0.09,-0.1,-0.14,-0.24,-0.29,-1.46,-1.97,-1.78,-2.07,-1.94,-1.07,-1.07
12,Interest & Investment Income,2.2,7.06,-,1.05,3.25,1.93,1.18,0.14,0.11,0.14,0.13,0.17,0.17
13,Currency Exchange Gain (Loss),-1.24,1.24,-,2.56,-4.39,4.39,-,8.09,-5.24,5.24,-,-1.16,-1.16
14,Other Non Operating Income (Expenses),-3.48,-4.58,4.44,-3.57,3.61,2.42,-2.81,-10.62,11.03,0.24,-0.73,-0.03,-0.03
15,EBT Excluding Unusual Items,12.23,11.14,7.68,-10.75,24.02,31.54,12.05,23.62,26.1,20.89,9.29,15.68,15.68
16,Gain (Loss) on Sale of Assets,-0.33,0.29,-0.29,-0.13,0.21,0.04,-,-,0.04,0.06,-,0.16,0.16
17,Asset Writedown,-0.46,1.7,-2,3.84,-4.88,1.29,-1.3,3.38,-3.4,0.33,-0.33,0,0
18,Other Unusual Items,-0.67,0.47,-0.05,4.98,-,-,-,1.06,-0,0,-,-0.12,-0.12
19,Pretax Income,10.78,13.6,5.34,-2.06,19.35,32.87,10.75,28.06,22.75,21.29,8.96,15.72,15.72
20,Income Tax Expense,0.53,1.47,1.3,-0.89,1.94,3.84,0.54,1.76,2.54,2.24,0.45,3.08,3.08
21,Earnings From Continuing Operations,10.25,12.14,4.04,-1.17,17.42,29.03,10.2,26.3,20.21,19.05,8.5,12.64,12.64
22,Minority Interest in Earnings,0.42,0.44,0.36,0.61,0.43,0.13,0.05,0.06,0.04,0.06,0.04,-,-
23,Net Income,10.66,12.57,4.41,-0.56,17.85,29.17,10.26,26.36,20.25,19.11,8.55,12.64,12.64
24,Net Income to Common,10.66,12.57,4.41,-0.56,17.85,29.17,10.26,26.36,20.25,19.11,8.55,12.64,12.64
25,Net Income Growth,-40.28%,-56.89%,-57.04%,-,-11.86%,52.66%,19.96%,108.59%,60.25%,-,-,-,-
26,Shares Outstanding (Basic),100,100,100,100,100,100,83,75,75,75,75,68,68
27,Shares Outstanding (Diluted),100,100,100,100,100,100,83,75,75,75,75,68,68
28,Shares Change (YoY),-0.02%,0.10%,19.91%,33.31%,33.41%,33.30%,11.09%,9.78%,9.75%,-,-,-,-
29,EPS (Basic),0.11,0.13,0.04,-0.01,0.18,0.29,0.12,0.35,0.27,0.25,0.11,0.18,0.18
30,EPS (Diluted),0.11,0.13,0.04,-0.01,0.18,0.29,0.12,0.35,0.27,0.25,0.11,0.18,0.18
31,EPS Growth,-40.27%,-56.93%,-64.18%,-,-33.93%,14.52%,7.98%,90.00%,46.01%,-,-,-,-
32,Free Cash Flow,8.23,-2.14,3.32,22.2,40.75,22.52,4.87,10.58,-12.49,23.05,-5.21,14,14
33,Free Cash Flow Per Share,0.08,-0.02,0.03,0.22,0.41,0.23,0.06,0.14,-0.17,0.31,-0.07,0.20,0.20
34,Dividend Per Share,-,-,-,0.500,-,-,-,0.500,-,-,-,-,-
35,Gross Margin,38.13%,37.89%,36.20%,27.90%,43.53%,37.53%,39.64%,35.35%,42.29%,36.40%,33.54%,43.11%,43.11%
36,Operating Margin,15.30%,8.14%,5.25%,-13.95%,21.12%,20.11%,16.29%,22.02%,22.51%,19.36%,14.06%,26.67%,26.67%
