,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2017,Q1 2017
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '17 Jun 30, 2017","Mar '17 Mar 31, 2017"
0,Cash & Equivalents,477.3,467.82,526.4,524.13,468.94,427.8,524.77,92.99,-,95.87,-,102.06,102.06
1,Trading Asset Securities,-,-,-,-,30,30,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,477.3,467.82,526.4,524.13,498.94,457.8,524.77,92.99,-,95.87,84.74,102.06,102.06
3,Cash Growth,-4.34%,2.19%,0.31%,463.62%,-,377.55%,519.28%,-8.88%,-,-,-,-,-
4,Accounts Receivable,115.1,107.84,83.8,105.1,138.9,150.89,131.65,160.13,-,116.65,-,75.55,75.55
5,Other Receivables,2.43,7,2.23,4.11,1.88,3.66,6.24,4.59,-,5.74,-,1.2,1.2
6,Receivables,117.53,115.52,86.03,109.21,140.78,158.78,137.89,164.72,-,122.39,-,76.75,76.75
7,Inventory,46.73,46.35,44.33,45.78,60.03,68.47,72.54,70.46,-,61.14,-,26.65,26.65
8,Prepaid Expenses,-,-,-,0.66,-,-,-,0.55,-,-,-,-,-
9,Other Current Assets,11.15,7.46,11.39,5.54,9.47,3.73,15.54,15.99,-,13.48,-,5.29,5.29
10,Total Current Assets,652.72,637.16,668.15,685.32,709.22,688.77,750.75,344.72,-,292.88,-,210.74,210.74
11,"Property, Plant & Equipment",229.97,233.69,239.28,241.09,286.91,311.89,312.19,308.54,-,270.31,-,46.76,46.76
12,Other Intangible Assets,28.79,29.12,29.27,29.45,29.75,30,29.41,29.63,-,30.09,-,32.36,32.36
13,Long-Term Deferred Tax Assets,2.69,2.66,2.79,2.92,2.93,2.98,3.34,2.63,-,2.37,-,2.1,2.1
14,Long-Term Deferred Charges,30.81,31.19,31.6,31.22,30.17,6.54,1.66,1.5,-,2.42,-,2.38,2.38
15,Other Long-Term Assets,70.84,65.19,63.85,61.26,19.51,18.22,16.04,14.43,-,12.74,-,-,-
16,Total Assets,1016,999.01,1035,1051,1078,1058,1113,701.44,-,610.81,-,294.33,294.33
17,Accounts Payable,68.32,60.07,54.19,67.01,92.3,84.79,84.68,100.66,-,72.88,-,31.79,31.79
18,Accrued Expenses,3.92,7.69,9.17,17.2,7.73,9.31,3.47,13.37,-,9.85,-,5.23,5.23
19,Short-Term Debt,-,-,-,-,5.01,5.01,47.05,106.92,-,77.07,-,81,81
