,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,788,1044,1575,553,692,1165,1971,2509,5884,1319,1002
1,Market Cap Growth,88.73%,88.73%,127.57%,-52.52%,-64.88%,-53.58%,-66.51%,90.20%,487.23%,-2.74%,8.25%
2,Enterprise Value,708,997,1728,1038,969,1392,1768,2474,5839,1321,998
3,Last Close Price,1.69,2.24,3.38,1.79,2.24,3.77,6.40,8.15,19.14,4.30,3.28
4,PE Ratio,14.53,-,29.19,-,-,-,-,17.74,113.74,-,-
5,PS Ratio,0.50,0.67,1.44,0.20,0.29,-,2.81,4.11,13.98,4.77,3.81
6,PB Ratio,2.79,3.70,4.97,2.59,-9.34,7.92,8.05,9.01,30.68,10.18,8.66
7,P/TBV Ratio,3.70,3.70,4.97,2.68,-,8.64,8.07,9.02,30.77,10.20,8.68
8,P/FCF Ratio,-,-97.03,-,-,-,-,-,15.00,-,48.67,-
9,P/OCF Ratio,-,-97.26,-,-,-,-,-,13.82,-,44.26,-
10,EV/Sales Ratio,0.45,0.64,1.58,0.37,0.40,-,2.52,4.05,13.88,4.78,3.79
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,14.19,68.46,-76.06,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,14.90,74.43,-52.66,-
13,EV/FCF Ratio,-65.80,-92.72,-,-,-,-,-,14.79,-,48.74,-
14,Debt / Equity Ratio,0.02,0.02,-,2.19,-7.05,4.01,2.46,1.25,1.89,2.77,3.75
15,Debt / FCF Ratio,-,-0.45,-,-,-,-,-,2.09,-,13.23,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,27.59%,17.58%,-6.54%,-
17,Earnings Yield,6.89%,5.20%,3.43%,-51.96%,-34.90%,-,1.96%,5.64%,0.88%,-2.47%,-3.46%
18,FCF Yield,-1.36%,-1.03%,-5.61%,-47.57%,-32.81%,-,-5.69%,6.67%,0.44%,2.05%,1.60%
19,Buyback Yield / Dilution,-49.45%,-48.12%,-50.82%,-,-0.33%,-,0.66%,-0.80%,-1.48%,-0.14%,-
20,Total Shareholder Return,-49.45%,-48.12%,-50.82%,-,-0.33%,-,0.66%,-0.80%,-1.48%,-0.14%,-
