,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,899.36,620.99,425.74,2385,-,76.14,-261.72,261.72,159.1,117.46
1,Other Revenue,14.42,34.62,10.73,12.26,-,275.66,610.71,-,-,-
2,Revenue,913.78,655.61,436.47,2397,-,351.8,348.99,261.72,159.1,117.46
3,Revenue Growth (YoY),109.35%,-72.65%,-,581.38%,-,34.42%,119.36%,122.82%,9.23%,-29.53%
4,Cost of Revenue,901.7,623.47,411.7,2411,-,250.63,180.4,127.68,102.98,95.72
5,Gross Profit,12.08,32.14,24.78,-14.39,-,101.17,168.59,134.04,56.12,21.74
6,"Selling, General & Admin",52.1,54.09,81,105.8,-,150.38,79.42,57.18,54.53,48.42
7,Operating Expenses,52.1,54.09,81,105.8,-,150.38,79.42,57.18,54.53,48.42
8,Operating Income,-40.02,-21.95,-56.23,-120.18,-,-49.2,89.17,76.86,1.59,-26.68
9,Interest Expense,-0.08,-4.68,-6.93,-8.13,-,-7.25,-6.78,-6.9,-7.89,-9.02
10,Interest & Investment Income,1.5,-,0.02,-,-,0.87,0.11,0.35,0.5,2.36
11,Earnings From Equity Investments,-5.08,5.08,0.27,3.61,-,-,-,-,-,-
12,Currency Exchange Gain (Loss),0.99,-,0.39,-,-,-,-,-,-,-
13,Other Non Operating Income (Expenses),-87.31,122.51,9.98,-88.4,-,10.42,3.05,2.99,3.26,3.27
14,EBT Excluding Unusual Items,-130,100.96,-52.49,-213.11,-,-45.17,85.55,73.3,-2.54,-30.06
15,Gain (Loss) on Sale of Assets,1.22,-1.22,-0.08,-7.06,-,-,21.94,-,-,-
16,Asset Writedown,85.9,-0.48,-9.99,-,-,-,-,-,-,-
17,Other Unusual Items,-,-,0.28,0.28,-,0.6,0.71,0.02,0.02,-
18,Pretax Income,-42.89,99.27,-62.28,-219.9,-,-44.57,108.21,73.32,-2.53,-30.06
19,Income Tax Expense,1.94,-1.9,-3.67,-1.22,-,4.22,20.83,19.21,-0.15,0.15
20,Earnings From Continuing Operations,-44.83,101.17,-58.61,-218.68,-,-48.79,87.37,54.11,-2.37,-30.21
21,Earnings From Discontinued Operations,-,-,2.27,-13.68,-,-,-,-,-,-
22,Net Income to Company,-44.83,101.17,-56.34,-232.36,-,-48.79,87.37,54.11,-2.37,-30.21
23,Minority Interest in Earnings,-0.66,-1.35,10.47,-9.15,-,-,-,-,-,-
24,Net Income,-45.49,99.81,-45.87,-241.51,-,-48.79,87.37,54.11,-2.37,-30.21
25,Net Income to Common,-45.49,99.81,-45.87,-241.51,-,-48.79,87.37,54.11,-2.37,-30.21
26,Shares Outstanding (Basic),466,466,316,309,-,308,308,307,306,305
27,Shares Outstanding (Diluted),468,466,316,309,-,308,308,310,306,305
28,Shares Change (YoY),48.12%,50.82%,-,0.33%,-,-0.66%,0.80%,1.48%,0.14%,-
29,EPS (Basic),-0.10,0.21,-0.15,-0.78,-,-0.16,0.28,0.18,-0.01,-0.10
30,EPS (Diluted),-0.10,0.21,-0.15,-0.78,-,-0.16,0.28,0.17,-0.01,-0.10
31,Free Cash Flow,41.62,-52.37,-36,-227.08,-,-283.27,171.13,-3.88,29.61,-2.51
32,Free Cash Flow Per Share,0.09,-0.11,-0.11,-0.73,-,-0.92,0.55,-0.01,0.10,-0.01
33,Operating Margin,-4.38%,-3.35%,-12.88%,-5.01%,-,-13.99%,25.55%,29.37%,1.00%,-22.71%
34,Profit Margin,-4.98%,15.22%,-10.51%,-10.07%,-,-13.87%,25.04%,20.67%,-1.49%,-25.72%
35,Free Cash Flow Margin,4.55%,-7.99%,-8.25%,-9.47%,-,-80.52%,49.03%,-1.48%,18.61%,-2.13%
36,EBITDA,-39.93,-21.67,-51.14,-113.76,-,-43.89,94.38,80.02,5.28,-22.64
37,D&A For EBITDA,0.09,0.28,5.08,6.43,6.95,5.32,5.21,3.16,3.69,4.03
38,EBIT,-40.02,-21.95,-56.23,-120.18,-,-49.2,89.17,76.86,1.59,-26.68
39,Revenue as Reported,913.78,655.61,436.47,2397,-,351.8,610.71,-,-,-
