,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Market Capitalization,873,1947,2972,3567,8445,4542,8421,-,-,-
1,Market Cap Growth,-45.41%,-45.41%,-64.81%,-21.47%,0.28%,-,-,-,-,-
2,Enterprise Value,1006,1982,3025,3685,8332,4138,13315,-,-,-
3,Last Close Price,1.95,4.35,6.51,7.74,14.52,7.81,14.48,-,-,-
4,PE Ratio,38.49,84.39,159.78,-26.31,-,-,-,-,-,-
5,Forward PE,10.68,22.29,32.53,47.38,43.65,24.10,-,-,-,-
6,PS Ratio,0.46,1.01,1.57,2.09,5.01,2.65,4.20,-,-,-
7,PB Ratio,0.47,1.01,1.49,1.83,4.36,2.33,4.23,-,-,-
8,P/TBV Ratio,1.26,1.26,1.85,2.26,5.39,2.85,4.73,-,-,-
9,P/FCF Ratio,4.58,10.20,13.21,59.21,-,77.73,62.76,-,-,-
10,P/OCF Ratio,8.09,8.09,9.91,23.01,56.13,20.59,30.40,-,-,-
11,EV/Sales Ratio,0.52,1.02,1.60,2.16,4.95,2.41,6.64,-,-,-
12,EV/EBITDA Ratio,5.45,19.17,15.57,-95.70,-,-65.59,-,-,-,-
13,EV/EBIT Ratio,1312.55,1312.55,-,-28.64,-,-,-,-,-,-
14,EV/FCF Ratio,5.27,10.38,13.44,61.17,-,70.82,99.22,-,-,-
15,Debt / Equity Ratio,0.60,0.60,0.57,0.58,0.56,0.51,0.55,-1.76,-1.71,-
16,Debt / FCF Ratio,6.07,6.07,5.07,18.60,-,17.17,8.20,24.52,19.72,-
17,Return on Capital Employed (ROCE),0.06%,0.06%,-,-4.83%,-,-,-,5.92%,-,-
18,Earnings Yield,2.64%,1.19%,0.63%,-3.80%,-2.98%,-7.80%,-10.28%,-,-,-
19,FCF Yield,21.86%,9.80%,7.57%,1.69%,0.32%,1.29%,1.59%,-,-,-
20,Buyback Yield / Dilution,-4.73%,2.82%,-6.79%,-4.84%,-458.74%,-485.80%,-12.23%,-8.57%,-,-
21,Total Shareholder Return,-4.73%,2.82%,-6.79%,-4.84%,-458.74%,-485.80%,-12.23%,-8.57%,-,-
