,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Cash & Equivalents,613.46,656.28,629.99,621.86,601.41,1052,1121,676.3,-
1,Short-Term Investments,30,111.58,183.57,52.66,248.5,14,2,-,-
2,Trading Asset Securities,354.49,335.22,268.81,263.01,248.16,197.06,6.03,51,-
3,Cash & Short-Term Investments,997.94,1103,1082,937.53,1098,1263,1129,727.31,-
4,Cash Growth,-7.80%,17.66%,-1.43%,-25.79%,-2.71%,73.70%,-,-,-
5,Accounts Receivable,83.73,81.96,63.14,70.95,80.66,67.6,56.85,69.35,-
6,Other Receivables,77.73,76.13,80.63,93.88,26.57,18.24,94.68,56.72,-
7,Receivables,263.56,272.78,272.97,280.59,191.06,95.06,238.8,150.74,-
8,Inventory,97.31,87.41,90.99,78.83,76.38,79.24,79.91,63.07,-
9,Prepaid Expenses,74.42,61.88,66.53,56.01,69.62,66.28,65.72,57.29,-
10,Restricted Cash,188.65,168.64,120.05,154.89,149.22,95.29,97.3,65.71,-
11,Other Current Assets,26.43,24.16,24.7,25.7,36.11,30.09,32.17,28.84,-
12,Total Current Assets,1648,1718,1658,1534,1620,1629,1643,1093,-
13,"Property, Plant & Equipment",911.77,990.64,1035,1016,1012,1001,916.47,855.96,-
14,Long-Term Investments,124.97,114.11,113.08,96.39,67.66,48.83,45.68,44.12,-
15,Goodwill,197.12,197.12,182.75,182.75,176.05,98.47,98.47,98.47,-
16,Other Intangible Assets,73.25,75.58,72.62,56.34,60.74,24.61,28.34,26.61,-
17,Long-Term Deferred Tax Assets,69.04,72.12,68.29,63.93,59.83,56.68,30.04,28.63,-
18,Long-Term Deferred Charges,4.2,3.55,3.83,2.78,3.68,3.67,4.17,1.74,-
19,Other Long-Term Assets,74.55,76.14,95.5,95.53,122.09,87.23,63.52,73.24,-
20,Total Assets,3126,3253,3234,3062,3158,2990,2869,2351,-
21,Accounts Payable,76.65,83.76,83.38,84.97,80.04,74.21,114.87,121.32,-
22,Accrued Expenses,63.93,71.1,67.53,88.25,75.94,90.07,126.56,86.2,-
23,Short-Term Debt,-,-,-,-,-,80.1,86.26,41.42,-
24,Current Portion of Long-Term Debt,423.43,355.63,240.22,172.77,126.21,57.26,287.82,3503,-
25,Current Portion of Leases,151.16,154.25,164,169.44,137.24,142.12,119.97,132.14,-
26,Current Income Taxes Payable,32.45,29.85,27.92,19.2,14.36,8.07,8.96,9.57,-
27,Current Unearned Revenue,120.29,127.43,132.95,154.02,176.3,184.29,194.85,209.52,-
28,Other Current Liabilities,14.47,18.24,34.07,36.25,88.52,108.82,178.25,154.66,-
29,Total Current Liabilities,882.37,840.25,750.06,724.89,698.6,744.94,1118,4257,-
30,Long-Term Debt,-,-,44.47,47.25,33.4,-,4084,23.87,-
31,Long-Term Leases,471.51,542.86,595.64,566.22,612.59,611.19,551.13,511.01,-
32,Long-Term Unearned Revenue,24.7,20.88,22.51,16.32,21.66,21.6,24.53,11.88,-
33,Long-Term Deferred Tax Liabilities,9.14,11.69,10.19,11.06,11.01,2.13,2.63,3.13,-
34,Other Long-Term Liabilities,-,-,-,-,12.84,-,-,-,-
35,Total Liabilities,1388,1416,1423,1366,1390,1380,5780,4807,-
36,Common Stock,72.48,74.59,74.77,74.77,74.77,74.77,24.88,9.45,-
37,Additional Paid-In Capital,-,4761,-,4728,-,4693,109.79,109.79,-
38,Retained Earnings,-3546,-3554,-3567,-3572,-3440,-3352,-3217,-2749,-
39,Treasury Stock,-,-65.77,-,-49.35,-,-15.44,-15.44,-,-
40,Comprehensive Income & Other,5140,539.81,5216,428.97,5048,163.95,136.16,129.39,-
41,Total Common Equity,1667,1755,1724,1611,1682,1565,-2962,-2500,-
42,Minority Interest,71.3,82.09,87.36,85.2,86.28,45.79,50.15,43.3,-
43,Shareholders' Equity,1738,1837,1811,1696,1768,1610,-2911,-2457,-
44,Total Liabilities & Equity,3126,3253,3234,3062,3158,2990,2869,2351,-
45,Total Debt,1046,1053,1044,955.68,909.44,890.67,5129,4211,-
46,Net Cash (Debt),-48.15,50.34,38.05,-18.15,188.63,372.67,-4001,-3484,-
47,Net Cash Growth,-,-,-79.83%,-,-,-,-,-,-
48,Net Cash Per Share,-0.10,0.10,0.08,-0.04,0.40,4.57,-50.26,-47.97,-
49,Filing Date Shares Outstanding,448.21,460.66,462.57,460.86,581.59,581.59,581.59,189.79,73.32
50,Total Common Shares Outstanding,448.21,460.66,462.57,460.86,581.59,581.59,69.83,69.83,73.32
51,Working Capital,765.94,877.7,907.56,808.66,921.86,884.36,524.98,-3164,-
52,Book Value Per Share,3.72,3.81,3.73,3.49,2.89,2.69,-42.41,-35.80,-
53,Tangible Book Value,1397,1482,1469,1372,1445,1442,-3088,-2625,-
54,Tangible Book Value Per Share,3.12,3.22,3.18,2.98,2.49,2.48,-44.23,-37.59,-
55,Machinery,-,427.29,-,415.1,-,361.45,313.33,301.79,-
56,Leasehold Improvements,-,417.59,-,365.21,-,325.6,331.06,291.83,-
