,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020"
0,Revenue,887.47,859.63,886.16,702.17,771.57,782.21,841.34,794.81,720.32
1,Revenue Growth (YoY),0.15%,22.42%,14.85%,-10.23%,-8.29%,-1.58%,16.80%,-,-
2,Cost of Revenue,712.46,669.8,683.31,622.26,604.4,633.11,653.88,613.19,537.51
3,Gross Profit,175.01,189.83,202.85,79.91,167.17,149.1,187.46,181.61,182.81
4,"Selling, General & Admin",163.25,192.78,190.77,210.63,227.41,214.32,141.4,100.67,108.78
5,Research & Development,3.98,3.66,4.58,7.81,10.73,22.6,10.32,18.64,8.67
6,Other Operating Expenses,-0.87,1.36,-4.64,-7.21,1.16,-7.66,-6.46,-1.52,0.3
7,Operating Expenses,166.37,197.11,190.72,211.92,239.29,229.85,145.25,120.08,118.15
8,Operating Income,8.65,-7.28,12.13,-132.01,-72.12,-80.75,42.21,61.53,64.66
9,Interest Expense,-21.2,-24.15,-22.42,-22.47,-21.82,-23.39,-23.08,-28.12,-23.79
10,Interest & Investment Income,17.24,21.02,17.47,13.39,5.57,2.3,5.98,3.14,4.44
11,Earnings From Equity Investments,-0.54,-1.22,0.4,-3.29,1,-1.24,0.83,2.34,0.27
12,Currency Exchange Gain (Loss),0.09,0.02,-0.15,0.22,-0.86,-0.17,-0.02,-0.03,-0.03
13,Other Non Operating Income (Expenses),-,-1.26,-,-2.18,-,0.3,-35.12,-20.37,-9.22
14,EBT Excluding Unusual Items,4.23,-12.88,7.43,-146.33,-88.23,-102.96,-9.2,18.48,36.32
15,Gain (Loss) on Sale of Investments,6.87,6.03,3.69,5.77,1.39,4.75,0.29,2.24,3.9
16,Gain (Loss) on Sale of Assets,-2.59,-0.48,-0.96,-1.54,-0.14,-0.65,0.59,-4.22,-0.78
17,Other Unusual Items,-1.12,14.27,-,11.17,-,-151.98,-450.76,-417.14,-220.54
18,Pretax Income,7.4,6.92,10.16,-130.93,-86.98,-250.83,-459.08,-400.63,-181.11
19,Income Tax Expense,3.58,-0.26,3.93,2.45,2.99,-18.62,5.11,9.21,6.81
20,Earnings From Continuing Operations,3.82,7.18,6.23,-133.38,-89.97,-232.21,-464.19,-409.84,-187.92
21,Minority Interest in Earnings,4.83,5,-1.25,2.06,1.38,-0.39,-4.24,-0.06,-1.6
22,Net Income,8.65,12.18,4.98,-131.32,-88.59,-232.6,-468.43,-409.9,-189.52
23,Net Income to Common,8.65,12.18,4.98,-131.32,-88.59,-232.6,-468.43,-409.9,-189.52
24,Net Income Growth,73.68%,-,-,-,-,-,-,-,-
25,Shares Outstanding (Basic),455,456,463,455,466,82,80,73,73
26,Shares Outstanding (Diluted),475,486,489,455,466,82,80,73,73
27,Shares Change (YoY),-2.82%,6.79%,4.84%,458.74%,485.80%,12.23%,8.57%,-,-
28,EPS (Basic),0.02,0.03,0.01,-0.29,-0.19,-2.85,-5.88,-5.64,-2.58
29,EPS (Diluted),0.02,0.03,0.01,-0.30,-0.20,-2.85,-5.88,-5.64,-2.58
30,EPS Growth,90.31%,-,-,-,-,-,-,-,-
31,Free Cash Flow,42.62,129.7,77.91,-21.78,45.28,7.68,100.95,108.25,105.25
32,Free Cash Flow Per Share,0.09,0.27,0.16,-0.05,0.10,0.09,1.27,1.49,1.44
33,Operating Margin,0.97%,-0.85%,1.37%,-18.80%,-9.35%,-10.32%,5.02%,7.74%,8.98%
34,Profit Margin,0.97%,1.42%,0.56%,-18.70%,-11.48%,-29.74%,-55.68%,-51.57%,-26.31%
35,Free Cash Flow Margin,4.80%,15.09%,8.79%,-3.10%,5.87%,0.98%,12.00%,13.62%,14.61%
36,EBITDA,56.11,37.23,141.97,-177.85,60.45,-117.63,159.73,100.7,106.74
37,D&A For EBITDA,47.46,44.52,129.83,-45.84,132.56,-36.88,117.53,39.17,42.08
38,EBIT,8.65,-7.28,12.13,-132.01,-72.12,-80.75,42.21,61.53,64.66
