,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q2 2013,Q1 2013,Q4 2012,Q2 2012,Q2 2011,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,+1 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Jun '12 Jun 30, 2012","Jun '11 Jun 30, 2011","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009",+1 Quarters
0,Cash & Equivalents,1878,-,-,-,-,-,5583,16457,7669,-,-,-,7929,5087,7852,-,3570,3569,-,-,Upgrade
1,Short-Term Investments,309452,-,-,-,-,-,8000,10000,8000,-,-,-,4000,-,13000,-,14000,12000,-,-,Upgrade
2,Cash & Short-Term Investments,311330,-,-,-,-,-,13583,26457,15669,-,-,-,11929,5087,20852,17570,17570,15569,-,-,Upgrade
3,Cash Growth,-,-,-,-,-,-,-,-,31.36%,-,-,-,-32.11%,-67.32%,-,-,-,-,-,-,Upgrade
4,Accounts Receivable,18774,-,-,-,-,-,7406,4345,7662,-,-,-,232.88,4277,404.86,-,373.6,114.41,-,-,Upgrade
5,Other Receivables,4922,-,-,-,-,-,1671,1197,782.93,-,-,-,1152,5016,23292,-,29646,29219,-,-,Upgrade
6,Receivables,23696,-,-,-,-,-,9077,5542,8445,-,-,-,1384,9293,23697,-,30020,29334,-,-,Upgrade
7,Inventory,1800,-,-,-,-,-,609.08,3801,2175,-,-,-,1202,7137,12205,-,3213,2712,-,-,Upgrade
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,514.55,-,-,-,-,-,-,-,Upgrade
