,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q2 2013,Q1 2013,Q4 2012,Q2 2012,Q2 2011,Q3 2010,Q2 2010,Q1 2010,Q4 2009,Q3 2009,Q2 2009,+1 Quarters
,Period Ending,"Feb '25 Feb 28, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Jun '12 Jun 30, 2012","Jun '11 Jun 30, 2011","Sep '10 Sep 30, 2010","Jun '10 Jun 30, 2010","Mar '10 Mar 31, 2010","Dec '09 Dec 31, 2009","Sep '09 Sep 30, 2009","Jun '09 Jun 30, 2009",+1 Quarters
0,Market Capitalization,462808,409167,410414,349289,344299,411662,289411,229533,256977,234522,184624,184624,192109,184624,182129,-,-,-,-,-,-,Upgrade
1,Market Cap Growth,-,-0.61%,41.81%,52.17%,33.98%,75.53%,56.76%,24.32%,33.77%,27.03%,1.37%,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Enterprise Value,738658,-,-,956004,951014,1018377,896126,824255,831950,423289,373390,373390,380875,411170,459011,-,-,-,-,-,-,Upgrade
3,Last Close Price,18550.00,16400.00,14983.70,5316.89,5240.93,5611.03,3944.72,3128.57,3502.64,3196.59,2238.14,2238.14,2328.88,2011.49,1641.60,-,-,-,-,-,-,Upgrade
4,PE Ratio,7.26,7.09,7.56,6.85,7.71,10.58,10.06,7.51,7.61,5.91,4.06,4.76,5.09,5.15,5.02,-,-,-,-,-,-,Upgrade
5,PS Ratio,0.95,1.00,1.22,1.31,1.44,1.98,1.53,1.22,1.41,1.28,1.11,1.12,1.20,1.14,1.10,-,-,-,-,-,-,Upgrade
6,PB Ratio,0.92,0.81,-,-,-,-,-,0.69,0.79,0.74,-,-,-,0.61,0.62,-,-,-,-,-,-,Upgrade
7,P/TBV Ratio,-,0.81,-,-,-,-,-,0.69,0.79,0.74,-,-,-,0.61,0.62,-,-,-,-,-,-,Upgrade
8,P/FCF Ratio,2.11,-,-,-,-,-,-,-2.41,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-,-,2.62,2.59,-,2.92,6.72,-,-,-,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,1.51,-,-,3.59,3.99,4.90,4.73,4.36,4.56,2.31,2.24,2.27,2.37,2.54,2.78,-,-,-,-,-,-,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-,8.95,8.85,9.14,-,6.30,12.78,-,-,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,5.92,-,-,13.40,16.60,21.84,28.34,23.68,19.11,7.81,5.72,5.75,5.57,5.96,6.37,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,3.37,-,-,-,-,-,-,-8.67,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Debt / Equity Ratio,1.03,1.16,-,-,-,-,-,1.87,1.91,1.86,-,-,-,0.66,0.79,1.03,1.27,1.27,0.04,-,-,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,4.95,4.88,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-6.52,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
17,Asset Turnover,-,-,-,-,-,-,0.20,0.17,-,-,-,-,-,-,-,-,0.23,-,-,-,Upgrade,
18,Inventory Turnover,-,-,-,-,-,-,-,61.16,36.79,-,-,-,-,-,-,-,-,20.91,-,-,-,Upgrade
19,Quick Ratio,1.59,2.91,-,-,-,-,-,0.43,0.40,0.29,-,-,-,0.43,1.25,1.59,-,1.68,2.01,-,-,Upgrade
20,Current Ratio,2.28,2.94,-,-,-,-,-,0.58,0.54,0.50,-,-,-,1.73,2.62,2.28,-,1.97,2.26,-,-,Upgrade
21,Return on Equity (ROE),-,-,-,-,-,-,8.99%,9.46%,-,-,-,-,-,-,13.81%,17.41%,13.70%,-,-,-,Upgrade,
