,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,8581344,7129611,9518699,12593839,9760382,6917546,6663315,9795686,8301982,7363980,8067776,10142717,7032911,876967,4455409,7181771,5842722,3922374,2744802,5000890,Upgrade
1,Revenue Growth (YoY),-12.08%,3.07%,42.85%,28.57%,17.57%,-6.06%,-17.41%,-3.42%,18.04%,739.71%,81.08%,41.23%,20.37%,-77.64%,62.32%,43.61%,9.80%,-0.30%,-7.33%,4.54%,Upgrade
2,Cost of Revenue,6790486,5879029,8037577,10444502,8008978,5719911,5453714,7895734,6832765,6116068,6618590,8381926,5750685,721084,3620339,5856652,4665373,3188044,2271305,3951334,Upgrade
3,Gross Profit,1790858,1250582,1481122,2149337,1751403,1197635,1209601,1899952,1469217,1247912,1449186,1760792,1282226,155884,835069,1325120,1177349,734330,473497,1049556,Upgrade
4,"Selling, General & Admin",912567,947663,938335,1203001,950688,872360,772116,934539,856627,892923,934492,818162,663549,324318,545422,656186,612841,431826,385682,496079,Upgrade
5,Operating Expenses,912567,947663,938335,1203001,950688,872360,772116,934539,856627,892923,934492,818162,663549,324318,545422,656186,612841,431826,385682,496079,Upgrade
6,Operating Income,878291,302919,542787,946336,800715,325274,437484,965413,612590,354989,514693,942629,618677,-168435,289647,668934,564508,302504,87815,553477,Upgrade
7,Interest Expense,-22300,-6196,-3698,-14581,-22666,-28872,-32981,-34050,-34864,-17220,-12892,-30926,-45813,-27736,-21035,-22770,-30387,-40680,-44252,-40379,Upgrade
8,Interest & Investment Income,17680,10774,24439,11890,789.27,24192,41869,11067,-,1863,19766,348.6,-,159.65,12974,107.5,-,145.21,1353,33.92,Upgrade
9,Currency Exchange Gain (Loss),-6818,12458,-10492,-1965,11358,-472.79,-2000,2473,-3010,-8447,5171,3275,7394,2990,-7354,4364,-1571,-434.78,579.3,-144.52,Upgrade
10,Other Non Operating Income (Expenses),-2582,-1936,-19757,-6079,6032,-6830,-8301,-1733,17699,-1555,-49741,-2041,-29017,-488.92,-1021,-2347,2943,-5439,-2805,-1287,Upgrade
11,EBT Excluding Unusual Items,864271,318019,533277,935599,796228,313291,436071,943169,592414,329631,476997,913286,551240,-193509,273211,648288,535493,256096,42691,511701,Upgrade
12,Pretax Income,864271,318019,533277,935599,796228,313291,436071,943169,592414,329631,476997,913286,551240,-193509,273211,648288,535493,256096,42691,511701,Upgrade
13,Income Tax Expense,131748,102184,104878,197792,164647,59956,98482,194576,122099,77360,109963,192213,97939,-33981,50554,135676,108191,54010,11030,103439,Upgrade
14,Earnings From Continuing Operations,732523,215835,428399,737807,631581,253335,337589,748594,470314,252270,367034,721073,453301,-159528,222657,512612,427302,202086,31660,408262,Upgrade
15,Net Income,732523,215835,428399,737807,631581,253335,337589,748594,470314,252270,367034,721073,453301,-159528,222657,512612,427302,202086,31660,408262,Upgrade
16,Preferred Dividends & Other Adjustments,-,-,-,-,187977,-,-,-,139423,-,-,-,63800,-,-,-,89544,-,-,-,Upgrade
17,Net Income to Common,732523,215835,428399,737807,443604,253335,337589,748594,330891,252270,367034,721073,389501,-159528,222657,512612,337758,202086,31660,408262,Upgrade
18,Net Income Growth,15.98%,-14.80%,26.90%,-1.44%,34.29%,0.42%,-8.02%,3.82%,3.75%,-,64.84%,40.67%,6.08%,-,603.26%,25.56%,10.12%,-2.84%,-81.28%,-4.78%,Upgrade
19,Shares Outstanding (Basic),365,335,385,357,262,350,362,338,262,346,342,323,331,324,342,304,304,300,300,300,Upgrade
20,Shares Outstanding (Diluted),365,335,385,357,262,350,362,338,262,346,342,323,331,324,342,304,304,300,300,300,Upgrade
21,Shares Change (YoY),39.11%,-4.37%,6.49%,5.77%,0.06%,1.01%,5.61%,4.58%,-20.77%,7.00%,0.12%,6.48%,9.08%,7.78%,13.90%,1.03%,1.05%,1.17%,1.18%,1.17%,Upgrade
22,EPS (Basic),2006.00,645.00,1112.43,2064.00,1689.96,724.00,933.52,2215.00,1261.37,728.25,1071.91,2231.25,1176.36,-492.75,651.03,1689.00,1112.75,672.75,105.44,1359.00,Upgrade
23,EPS (Diluted),2006.00,645.00,1112.43,2064.00,1689.96,724.00,933.52,2215.00,1261.37,728.25,1071.91,2231.25,1176.36,-492.75,651.03,1689.00,1112.75,672.75,105.44,1359.00,Upgrade
24,EPS Growth,18.70%,-10.91%,19.16%,-6.82%,33.98%,-0.58%,-12.91%,-0.73%,7.23%,-,64.65%,32.10%,5.72%,-,517.42%,24.28%,9.74%,-3.96%,-81.50%,-5.88%,Upgrade
25,Free Cash Flow,-1606457,-479184,212684,1882865,-258702,628804,-319026,1373550,-1191721,-650012,186806,1703123,-139174,-351438,-812977,519918,705126,382413,-80112,404052,Upgrade
26,Free Cash Flow Per Share,-4399.25,-1431.99,552.28,5267.28,-985.55,1797.04,-882.19,4064.17,-4542.87,-1876.44,545.56,5270.06,-420.33,-1085.52,-2377.06,1713.07,2323.05,1273.06,-266.81,1344.98,Upgrade
27,Dividend Per Share,-,600.000,-,-,1400.000,600.000,-,-,800.000,600.000,450.000,-,600.000,450.000,450.000,-,450.000,600.000,450.000,-,Upgrade
28,Dividend Growth,-,0%,-,-,75.00%,0%,-,-,33.33%,33.33%,0%,-,33.33%,-25.00%,0%,-,-40.00%,-,-25.00%,-,Upgrade
29,Gross Margin,20.87%,17.54%,15.56%,17.07%,17.94%,17.31%,18.15%,19.40%,17.70%,16.95%,17.96%,17.36%,18.23%,17.78%,18.74%,18.45%,20.15%,18.72%,17.25%,20.99%,Upgrade
30,Operating Margin,10.23%,4.25%,5.70%,7.51%,8.20%,4.70%,6.57%,9.86%,7.38%,4.82%,6.38%,9.29%,8.80%,-19.21%,6.50%,9.31%,9.66%,7.71%,3.20%,11.07%,Upgrade
31,Profit Margin,8.54%,3.03%,4.50%,5.86%,4.54%,3.66%,5.07%,7.64%,3.99%,3.43%,4.55%,7.11%,5.54%,-18.19%,5.00%,7.14%,5.78%,5.15%,1.15%,8.16%,Upgrade
32,Free Cash Flow Margin,-18.72%,-6.72%,2.23%,14.95%,-2.65%,9.09%,-4.79%,14.02%,-14.35%,-8.83%,2.32%,16.79%,-1.98%,-40.07%,-18.25%,7.24%,12.07%,9.75%,-2.92%,8.08%,Upgrade
33,EBITDA,894267,318529,558429,962206,816857,344898,455731,988233,633039,374207,535202,961969,642669,-154617,309908,685982,583699,320190,105716,570854,Upgrade
34,EBITDA Margin,10.42%,4.47%,5.87%,7.64%,8.37%,4.99%,6.84%,10.09%,7.63%,5.08%,6.63%,9.48%,9.14%,-17.63%,6.96%,9.55%,9.99%,8.16%,3.85%,11.42%,Upgrade
35,D&A For EBITDA,15976,15610,15642,15871,16142,19624,18246,22820,20449,19219,20509,19340,23991,13818,20261,17048,19191,17686,17901,17376,Upgrade
36,EBIT,878291,302919,542787,946336,800715,325274,437484,965413,612590,354989,514693,942629,618677,-168435,289647,668934,564508,302504,87815,553477,Upgrade
37,EBIT Margin,10.23%,4.25%,5.70%,7.51%,8.20%,4.70%,6.57%,9.86%,7.38%,4.82%,6.38%,9.29%,8.80%,-19.21%,6.50%,9.31%,9.66%,7.71%,3.20%,11.07%,Upgrade
