,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,2509,1516,880.02,1771,2469,1809,1439,2567,1975,2645,1487,1597,592.16,829.91,-,1255,-,-,1102
1,Short-Term Investments,-,1710,-,1787,-,1758,-,1730,-,1142,-,1636,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,-,65.27,-,30.17,172.26,282.76,371.38,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,2509,3226,880.02,3558,2469,3567,1504,4297,2005,3959,1770,3604,592.16,829.91,1255,1255,-,1102,1102
4,Cash Growth,1.59%,-9.57%,-41.48%,-17.21%,23.17%,-9.90%,-15.05%,19.22%,238.58%,377.05%,41.02%,187.13%,-,-24.68%,13.93%,-,-,-,-
5,Accounts Receivable,763.49,1077,1012,1056,921.19,1036,1154,746.41,872.94,1240,1043,777.18,618.34,760.45,-,369.8,-,-,725.34
6,Other Receivables,39.96,33.9,28.05,21.43,17.07,9.89,67.79,55.54,25.53,18.56,32.84,22.23,26.18,34.41,-,22.22,-,-,23.47
7,Receivables,803.44,1111,1040,1077,938.26,1046,1222,801.95,898.47,1258,1076,799.41,644.52,794.86,-,392.02,-,-,748.81
8,Inventory,2383,2720,3421,2814,1767,2076,2434,2263,1794,1794,1552,1519,1484,1334,-,1763,-,-,1715
9,Other Current Assets,2088,390.2,2144,362.9,2205,311.89,2077,558.99,2237,266.55,1723,366.14,440.88,388.67,-,303.44,-,-,496.78
10,Total Current Assets,7783,7447,7486,7812,7379,7001,7236,7921,6934,7278,6121,6289,3162,3347,-,3713,-,-,4062
11,"Property, Plant & Equipment",1977,2010,2058,2093,2135,2164,2199,2229,2323,2354,2312,2285,2245,2130,-,1833,-,-,1447
12,Long-Term Investments,305.2,305.2,305.2,305.2,400,400,400,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,258.4,260.01,260.42,259.67,252.41,245.99,246.31,246.9,238.1,239.78,237.47,239.27,239.37,241.15,-,244.04,-,-,248.06
14,Long-Term Deferred Tax Assets,25.46,7.37,1.98,1.67,14.1,11.98,10.02,20.18,23.35,8.44,7.24,7.53,7.66,8.35,-,5.93,-,-,43.73
15,Long-Term Deferred Charges,10.23,10.68,13.2,13.93,16.41,17.1,17.79,18.48,19.14,18.82,17.52,17.3,11.96,12.4,-,12.95,-,-,13.95
16,Other Long-Term Assets,6.62,8.36,7.78,9.06,11.17,8.95,10.23,17.78,17.56,61.14,89.82,93.53,93.86,78.14,-,98.3,-,-,58.77
17,Total Assets,10366,10049,10133,10495,10208,9850,10120,10453,9555,9959,8786,8931,5760,5817,-,5908,-,-,5874
18,Accounts Payable,2107,1787,1738,2263,1976,1227,1654,2154,1372,1928,912.15,1703,704.41,806.85,-,1207,-,-,1297
19,Accrued Expenses,96.54,250.97,63.61,274.94,77.52,348.15,50.58,359.73,75.27,405.33,46.83,169.5,67.89,60.82,-,175.38,-,-,140.37
20,Short-Term Debt,10.01,147.99,152.17,10.02,10.02,10.02,12.02,7.01,2,-,108.47,-,200,-,-,-,-,-,504.58
21,Current Portion of Long-Term Debt,-,50.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Leases,9.04,7.54,159.35,14.29,9.3,7.82,8.49,6.71,9.18,8.4,8.38,8.58,-,-,-,-,-,-,-
23,Current Income Taxes Payable,20.03,1.14,7.35,3.56,56.84,49.56,75.3,52.54,70.9,71.41,66.43,29.57,20.68,42.97,-,27.58,-,-,13.5
24,Current Unearned Revenue,739.14,505.32,390.58,385.57,268.5,539.61,548.46,498.89,536.47,432.18,501.49,446.2,442.08,550.03,-,651.2,-,-,697.39
25,Other Current Liabilities,403.56,185.03,331.25,174.69,336.79,337.74,413.86,157.7,461.79,247.07,321.11,165.1,193.38,207.01,-,53.39,-,-,180.12
26,Total Current Liabilities,3385,2935,2842,3126,2735,2520,2763,3237,2528,3092,1965,2522,1628,1668,-,2115,-,-,2833
27,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,117.66,-,72.9,-,-,-
28,Long-Term Leases,7.28,3.15,8.95,9.98,16.31,12.42,13,10.42,18.39,18.24,19.17,20.07,33.76,25.29,-,-,-,-,-
29,Long-Term Unearned Revenue,161.19,170.66,165.12,174.28,179.88,189.03,198.18,207.34,216.49,225.64,234.8,243.95,248.02,257.09,-,275.23,-,-,302.43
30,Long-Term Deferred Tax Liabilities,4.79,2.54,14.96,8.33,44.02,37.37,47,49.15,28.96,31.87,57.83,18.04,36.62,31.73,-,19.99,-,-,10.9
31,Total Liabilities,3558,3111,3031,3319,2975,2759,3021,3504,2791,3368,2277,2804,1947,2099,-,2483,-,-,3147
32,Common Stock,1486,1486,1486,1486,1486,1486,1479,1479,1479,1479,1479,1479,1258,1258,-,1258,-,-,1258
33,Additional Paid-In Capital,3395,3395,3395,3395,3393,3390,3360,3360,3360,3360,3358,3360,1286,1286,-,1286,-,-,1286
34,Retained Earnings,1990,2072,2222,2301,2363,2240,2206,2042,1956,1699,1545,1291,1209,1127,-,858.2,-,-,295.85
35,Treasury Stock,-36.65,-36.65,-36.74,-36.74,-36.93,-36.93,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-28.7,18.97,32.05,27.97,24.8,7.51,48.63,63.44,-37.02,47.21,122.87,-2.89,60.84,47.15,-,22.87,-,-,-112.47
37,Total Common Equity,6806,6936,7099,7174,7231,7087,7094,6945,6759,6586,6505,6127,3813,3718,3425,3425,-,2727,2727
38,Minority Interest,1.14,1.47,1.92,2.1,2.73,3.5,3.93,4.24,4.94,5.44,4.35,-,-,-,-,-,-,-,-
39,Shareholders' Equity,6807,6938,7101,7176,7234,7090,7098,6949,6764,6592,6509,6127,3813,3718,3425,3425,-,2727,2727
40,Total Liabilities & Equity,10366,10049,10133,10495,10208,9850,10120,10453,9555,9959,8786,8931,5760,5817,-,5908,-,-,5874
41,Total Debt,26.33,208.74,320.47,34.29,35.62,30.25,33.5,24.14,29.57,26.64,136.02,28.65,233.76,142.95,72.9,72.9,-,504.58,504.58
42,Net Cash (Debt),2482,3017,559.55,3523,2434,3537,1470,4273,1975,3932,1634,3576,358.41,686.96,1182,1182,-,597.28,597.28
43,Net Cash Growth,1.99%,-14.70%,-61.94%,-17.54%,23.21%,-10.06%,-10.03%,19.50%,451.15%,472.44%,38.21%,202.41%,-,15.01%,97.96%,-,-,-,-
