,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,5681,4377,3623,2627,5237,3996,4435,1876,6308,3194,3506,1363,4554,1853,2826,2694,4665,2979,2042
1,Other Revenue,-404.44,404.44,-,930.12,-608.99,608.99,-,2443,-1363,1363,-,2614,-1224,1224,-,-,-986.81,632.6,354.21
2,Revenue,5276,4781,3623,3557,4628,4605,4435,4319,4945,4557,3506,3977,3329,3078,2826,2694,3678,3612,2396
3,Revenue Growth (YoY),14.02%,3.82%,-18.29%,-17.63%,-6.42%,1.06%,26.48%,8.58%,48.52%,48.07%,24.07%,47.64%,-9.48%,-14.79%,17.93%,-,-,-,-
4,Cost of Revenue,5260,4833,3651,3528,4411,4370,4153,4117,4607,4234,3189,3825,3174,2867,2595,2766,3179,3193,2204
5,Gross Profit,16.09,-51.79,-27.73,29.79,217.07,234.99,281.97,201.89,338.48,323.29,317.22,152.29,155.41,210.36,230.59,-71.93,499.82,418.74,191.85
6,"Selling, General & Admin",73.51,58.37,71.21,65.78,70.08,62.98,67.86,59.87,84.01,70.4,67.82,55.24,60.72,44.66,43.03,-148.97,105.3,128.47,113.65
7,Research & Development,10.3,10.92,13.36,16.88,14.06,11.76,6.78,11.41,8.79,9.89,13.61,15.36,14.22,6.38,8.03,9.34,-0.96,14.31,4.84
8,Other Operating Expenses,-22.26,26.99,-4.71,5.9,6.13,0.75,0.36,51.6,-0.4,-6.27,-19.62,48.49,-9.01,-1.76,-18.66,41.07,-2.15,14.5,3.29
9,Operating Expenses,61.66,96.68,81.28,93.11,90.54,71.14,75.46,123.09,91.71,74.28,62.24,117.44,67.58,47.76,34,-100.6,102.25,156.06,123.99
10,Operating Income,-45.57,-148.47,-109.01,-63.32,126.53,163.85,206.51,78.8,246.77,249.01,254.97,34.85,87.83,162.6,196.59,28.67,397.56,262.69,67.86
11,Interest Expense,-0.24,-2.42,-1.29,-,-4.04,-0.61,-0.6,-0.37,-,-0.97,-1.02,-1.92,-0.54,-0.41,-0.17,-,-0.07,-2.07,-4.88
12,Interest & Investment Income,21.24,19.13,21.33,30.48,30.1,24.48,28.84,27.9,19.46,18.34,16.11,13.9,2.55,2.3,3.37,4.22,2.57,1.33,0.55
13,Currency Exchange Gain (Loss),-40.05,40.05,-,9.08,-3.95,3.95,-,70.6,-30.08,30.08,-,-13.73,8.45,-8.45,-,0.4,-,-,5.74
14,Other Non Operating Income (Expenses),41.93,-16.31,12.92,-12.8,10.37,12.01,-13.01,-83.03,78.47,0.4,-3.4,4.1,-6.13,-1.38,-2.34,-10.19,-1.73,2.28,-1.39
15,EBT Excluding Unusual Items,-22.69,-108.01,-76.06,-36.57,159,203.68,221.73,93.89,314.62,296.86,266.66,37.21,92.16,154.66,197.44,23.09,398.33,264.22,67.88
16,Gain (Loss) on Sale of Investments,-,-,-,-94.8,-,-0.27,0.27,-0.17,-0.7,-0.95,1.82,1.38,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,1.22,-0.1,-,-,-,-,0.62,-,-,0.01,0,0.07,5.74,-,-0.52,0.1,0.01,-
18,Asset Writedown,-31.36,-0.26,-,-0.63,0.23,-0.23,-,-0.36,0.33,-0.33,-,-1.74,1.45,-1.45,-,-,-,-,-0.01
