,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,10874,11791,9735,14210,16142,15949,18758,16140,14883,14557,16140,16318,19587,-,-,-,-,-,-,-
1,Market Cap Growth,-26.07%,-26.07%,-48.10%,-11.96%,8.46%,9.56%,16.22%,-1.09%,-24.02%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,8393,8775,9177,11779,13711,12415,17291,14170,12912,10630,14511,15960,19229,-,-,-,-,-,-,-
3,Last Close Price,7.35,7.97,6.58,9.51,10.80,10.67,12.46,10.77,9.93,9.72,10.73,10.84,13.02,-,-,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,27.52,26.31,20.60,18.07,18.90,27.13,33.63,45.30,-,-,-,-,-,-,-
5,Forward PE,-,39.85,32.90,16.85,19.57,19.78,23.81,17.05,16.49,16.97,21.82,22.51,-,-,-,-,-,-,-,-
6,PS Ratio,0.63,0.68,0.59,0.87,0.94,0.89,1.02,0.88,0.86,0.86,1.05,1.17,1.48,-,-,-,-,-,-,-
7,PB Ratio,1.60,1.73,1.40,2.00,2.25,2.20,2.65,2.27,2.14,2.15,2.45,2.51,3.20,-,-,-,-,-,-,-
8,P/TBV Ratio,1.80,1.80,1.46,2.08,2.33,2.29,2.74,2.36,2.22,2.23,2.54,2.60,3.33,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-269.42,-21.91,-,-,16.45,107.33,-,22.75,-,23.71,-,149.17,-,-,-,-,-,-,-
10,P/OCF Ratio,2089.57,2089.57,-25.35,-,-,15.45,74.97,-,19.85,12.35,17.01,-,30.02,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.49,0.51,0.55,0.72,0.80,0.69,0.94,0.78,0.75,0.63,0.94,1.15,1.46,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,-,-,-,-,-,16.67,20.26,15.13,13.26,11.58,19.80,26.23,34.93,-,-,-,-,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,21.57,24.85,18.14,15.57,13.53,23.16,29.54,39.91,-,-,-,-,-,-,-
14,EV/FCF Ratio,-191.77,-200.51,-20.65,-,-,12.81,98.94,-,19.74,-,21.32,-,146.44,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.06,0.04,0.02,0.02,-,0.19,0.19
16,Debt / EBITDA Ratio,-,-,-,-,-,0.05,0.04,0.03,0.05,0.03,0.02,0.12,0.10,0.64,0.21,0.08,0.31,-,0.47,1.26
17,Debt / FCF Ratio,-,-0.60,-0.47,-,-,0.04,0.17,-,0.04,-,0.04,-,0.22,-,-,-,0.15,-,4.19,-
18,Asset Turnover,2.07,1.90,1.41,1.37,1.85,1.84,1.72,1.73,2.03,1.94,1.58,2.17,2.30,-,-,-,-,-,-,
19,Inventory Turnover,8.32,8.25,6.30,4.68,6.16,9.18,7.75,7.07,8.12,10.27,10.12,8.31,10.19,9.01,-,-,-,-,-,-
20,Quick Ratio,0.98,0.98,1.48,0.68,1.48,1.25,1.83,0.99,1.58,1.15,1.69,1.45,1.75,0.76,0.97,-,0.78,-,-,0.65
21,Current Ratio,2.30,2.30,2.54,2.63,2.50,2.70,2.78,2.62,2.45,2.74,2.35,3.12,2.49,1.94,2.01,-,1.76,-,-,1.43
