,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,28185405,23840903,21083030,20371590,23537500,18703125,18046875,16012500,13979547,10125373,12803697,11071750,18681300,24242400,19813500,17382600,10581840,9637920,4765651,3367822,2332833,Upgrade
1,Market Cap Growth,27.47%,27.47%,16.82%,27.22%,68.37%,84.72%,40.95%,44.62%,-25.17%,-58.23%,-35.38%,-36.31%,76.54%,151.53%,315.76%,416.14%,353.60%,98.79%,-15.34%,-31.56%,-62.13%,Upgrade
2,Last Close Price,39250.00,32960.81,36435.59,34895.18,40723.66,32359.41,31224.00,27704.20,23930.35,17332.73,21250.46,18375.92,31191.81,40477.07,32545.03,28552.11,16929.74,15419.58,7478.31,5002.43,3465.10,Upgrade
3,PE Ratio,30.95,26.18,25.86,26.15,38.17,38.02,45.41,46.95,26.63,11.65,9.79,7.31,11.50,16.18,14.34,15.15,11.23,12.53,7.69,4.99,3.83,Upgrade
4,PS Ratio,9.79,8.28,7.79,8.27,11.14,10.01,9.44,8.91,5.94,3.81,4.26,3.25,5.61,7.28,6.73,7.28,5.58,6.29,3.72,2.53,1.73,Upgrade
5,PB Ratio,2.18,1.84,2.44,2.30,2.88,2.54,2.48,2.17,2.04,1.56,1.94,1.55,2.61,3.71,3.13,3.28,2.15,2.13,1.19,0.85,0.65,Upgrade
6,P/FCF Ratio,-,-,-19.24,-4.82,-,-,-,10.55,-,2.72,-,-11.76,-,-,-,-,-,-,-,2.89,-,Upgrade
7,P/OCF Ratio,-,-,-19.67,-4.84,-,-,-,10.44,-,2.71,-,-11.89,-,-,-,-,-,-,-,2.85,-,Upgrade
8,Debt / Equity Ratio,0.97,0.97,1.25,1.41,1.27,1.23,1.21,0.86,1.07,1.06,1.25,1.18,1.24,1.27,1.00,1.04,0.82,0.74,0.63,0.62,0.84,Upgrade
9,Debt / FCF Ratio,-,-,-9.88,-2.96,-,-,-,4.17,-,1.85,-,-8.96,-,-,-,-,-,-,-,2.11,-,Upgrade
10,Asset Turnover,0.13,0.14,0.13,0.13,0.14,0.13,0.10,0.10,0.18,0.10,0.22,0.16,0.27,0.26,0.32,0.31,0.33,0.15,0.20,0.17,Upgrade,
11,Quick Ratio,1.32,1.32,1.20,1.01,1.03,1.03,1.01,1.20,1.14,1.27,1.13,1.20,1.14,1.07,1.18,1.32,1.43,1.44,1.49,1.76,1.33,Upgrade
12,Current Ratio,1.39,1.39,1.24,1.07,1.09,1.12,1.10,1.28,1.27,1.39,1.24,1.31,1.23,1.17,1.21,1.33,1.47,1.48,1.50,1.82,1.45,Upgrade
13,Return on Equity (ROE),8.09%,9.84%,13.11%,10.17%,6.71%,9.77%,6.57%,4.37%,1.74%,7.15%,16.83%,24.37%,29.03%,22.63%,32.13%,24.75%,32.84%,9.57%,21.61%,12.38%,Upgrade,
14,Return on Assets (ROA),3.72%,3.96%,5.24%,4.30%,2.88%,4.56%,3.17%,2.00%,0.76%,3.05%,7.19%,9.91%,12.34%,10.46%,15.68%,13.12%,18.50%,5.67%,11.81%,6.59%,Upgrade,
15,Earnings Yield,3.23%,3.82%,3.87%,3.82%,2.62%,2.63%,2.20%,2.13%,3.75%,8.58%,10.21%,13.68%,8.69%,6.18%,6.97%,6.60%,8.90%,7.98%,13.00%,20.03%,26.11%,Upgrade
16,FCF Yield,-12.12%,-14.33%,-5.20%,-20.76%,-20.28%,-23.33%,-0.83%,9.48%,24.07%,36.73%,-2.88%,-8.51%,-15.59%,-15.50%,-15.76%,-16.44%,-12.68%,-6.07%,-14.23%,34.61%,-42.49%,Upgrade
17,Dividend Yield,0.78%,-,-,-,-,0.95%,-,-,-,5.33%,-,2.93%,-,-,-,5.60%,-,5.76%,9.89%,-,-,Upgrade
18,Payout Ratio,19.52%,-,82.05%,0.40%,-,-,-,186.10%,416.91%,-,-,-,-,85.43%,-,80.65%,-,47.30%,257.89%,-,-,Upgrade
19,Buyback Yield / Dilution,-26.53%,-26.26%,-1.01%,-1.01%,-0.46%,-0.46%,-0.46%,-0.46%,-0.60%,-0.60%,-0.60%,-0.60%,-0.54%,-0.54%,-0.54%,-1.35%,-0.80%,-0.76%,-0.76%,-0.82%,-0.82%,Upgrade
20,Total Shareholder Return,-25.75%,-26.26%,-1.01%,-1.01%,-0.46%,0.49%,-0.46%,-0.46%,-0.60%,4.73%,-0.60%,2.33%,-0.54%,-0.54%,-0.54%,4.25%,-0.80%,5.00%,9.13%,-0.82%,-0.82%,Upgrade
