,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,2591,2419,2605,2500,3043,3595,3720,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,-32.71%,-32.71%,-29.97%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1865,1673,1932,1777,2320,2828,3764,-,-,-,-,-,-,-,-,-
3,Last Close Price,25.91,24.19,26.05,24.72,30.08,35.54,36.78,-,-,-,-,-,-,-,-,-
4,PE Ratio,25.99,24.27,26.20,24.87,32.66,35.06,36.09,-,-,-,-,-,-,-,-,-
5,PS Ratio,2.43,2.27,2.43,2.42,3.01,3.63,3.83,-,-,-,-,-,-,-,-,-
6,PB Ratio,1.54,1.44,1.57,1.51,1.87,2.24,2.36,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,1.47,1.47,1.61,1.55,1.92,2.30,2.42,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,35.73,33.36,255.60,200.19,372.15,-,6321.77,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,20.10,20.10,35.50,36.22,44.79,-,184.14,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,1.75,1.57,1.80,1.72,2.30,2.85,3.88,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,13.49,12.28,14.30,12.60,16.60,17.83,24.74,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,21.85,19.35,22.36,19.16,25.07,25.16,35.50,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,25.71,23.07,189.56,142.33,283.78,-,6396.91,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.11,-,-,0.11,0.11,0.11,0.13,0.13
15,Debt / EBITDA Ratio,0.00,0.00,0.00,0.00,0.01,0.00,0.45,0.58,0.44,-,-,0.63,0.84,0.85,0.63,0.63
16,Debt / FCF Ratio,0.01,0.01,0.04,0.04,0.11,-,105.87,-5.18,-,-,-,-,-,-,-,-
17,Asset Turnover,0.55,0.61,0.57,0.58,0.57,-,-,-,-,-,-,0.82,0.81,0.82,-,
18,Inventory Turnover,3.63,3.31,3.69,3.49,3.69,3.73,-,-,-,-,-,-,2.96,3.00,3.40,-
19,Quick Ratio,6.29,6.29,6.03,5.77,5.28,5.65,4.31,-,1.52,-,-,-,1.25,1.25,1.15,1.15
20,Current Ratio,8.17,8.17,7.39,7.10,6.49,6.84,5.15,-,2.27,-,-,-,2.03,2.03,1.81,1.81
21,Return on Equity (ROE),5.90%,5.96%,6.87%,5.51%,6.12%,8.73%,10.72%,-,-,-,10.27%,10.83%,11.15%,13.33%,-,
22,Return on Assets (ROA),3.79%,2.12%,3.49%,2.31%,3.82%,-,-,-,-,-,-,2.98%,2.96%,6.29%,-,
23,Return on Capital (ROIC),4.21%,2.36%,3.92%,2.62%,4.32%,4.40%,7.40%,-,-,-,5.85%,3.62%,3.68%,8.02%,-,
24,Return on Capital Employed (ROCE),5.06%,5.12%,5.20%,5.58%,5.66%,6.98%,6.68%,-,11.96%,-,-,-,9.98%,8.39%,7.21%,3.60%
25,Earnings Yield,3.85%,4.12%,3.82%,4.02%,3.06%,2.85%,2.77%,-,-,-,-,-,-,-,-,-
26,FCF Yield,2.80%,3.00%,0.39%,0.50%,0.27%,-1.07%,0.02%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.94%,-,-,-,0.83%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,25.10%,-,101.46%,-,0.03%,2.11%,2.60%,3.55%,2.69%,3.60%,4.86%,4.86%,9.17%,9.17%,3.61%,3.61%
29,Buyback Yield / Dilution,-23.08%,0.15%,-33.56%,-33.35%,-33.33%,-33.46%,0.10%,0.01%,0.10%,0.01%,-1.08%,-1.08%,-,-,-,-
30,Total Shareholder Return,-22.14%,0.15%,-33.56%,-33.35%,-32.49%,-33.46%,0.10%,0.01%,0.10%,0.01%,-1.08%,-1.08%,-,-,-,-
