,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,316.06,220.95,262.64,159.83,309.17,193.26,242.01,158.95,284,172.18,172.18,139.44,139.44,191.17,191.17
1,Other Revenue,-59.05,59.05,-,106.36,-45.84,45.84,-,87.24,-40.02,20.01,20.01,49.04,49.04,-,-
2,Revenue,257.01,280,262.64,266.19,263.33,239.11,242.01,246.19,243.99,192.19,192.19,188.48,188.48,191.17,191.17
3,Revenue Growth (YoY),-2.40%,17.10%,8.53%,8.13%,7.93%,24.41%,25.92%,30.62%,29.45%,0.53%,0.53%,-,-,-,-
4,Cost of Revenue,207.45,224.89,214.54,220.01,210.26,189.37,192.1,184.14,195.47,154.18,154.18,132.49,132.49,148.07,148.07
5,Gross Profit,49.56,55.11,48.1,46.18,53.07,49.74,49.9,62.05,48.52,38.01,38.01,55.99,55.99,43.1,43.1
6,"Selling, General & Admin",14.68,20.41,13.12,19.12,11.41,14.15,13.17,11.99,11.09,10.88,10.88,26.86,26.86,11.52,11.52
7,Research & Development,11.81,12.62,12.02,12.27,11.22,10.6,10.75,11.16,10.22,7.91,7.91,15.13,15.13,7.02,7.02
8,Other Operating Expenses,-3.3,4.73,-2.53,-1,1.19,1.99,1.33,3.3,1.82,0.66,0.66,2.49,2.49,1.31,1.31
9,Operating Expenses,21.46,39.45,22.35,29.26,25.01,27.69,24.38,25.27,26.84,20.31,20.31,45.03,45.03,19.67,19.67
10,Operating Income,28.1,15.66,25.75,16.92,28.05,22.04,25.52,36.78,21.68,17.71,17.71,10.96,10.96,23.43,23.43
11,Interest Expense,-,-0.01,-,-0,-0.46,-0.66,-0.76,-0.99,-0.94,-0.98,-0.98,-1.74,-1.74,-0.72,-0.72
12,Interest & Investment Income,1.76,2.22,1.89,1.24,2.54,0.73,0.01,0.03,0.01,0.4,0.4,0.37,0.37,0.35,0.35
13,Currency Exchange Gain (Loss),-3.62,3.62,-,4.54,-3.36,3.36,-,10.59,-4.91,2.46,2.46,-1.21,-1.21,-0.27,-0.27
14,Other Non Operating Income (Expenses),2.04,-1.13,0.96,-1.3,0.92,2.39,-2.62,-11.75,11.92,-0.06,-0.06,-0.08,-0.08,0.81,0.81
15,EBT Excluding Unusual Items,28.28,20.36,28.6,21.4,27.7,27.86,22.15,34.67,27.75,19.53,19.53,8.29,8.29,23.6,23.6
16,Gain (Loss) on Sale of Investments,4.87,2.68,2.15,-1.92,1.36,-0.36,1.12,-4.58,0.58,-0.07,-0.07,-0.74,-0.74,-0.5,-0.5
17,Gain (Loss) on Sale of Assets,-,-,-,-0.31,-,0,-,-0,0,-0.01,-0.01,7.12,7.12,-,-
18,Asset Writedown,-0.49,-0.98,0.5,0.96,-1.06,0.25,-0.42,0.51,-0.51,-,-,-0.83,-0.83,-0.41,-0.41
19,Other Unusual Items,-5.63,4.92,-0.29,3.44,-0.97,0.97,-,2.17,-0.02,0.01,0.01,5.57,5.57,2.67,2.67
20,Pretax Income,27.03,26.99,30.96,23.57,27.03,28.72,22.84,32.77,27.79,19.46,19.46,19.41,19.41,25.36,25.36
21,Income Tax Expense,2.43,2.34,2.79,1.31,2.68,3,2.02,1.14,2.9,1.91,1.91,0.89,0.89,3.84,3.84
22,Net Income,24.59,24.65,28.17,22.26,24.35,25.72,20.82,31.63,24.9,17.55,17.55,18.52,18.52,21.52,21.52
23,Net Income to Common,24.59,24.65,28.17,22.26,24.35,25.72,20.82,31.63,24.9,17.55,17.55,18.52,18.52,21.52,21.52
24,Net Income Growth,0.99%,-4.18%,35.28%,-29.62%,-2.19%,46.57%,18.66%,70.81%,34.47%,-18.43%,-18.43%,-,-,-,-
25,Shares Outstanding (Basic),100,100,100,100,100,75,75,75,75,75,75,75,75,74,74
26,Shares Outstanding (Diluted),100,100,100,100,100,75,75,75,75,75,75,75,75,74,74
27,Shares Change (YoY),-0.15%,33.56%,33.35%,33.33%,33.46%,-0.10%,-0.01%,-0.10%,-0.01%,1.08%,1.08%,-,-,-,-
28,EPS (Basic),0.25,0.25,0.28,0.22,0.24,0.34,0.28,0.42,0.33,0.23,0.23,0.25,0.25,0.29,0.29
29,EPS (Diluted),0.25,0.25,0.28,0.22,0.24,0.34,0.28,0.42,0.33,0.23,0.23,0.25,0.25,0.29,0.29
30,EPS Growth,1.14%,-28.26%,1.44%,-47.21%,-26.72%,46.72%,18.68%,70.98%,34.48%,-19.31%,-19.31%,-,-,-,-
31,Free Cash Flow,32.67,5.58,10.55,23.72,-29.66,7.87,6.24,-22.97,9.45,-9.12,-9.12,-10.05,-10.05,-11.33,-11.33
32,Free Cash Flow Per Share,0.33,0.06,0.11,0.24,-0.30,0.11,0.08,-0.31,0.13,-0.12,-0.12,-0.13,-0.13,-0.15,-0.15
33,Dividend Per Share,-,-,-,0.250,-,-,-,-,-,-,-,-,-,-,-
34,Gross Margin,19.28%,19.68%,18.32%,17.35%,20.15%,20.80%,20.62%,25.20%,19.88%,19.78%,19.78%,29.70%,29.70%,22.55%,22.55%
35,Operating Margin,10.93%,5.59%,9.80%,6.36%,10.65%,9.22%,10.55%,14.94%,8.89%,9.21%,9.21%,5.82%,5.82%,12.25%,12.25%
36,Profit Margin,9.57%,8.80%,10.73%,8.36%,9.25%,10.76%,8.61%,12.85%,10.20%,9.13%,9.13%,9.82%,9.82%,11.26%,11.26%
37,Free Cash Flow Margin,12.71%,1.99%,4.02%,8.91%,-11.26%,3.29%,2.58%,-9.33%,3.87%,-4.75%,-4.75%,-5.33%,-5.33%,-5.93%,-5.93%
38,EBITDA,40.45,28.36,38.11,29.28,39.33,34.39,36.8,48.06,32.89,28.92,28.92,21.85,21.5,33.97,33.97
39,EBITDA Margin,15.74%,10.13%,14.51%,11.00%,14.94%,14.38%,15.21%,19.52%,13.48%,15.05%,15.05%,11.59%,11.41%,17.77%,17.77%
40,D&A For EBITDA,12.36,12.7,12.36,12.36,11.28,12.35,11.28,11.28,11.21,11.21,11.21,10.89,10.54,10.54,10.54
41,EBIT,28.1,15.66,25.75,16.92,28.05,22.04,25.52,36.78,21.68,17.71,17.71,10.96,10.96,23.43,23.43
42,EBIT Margin,10.93%,5.59%,9.80%,6.36%,10.65%,9.22%,10.55%,14.94%,8.89%,9.21%,9.21%,5.82%,5.82%,12.25%,12.25%
43,Effective Tax Rate,9.00%,8.68%,9.00%,5.57%,9.91%,10.43%,8.84%,3.48%,10.42%,9.81%,9.81%,4.60%,4.60%,15.15%,15.15%
44,Revenue as Reported,257.01,280,262.64,266.19,263.33,239.11,242.01,246.19,243.99,192.19,192.19,-,-,191.17,191.17
