,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,301.33,214.06,275.95,201.1,282.15,809.83,-,21.89,-,-,-,30.63,30.63,25.59,25.59
1,Short-Term Investments,-,81.17,-,80.37,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,425.39,451.5,397.61,465.62,441.07,19.28,-,18.96,-,-,-,20.39,20.39,20.86,20.86
3,Cash & Short-Term Investments,726.71,746.74,673.56,747.1,723.22,829.11,40.84,40.84,-,-,51.02,51.02,51.02,46.45,46.45
4,Cash Growth,0.48%,-9.94%,1549.14%,1729.18%,-,-,-19.95%,-19.95%,-,-,9.85%,-,-,-,-
5,Accounts Receivable,341.05,378.43,379.29,381,395.46,355.18,-,362.79,-,-,-,234.69,234.69,275.39,275.39
6,Other Receivables,3.47,3.11,1.62,1.02,1.96,2.51,-,4.76,-,-,-,2.24,2.24,1.2,1.2
7,Receivables,344.52,381.53,380.92,382.02,397.42,357.69,-,367.56,-,-,-,236.93,236.93,276.58,276.58
8,Inventory,253.4,247.68,239.64,252.71,224.74,225.87,-,194.18,-,-,-,178.77,178.77,174.12,174.12
9,Other Current Assets,66.9,7.19,4.95,7.37,12.26,7.92,-,7.41,-,-,-,3.49,3.49,9.97,9.97
10,Total Current Assets,1392,1383,1299,1389,1358,1421,-,609.99,-,-,-,470.22,470.22,507.12,507.12
11,"Property, Plant & Equipment",405.9,405.82,402.8,399.77,371.5,375.75,-,387.7,-,-,-,395.37,395.37,370.02,370.02
12,Other Intangible Assets,39.04,39.35,39.65,40.05,40.46,39.6,-,40.09,-,-,-,40.48,40.48,41.12,41.12
13,Long-Term Deferred Tax Assets,3.1,3.29,3.08,3.48,3.71,3.52,-,3.66,-,-,-,2.74,2.74,2.09,2.09
14,Long-Term Deferred Charges,7.94,8.25,9.12,9.12,7.8,8.71,-,10.25,-,-,-,5.05,5.05,4.4,4.4
15,Other Long-Term Assets,10.26,9.43,91.07,6.28,28.22,13.89,-,2.21,-,-,-,6.27,6.27,6.35,6.35
16,Total Assets,1858,1849,1845,1848,1809,1862,-,1054,-,-,-,920.13,920.13,931.1,931.1
17,Accounts Payable,152.19,170.42,164.27,193,178.35,195.4,-,164.58,-,-,-,103.3,103.3,172.76,172.76
18,Accrued Expenses,12.66,14.32,13.24,14.56,12.72,13.82,-,12.84,-,-,-,11.98,11.98,12.52,12.52
19,Short-Term Debt,-,-,-,0.3,-,61.57,-,85.06,-,-,-,73.39,73.39,85.1,85.1
20,Current Portion of Leases,0.29,0.29,0.28,0.28,0.28,0.28,-,-,-,-,-,-,-,-,-
21,Current Income Taxes Payable,2.66,-,1.75,1.94,4.8,1.1,-,1.03,-,-,-,1.93,1.93,3.17,3.17
22,Current Unearned Revenue,2.53,0.48,0.5,0.47,0.48,0.48,-,0.45,-,-,-,-,-,0.42,0.42
23,Other Current Liabilities,-,1.63,2.83,3.48,1.72,2.94,-,5.04,-,-,-,40.52,40.52,6.83,6.83
24,Total Current Liabilities,170.33,187.14,182.88,214.04,198.35,275.59,-,269,-,-,-,231.11,231.11,280.82,280.82
25,Long-Term Leases,0.08,0.15,0.23,0.3,0.38,0.45,-,-,-,-,-,-,-,-,-
26,Long-Term Unearned Revenue,3.19,3.4,3.61,3.82,3.77,3.97,-,4.37,-,-,-,3.96,3.96,3.23,3.23
27,Long-Term Deferred Tax Liabilities,3.82,3.35,2.99,3.34,3.22,3.31,-,3.25,-,-,-,1.48,1.48,1.55,1.55
28,Total Liabilities,177.42,194.04,189.71,221.5,205.72,283.31,-,276.63,-,-,-,236.55,236.55,285.59,285.59
29,Common Stock,100,100,100,100,100,100,-,75,-,-,-,75,75,75,75
30,Additional Paid-In Capital,1183,1183,1182,1182,1181,1181,-,450.77,-,-,-,448.71,448.71,447.67,447.67
31,Retained Earnings,397.07,372.47,372.82,344.65,322.39,298.04,-,251.49,-,-,-,159.87,159.87,122.84,122.84
32,Shareholders' Equity,1680,1655,1655,1626,1604,1579,777.26,777.26,-,-,683.58,683.58,683.58,645.51,645.51
33,Total Liabilities & Equity,1858,1849,1845,1848,1809,1862,-,1054,-,-,-,920.13,920.13,931.1,931.1
34,Total Debt,0.37,0.44,0.52,0.89,0.66,62.3,85.06,85.06,-,-,73.39,73.39,73.39,85.1,85.1
35,Net Cash (Debt),726.34,746.29,673.05,746.21,722.56,766.82,-44.21,-44.21,-,-,-22.36,-22.36,-22.36,-38.66,-38.66
36,Net Cash Growth,0.52%,-2.68%,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Net Cash Per Share,7.27,7.46,6.73,7.47,7.22,10.23,-0.59,-0.59,-,-,-0.30,-0.30,-0.30,-0.52,-0.52
38,Filing Date Shares Outstanding,100,100,100,100,100,100,74.99,75,74.99,75,75,75,75,75,75
39,Total Common Shares Outstanding,100,100,100,100,100,100,74.99,75,74.99,75,75,75,75,75,75
40,Working Capital,1221,1196,1116,1175,1159,1145,-,340.98,-,-,-,239.1,239.1,226.3,226.3
41,Book Value Per Share,16.80,16.55,16.55,16.26,16.04,15.79,10.36,10.36,-,-,9.11,9.11,9.11,8.61,8.61
42,Tangible Book Value,1641,1616,1615,1586,1563,1539,737.17,737.17,-,-,643.09,643.09,643.09,604.39,604.39
43,Tangible Book Value Per Share,16.41,16.16,16.15,15.86,15.63,15.39,9.83,9.83,-,-,8.57,8.57,8.57,8.06,8.06
44,Buildings,-,169.15,-,169.15,-,169.15,-,169.15,-,-,-,112.77,112.77,112.77,112.77
45,Machinery,-,534.39,-,503.91,-,474.17,-,456.97,-,-,-,432.08,432.08,434.25,434.25
