,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,717120,645840,637200,587520,524880,457920,447120,496800,282960,244080,371520,308880,505440,425520,341280,347760,393120,388800,365040,334800,164160,Upgrade
1,Market Cap Growth,128.24%,41.04%,42.51%,18.26%,85.50%,87.61%,20.35%,60.84%,-44.02%,-42.64%,8.86%,-11.18%,28.57%,9.44%,-6.51%,3.87%,139.47%,-1.10%,-13.78%,-18.85%,-58.92%,Upgrade
2,Enterprise Value,495417,408159,390147,481405,405700,338740,303467,330291,96478,59141,170218,113905,275253,195333,111093,57643,236315,270928,455421,395965,224274,Upgrade
3,Last Close Price,33200.00,29900.00,29500.00,27200.00,24300.00,21200.00,20700.00,23000.00,13100.00,11300.00,17200.00,14300.00,23400.00,19700.00,14907.34,15190.40,17171.75,16983.05,15945.20,13858.62,6795.20,Upgrade
4,PE Ratio,49.37,-,-,18.45,18.74,1338.31,-,-23.99,-,-,-,-,33.92,732.40,-,-,-,-,-,2.13,1.62,Upgrade
5,Forward PE,-,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,15.04,Upgrade
6,PS Ratio,2.70,2.44,1.78,1.55,1.43,1.87,4.27,6.32,9.13,7.10,14.39,15.60,15.90,10.97,6.13,3.65,1.22,0.56,0.35,0.34,0.22,Upgrade
7,PB Ratio,1.88,1.69,1.64,1.50,1.35,1.24,1.25,1.38,0.79,0.67,0.98,0.81,1.34,1.13,-,0.96,0.98,0.95,0.74,0.67,0.33,Upgrade
8,P/TBV Ratio,1.69,1.69,1.64,1.50,1.35,1.24,1.25,1.38,0.79,0.67,0.98,0.81,1.34,1.13,-,0.96,0.98,0.95,0.74,0.67,0.33,Upgrade
9,P/FCF Ratio,3.79,-,-,6.22,-7.31,-,-,-,-,-11.03,-,-,-,2.89,-,-,1.10,1.76,3.82,-,-,Upgrade
10,P/OCF Ratio,3.34,-,-,6.16,-7.41,-,-,-,-,-11.12,-,-,-,2.89,-,-,1.10,1.75,3.71,-,-,Upgrade
11,EV/Sales Ratio,1.87,1.54,1.09,1.27,1.11,1.39,2.90,4.20,3.11,1.72,6.59,5.75,8.66,5.04,2.00,0.61,0.73,0.39,0.44,0.40,0.30,Upgrade
12,EV/EBITDA Ratio,34.79,-,-,10.84,11.06,281.01,-,-,-,-,-,-,-,-,-,-,-,-,-,2.03,1.61,Upgrade
13,EV/EBIT Ratio,60.62,-,-,12.72,13.64,-55.28,-,-,-,-,-,-,-,-,-,-,-,-,-,2.16,1.77,Upgrade
14,EV/FCF Ratio,2.62,-,-,5.10,-5.65,-,-,-,-,-2.67,-,-,-,1.33,-,-,0.66,1.23,4.76,-,-,Upgrade
15,Debt / Equity Ratio,-,-,0.04,-,0.01,0.23,0.06,-,-,-,-,-,-,-,-,-,-,-,-,0.27,0.26,Upgrade
16,Debt / EBITDA Ratio,-,-,-,-,0.04,1.49,-,-,-,-,-,-,-,-,-,-,-,-,-,0.76,0.48,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Asset Turnover,0.51,0.20,0.56,-,1.31,0.41,0.53,0.01,0.10,0.15,-,-,-,-,0.13,0.08,0.12,0.26,1.19,2.01,Upgrade,
19,Inventory Turnover,2.13,2.62,1.26,2.07,-,4.48,1.41,1.60,0.20,0.49,0.65,-,-,-,-,0.59,0.54,1.03,1.65,6.16,6.58,Upgrade
20,Quick Ratio,4.29,4.29,8.00,7.82,3.68,2.72,4.51,7.20,7.07,6.99,8.01,6.24,-,3.71,-,2.41,2.57,2.89,4.37,2.23,2.18,Upgrade
21,Current Ratio,6.03,6.03,11.24,10.23,5.40,3.74,7.18,11.15,11.72,10.70,12.34,9.57,-,5.46,-,3.41,3.51,3.92,5.59,2.66,2.76,Upgrade
22,Return on Equity (ROE),-6.04%,-6.80%,5.26%,-,12.10%,-3.14%,1.46%,-7.91%,-13.39%,-2.53%,-,4.43%,-,-,-5.32%,-9.99%,-17.58%,-4.82%,30.44%,41.47%,Upgrade,
23,Return on Assets (ROA),-7.41%,-6.59%,3.09%,-,6.91%,-3.62%,-1.54%,-6.64%,-8.19%,-5.90%,-,-,-,-,-3.56%,-5.38%,-11.78%,-2.51%,12.63%,20.39%,Upgrade,
24,Return on Capital (ROIC),-8.34%,-7.20%,3.62%,-,7.56%,-3.96%,-1.68%,-7.23%,-8.89%,-6.44%,-,-10.61%,-,-,-4.91%,-7.49%,-15.90%,-3.31%,16.42%,25.20%,Upgrade,
25,Return on Capital Employed (ROCE),2.12%,-,-,9.43%,7.49%,-1.64%,-,-,-,-,-,-,-,-,-,-,-,-,-,33.33%,23.92%,Upgrade
26,Earnings Yield,2.03%,2.05%,4.71%,5.76%,5.72%,0.51%,-4.72%,-4.17%,-8.01%,-4.65%,6.01%,6.26%,2.95%,0.14%,-11.89%,-11.84%,0.46%,15.60%,43.21%,46.91%,61.73%,Upgrade
27,FCF Yield,26.36%,29.27%,17.24%,16.07%,-13.67%,-36.67%,-15.00%,-9.38%,-7.34%,-9.06%,-3.98%,-,-1.85%,34.56%,-,-,90.58%,56.67%,26.20%,-47.54%,-91.88%,Upgrade
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.89%,-,-,-,Upgrade
29,Payout Ratio,5.30%,-,-,-,-,-,-,-,-,-,-,-,-,99.15%,-,-,-,-,-,-,-,Upgrade
30,Buyback Yield / Dilution,-0.09%,0.35%,-0.25%,-13.19%,0.12%,-0.13%,0.03%,0.93%,0.14%,-0.06%,0.38%,-0.63%,-0.13%,-0.06%,4.31%,-0.14%,-0.11%,0.05%,-4.71%,0.05%,0.04%,Upgrade
31,Total Shareholder Return,-0.09%,0.35%,-0.25%,-13.19%,0.12%,-0.13%,0.03%,0.93%,0.14%,-0.06%,0.38%,-0.63%,-0.13%,-0.06%,4.31%,-0.14%,-0.11%,5.94%,-4.71%,0.05%,0.04%,Upgrade
