,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,11703,53139,167053,30018,34536,19180,43653,16509,26482,14939,31302,-,25429,-,20187,151117,72805,68872,16106,25191,Upgrade
1,Short-Term Investments,210000,200000,80000,80000,80000,120000,100000,150000,160000,170000,170000,-,190000,-,210000,139000,84000,49000,29000,40000,Upgrade
2,Cash & Short-Term Investments,221703,253139,247053,110018,114536,139180,143653,166509,186482,184939,201302,215429,215429,-,230187,290117,156805,117872,45106,65191,Upgrade
3,Cash Growth,93.57%,81.88%,71.98%,-33.93%,-38.58%,-24.74%,-28.64%,-22.71%,-13.44%,-,-12.55%,-25.74%,37.39%,-,410.32%,345.02%,42.82%,23.02%,-68.35%,-58.83%,Upgrade
4,Accounts Receivable,56643,9050,52557,105406,206424,32588,40257,14444,19529,22141,13781,-,25953,-,28571,33041,208179,128813,328010,65021,Upgrade
5,Other Receivables,16749,20633,13657,88884,14807,66635,48448,31580,28836,32473,32511,-,35054,-,56253,43967,14961,212965,279873,443766,Upgrade
6,Receivables,73392,29683,66214,194290,221231,99223,88705,46024,48365,54614,46292,-,61007,-,84824,77008,223140,341778,607883,508787,Upgrade
7,Inventory,100686,90956,89315,112270,116970,115180,116549,128983,122344,124347,128606,-,128845,-,126564,130032,134763,124249,120439,127213,Upgrade
8,Prepaid Expenses,776.26,1975,2642,3973,3186,1722,1893,3170,844.43,2734,2464,-,403.31,-,1824,3402,1288,1264,2470,11683,Upgrade
9,Other Current Assets,17966,21326,4213,26143,7009,24174,8648,7947,1634,2183,1346,-,342.82,-,1715,1209,60,3451,2077,15494,Upgrade
10,Total Current Assets,414524,397080,409436,446693,462932,379478,359448,352634,359671,368818,380009,-,406026,-,445114,501768,516056,588614,777976,728368,Upgrade
11,"Property, Plant & Equipment",27733,24909,26405,27852,29363,28572,30338,32107,33876,35584,37241,-,40777,-,45585,48449,51476,54668,57466,60043,Upgrade
12,Other Intangible Assets,-,-,-,-,-,62.5,125,231.11,359.03,486.94,614.86,-,895.92,-,1227,1393,1169,912.42,1016,291.65,Upgrade
13,Long-Term Deferred Tax Assets,4335,4056,3181,3181,3181,5148,3971,3971,3971,4417,4417,-,4417,-,4514,4514,4514,4540,3874,3874,Upgrade
14,Other Long-Term Assets,7375,3023,2349,2226,2520,177.68,306.43,256.4,273.57,305.69,304.7,-,306.88,-,406.55,500,963.07,946.98,922.33,1025,Upgrade
15,Total Assets,453967,429068,441371,479952,497997,413438,394188,389199,398151,409611,422586,-,452423,-,496846,556623,574178,649681,841253,793601,Upgrade
16,Accounts Payable,43201,3994,6824,8543,24181,5000,12495,4098,4249,4621,8607,-,5987,-,10145,15721,25448,43409,79051,65725,Upgrade
17,Accrued Expenses,18225,10868,22001,67652,11662,10858,2597,7093,7278,7997,8483,-,13412,-,19094,8815,27736,24356,29652,19721,Upgrade
18,Short-Term Debt,-,15458,-,3903,85444,20000,-,-,-,-,-,-,-,-,-,-,-,-,135487,126357,Upgrade
19,Current Income Taxes Payable,-,101.48,4374,232.09,-,13599,13556,13612,18146,13696,14619,-,17239,-,20255,20053,6019,12148,21764,12610,Upgrade
20,Current Unearned Revenue,311.44,266.46,-,55.03,318.59,54.43,321.49,55.33,317.43,-,2915,-,144.16,-,-,-,144.16,-,73.56,10042,Upgrade
21,Other Current Liabilities,7047,4643,6836,2261,2016,3373,3283,5217,3621,3580,5067,-,37629,-,81193,98514,72212,25388,26244,29191,Upgrade
22,Total Current Liabilities,68785,35331,40035,82647,123622,52885,32252,30076,33611,29894,39692,-,74411,-,130687,143103,131558,105301,292271,263646,Upgrade
23,Other Long-Term Liabilities,3399,6139,8416,7384,4968,2151,1734,166.83,166.83,174.64,273.83,-,1056,-,2288,12553,31518,48655,47138,36153,Upgrade
24,Total Liabilities,72183,41470,48450,90031,128590,55037,33986,30242,33778,30068,39966,-,75467,-,132975,155656,163077,153956,339409,299799,Upgrade
25,Common Stock,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,-,216000,-,216000,216000,216000,216000,216000,216000,Upgrade
26,Additional Paid-In Capital,9850,9850,9850,9850,9850,9850,9850,9850,9850,9850,9850,-,9850,-,9850,9850,9850,9850,9850,9850,Upgrade
27,Retained Earnings,153705,161747,167071,164071,143557,132552,134352,133107,138523,153693,156771,-,151106,-,138021,175118,185251,269875,275994,267952,Upgrade
