,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,56369,21612,64006,123205,149727,41807,52347,591.2,10004,15656,4734,3969,1458,9638,16733,10956,18355,49222,243973,383589,Upgrade
1,Revenue Growth (YoY),-62.35%,-48.30%,22.27%,20740.00%,1396.66%,167.04%,1005.75%,-85.10%,586.01%,62.44%,-71.71%,-63.78%,-92.05%,-80.42%,-93.14%,-97.14%,-94.78%,433.20%,1534.61%,5899.69%,Upgrade
2,Cost of Revenue,62686,28335,52234,89358,130096,40946,49025,6253,15243,20659,12672,11756,8079,12525,18877,17987,33332,50605,190591,310476,Upgrade
3,Gross Profit,-6317,-6723,11772,33847,19631,860.18,3322,-5662,-5239,-5004,-7938,-7788,-6621,-2887,-2144,-7031,-14977,-1383,53382,73113,Upgrade
4,"Selling, General & Admin",6771,4747,6082,8442,7031,6707,5741,4800,7984,4813,5832,8207,2837,5119,5363,5139,13856,6108,12093,10831,Upgrade
5,Operating Expenses,6771,4747,6082,8442,7031,6707,5741,4800,7984,4813,5832,8207,2837,5119,5363,5139,13856,6108,12093,10831,Upgrade
6,Operating Income,-13088,-11469,5690,25406,12600,-5847,-2419,-10461,-13224,-9817,-13771,-15995,-9458,-8007,-7507,-12170,-28833,-7491,41289,62282,Upgrade
7,Interest Expense,-2.46,-103.17,-281.85,-853.63,-1306,-23.29,-32.31,-,-,-,-,-,-,-,-,-,-,-,-,-2052,Upgrade
8,Interest & Investment Income,2097,2183,927.41,1005,1435,2844,2982,3206,2725,2423,2186,2277,2461,2615,2505,1937,790.82,795.99,684.55,752.52,Upgrade
9,Currency Exchange Gain (Loss),-25.56,-,-,-,231.28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),59.9,7.92,101.98,85.5,13.04,203.57,784.71,99.17,-1618,4367,10932,18949,28240,-17.58,-82.1,239.95,1262,-694.98,5475,-50.26,Upgrade
11,Pretax Income,-10959,-9382,6438,25642,12972,-2823,1315,-7156,-12117,-3026,-653.02,5231,21243,-5409,-5083,-9992,-26780,-7390,47449,60932,Upgrade
12,Income Tax Expense,-5145,-2751,1288,5128,1967,-,-,-,333.93,-612.5,-,1053,29.12,-,-,148.27,-6852,-1376,9560,12230,Upgrade
13,Earnings From Continuing Operations,-5814,-6631,5150,20514,11005,-2823,1315,-7156,-12451,-2414,-653.02,4178,21214,-5409,-5083,-10141,-19928,-6014,37890,48702,Upgrade
14,Net Income,-5814,-6631,5150,20514,11005,-2823,1315,-7156,-12451,-2414,-653.02,4178,21214,-5409,-5083,-10141,-19928,-6014,37890,48702,Upgrade
15,Preferred Dividends & Other Adjustments,-,-,-,-,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
16,Net Income to Common,-5814,-6631,5150,20514,9005,-2823,1315,-7156,-12451,-2414,-653.02,4178,21214,-5409,-5083,-10141,-19928,-6014,37890,48702,Upgrade
17,Net Income Growth,-,-,291.51%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Shares Outstanding (Basic),22,22,24,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,22,22,Upgrade
19,Shares Outstanding (Diluted),22,22,24,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,22,22,Upgrade
20,Shares Change (YoY),-0.35%,0.25%,13.19%,-0.12%,0.13%,-0.03%,-0.93%,-0.14%,0.06%,-0.38%,0.63%,0.13%,0.06%,-4.31%,0.14%,0.11%,-0.05%,4.71%,-0.05%,-0.04%,Upgrade
21,EPS (Basic),-269.55,-307.00,211.00,950.00,416.06,-131.00,61.00,-331.00,-576.00,-112.00,-30.00,193.00,982.00,-250.00,-235.00,-469.00,-923.00,-266.00,1754.00,2255.00,Upgrade
22,EPS (Diluted),-269.55,-307.00,211.00,950.00,415.90,-131.00,61.00,-331.00,-576.00,-112.00,-30.00,193.00,982.00,-250.00,-235.00,-469.00,-923.00,-266.00,1754.00,2255.00,Upgrade
23,EPS Growth,-,-,245.90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
24,Free Cash Flow,-15965,-10439,140350,75061,-95088,-25896,-25835,-21113,5789,-5451,-,-22461,13121,-,-,133944,39748,209529,-27150,-1796,Upgrade
25,Free Cash Flow Per Share,-740.20,-483.28,5750.24,3476.13,-4393.19,-1201.86,-1198.05,-976.56,267.83,-252.91,-,-1037.50,607.36,-,-,6194.77,1840.97,9267.06,-1256.83,-83.14,Upgrade
26,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1000.000,-,-,-,Upgrade
27,Gross Margin,-11.21%,-31.11%,18.39%,27.47%,13.11%,2.06%,6.35%,-,-52.37%,-31.96%,-167.68%,-196.22%,-,-29.96%,-12.81%,-64.17%,-81.60%,-2.81%,21.88%,19.06%,Upgrade
28,Operating Margin,-23.22%,-53.07%,8.89%,20.62%,8.42%,-13.99%,-4.62%,-1769.50%,-132.18%,-62.70%,-290.89%,-403.02%,-648.54%,-83.08%,-44.86%,-111.08%,-157.09%,-15.22%,16.92%,16.24%,Upgrade
29,Profit Margin,-10.31%,-30.68%,8.05%,16.65%,6.01%,-6.75%,2.51%,-1210.45%,-124.45%,-15.42%,-13.79%,105.28%,1454.70%,-56.12%,-30.38%,-92.56%,-108.57%,-12.22%,15.53%,12.70%,Upgrade
30,Free Cash Flow Margin,-28.32%,-48.30%,219.28%,60.92%,-63.51%,-61.94%,-49.35%,-3571.23%,57.87%,-34.82%,-,-565.94%,899.73%,-,-,1222.53%,216.55%,425.68%,-11.13%,-0.47%,Upgrade
31,EBITDA,-11536,-9973,7196,26917,14332,-4019,-544,-8564,-11323,-7917,-11862,-14074,-7193,-4961,-4404,-9067,-25886,-4445,44492,65271,Upgrade
