,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2020,Q1 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Operating Revenue,1156,759.56,614.02,170.69,656.74,640.05,305.74,75.77,298.78,229.79,23.14,132.13,197.05,67.77,13.83
1,Other Revenue,-,-2.26,2.26,-,1.42,-0.57,0.57,-,0.67,-0.35,0.35,-,0.02,-,-
2,Revenue,1156,757.3,616.28,170.69,658.16,639.49,306.3,75.77,299.46,229.44,23.48,132.13,197.07,67.77,13.83
3,Revenue Growth (YoY),75.59%,18.42%,101.20%,125.27%,119.78%,178.72%,1204.27%,-42.65%,51.95%,238.56%,69.83%,-,-,-,-
4,Cost of Revenue,-952.14,461.74,392.94,97.46,434.12,377.99,185.05,40,181.52,129.81,21.46,90.9,132.23,-,-
5,Gross Profit,2108,295.55,223.34,73.23,224.04,261.5,121.25,35.78,117.94,99.63,2.03,41.23,64.85,67.77,13.83
6,"Selling, General & Admin",-203.66,58.35,83.86,61.46,89.23,83.81,32.29,29.43,38.6,18.21,22.98,16.6,20.03,-,-
7,Research & Development,-204.9,85.79,65.14,53.97,61.15,50.29,32.42,30.52,43.76,32.21,30.92,30.42,33.43,-,-
8,Other Operating Expenses,2535,-32.35,5.21,-22.25,1.85,-27.18,-7.36,-16.86,1.79,-3.81,-2.03,-0.1,1.86,46.6,13.74
9,Operating Expenses,2054,141.32,205.22,85.32,179.12,150.8,53.68,43.62,91.05,55.79,57.67,47.57,58.32,46.6,13.74
10,Operating Income,54.27,154.23,18.13,-12.08,44.91,110.7,67.58,-7.84,26.89,43.85,-55.64,-6.34,6.53,21.17,0.09
11,Interest Expense,-28.64,-12.32,-9.39,-6.96,-4.63,-4.49,-3.94,-3.52,-1.76,-1.36,-1.16,-1.07,-0.96,-,-
12,Interest & Investment Income,28.66,4.24,9.37,15.02,20.8,10.23,7.88,6.44,5.61,4.68,4.17,4.43,4.19,-,-
13,Currency Exchange Gain (Loss),-,-0.06,0.06,-,-1.27,-3.33,3.33,-,1.33,0.63,-0.63,-,-0.07,-,-
14,Other Non Operating Income (Expenses),2.99,-1.14,-2.57,1.42,-0.13,1.27,1.15,-0.78,-2.23,2.06,-3.77,2.79,-0.21,-,0.03
15,EBT Excluding Unusual Items,57.28,144.96,15.61,-2.6,59.69,114.38,76,-5.7,29.85,49.85,-57.04,-0.2,9.47,21.17,0.12
16,Gain (Loss) on Sale of Investments,-1.75,1.04,0.6,0.11,0.08,0.08,0.08,0.08,-0.05,0.15,0.02,0.23,0.36,-,-
17,Gain (Loss) on Sale of Assets,0.81,-0.81,-,-,-,-0.04,-,-,0.37,-,-,-,0.01,-,-
18,Asset Writedown,13.32,-11.9,-0.6,-0.82,12.01,-12.04,0.38,-0.4,11.52,-11.53,2.01,-2.01,-0.01,-,-
19,Other Unusual Items,-1.96,-17.55,19.08,0.44,47.13,-,-,-,22.18,-0.55,0.55,-,11.58,0.01,-
20,Pretax Income,67.69,115.74,34.69,-2.87,118.9,102.37,76.46,-6.03,64.76,37.03,-53.57,-1.98,21.42,21.19,0.12
