,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2020,Q1 2019
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Cash & Equivalents,-,1648,1237,1150,1154,929.23,1021,935.3,1757,386.23,262.51,-,120.06,-,-
1,Short-Term Investments,-,-,498.12,-,1214,-,1180,-,251.66,240,230,-,248.19,-,-
2,Trading Asset Securities,-,301.61,431.12,60.52,10.41,10.33,10.25,10.18,10.1,120.15,180.25,-,247.38,-,-
3,Cash & Short-Term Investments,1950,1950,2167,1211,2378,939.56,2211,945.48,2019,746.38,672.76,615.62,615.62,147.21,90.56
4,Cash Growth,-18.02%,107.50%,-1.99%,28.04%,17.78%,25.88%,228.62%,53.58%,227.97%,407.03%,642.89%,-,-,-,-
5,Accounts Receivable,-,1052,691.53,878.21,884.02,889.34,604.74,557.39,578.4,418.13,272.23,-,209.87,-,-
6,Other Receivables,-,10.84,12.61,10.19,11.37,12.4,11.52,14.81,12.39,15.4,13.8,-,5.55,-,-
7,Receivables,-,1063,704.14,888.4,895.4,901.73,616.26,572.2,590.79,433.54,286.04,-,215.42,-,-
8,Inventory,-,4416,4432,4069,3217,2832,2090,1448,975.38,761.86,573.21,-,402.97,-,-
9,Other Current Assets,-,495.35,451.59,1506,325.41,1749,332.52,1266,114.14,94.22,83.71,-,42.32,-,-
10,Total Current Assets,-,7924,7755,7674,6816,6422,5250,4232,3699,2036,1616,-,1276,-,-
11,"Property, Plant & Equipment",-,538.75,477.24,460.75,399.94,366.89,246.53,213.92,46.23,48.91,48.69,-,49.61,-,-
12,Long-Term Investments,-,54,54,54,54,4,4,4,4,4,4,-,4,-,-
13,Other Intangible Assets,-,25.15,28.84,6.23,6.61,7.41,7.45,8.1,8.03,8.97,8.49,-,8.21,-,-
14,Long-Term Deferred Tax Assets,-,118.79,103.96,92.56,94.36,53.8,44.68,50.98,21.34,25.6,26.65,-,10.41,-,-
15,Long-Term Deferred Charges,-,292.95,250.6,214.45,147.15,73.99,34.3,12.13,0.74,2.76,4.63,-,7.95,-,-
16,Other Long-Term Assets,-,11.54,4.63,6.13,63.83,5.8,52.21,37.08,40.41,22.56,22.96,-,0.42,-,-
17,Total Assets,-,8965,8674,8508,7582,6934,5639,4558,3820,2149,1731,-,1357,-,-
