,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2020,Q1 2019
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '20 Mar 31, 2020","Mar '19 Mar 31, 2019"
0,Market Capitalization,13487,12285,12130,11396,16397,17719,20237,23986,16129,11398,-,-,-,-,-,-
1,Market Cap Growth,-30.67%,-30.67%,-40.06%,-52.49%,1.66%,55.46%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,13292,12091,11358,11392,16046,17369,18461,23480,15560,10829,-,-,-,-,-,-
3,Last Close Price,29.52,26.89,26.55,24.82,35.96,38.87,44.39,52.61,35.38,25.00,-,-,-,-,-,-
4,PE Ratio,62.81,57.31,45.59,46.58,59.61,65.53,95.24,148.09,-,210.48,-,-,-,-,-,-
5,Forward PE,27.08,16.68,18.02,18.56,29.10,54.66,103.85,165.35,141.96,126.99,-,-,-,-,-,-
6,PS Ratio,4.99,4.55,5.51,5.47,9.24,10.55,15.32,26.33,25.68,16.65,-,-,-,-,-,-
7,PB Ratio,5.26,4.80,4.74,4.70,6.96,7.56,9.22,11.80,8.22,5.81,-,-,-,-,-,-
8,P/TBV Ratio,4.84,4.84,4.78,4.75,6.98,7.58,9.25,11.85,8.25,5.83,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,74.38,-,94.07,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,-,-,-,-,61.38,-,67.64,-,-,-,-,-,-
11,EV/Sales Ratio,4.92,4.48,5.16,5.46,9.04,10.34,13.97,25.77,24.77,15.82,-,-,-,-,-,-
12,EV/EBITDA Ratio,59.15,52.91,51.83,64.91,-,77.00,89.28,170.30,-,730.54,-,-,-,-,-,-
13,EV/EBIT Ratio,61.96,56.36,55.35,70.47,-,80.65,93.56,179.96,-,1236.92,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,72.81,-,89.38,-,-,-,-,-,-
15,Debt / Equity Ratio,0.69,0.69,0.69,0.57,0.51,0.30,0.27,0.21,0.22,0.15,0.20,0.20,0.10,0.10,0.13,3.55
16,Debt / EBITDA Ratio,7.81,7.72,2.80,10.14,-,2.65,1.30,1.37,-,2.31,1.00,-,-,2.07,0.34,42.46
17,Debt / FCF Ratio,-,-,-,-,-,-,-,1.35,-,2.44,-8.77,-1.55,-,-,-,3.28
18,Asset Turnover,-,0.34,0.29,0.08,0.36,0.41,0.24,0.07,0.40,0.47,-,-,-,-,-,
19,Inventory Turnover,-,-,0.42,0.37,0.11,0.57,0.61,0.42,0.13,0.84,0.78,-,-,-,-,-
20,Quick Ratio,-,-,0.52,0.49,0.36,0.66,0.41,0.83,0.64,1.43,0.95,1.11,-,1.86,-,-
21,Current Ratio,-,-,1.37,1.32,1.30,1.37,1.43,1.55,1.78,2.03,1.64,1.88,-,2.86,-,-
22,Return on Equity (ROE),9.93%,17.30%,6.57%,0.61%,20.33%,16.37%,13.95%,-0.22%,16.15%,16.68%,-19.37%,1.18%,-,-,-,
23,Return on Assets (ROA),-,4.37%,0.53%,-0.38%,1.55%,4.40%,3.31%,-0.47%,2.25%,5.65%,-,-,-,-,-,
24,Return on Capital (ROIC),3.14%,9.48%,1.23%,-0.91%,3.84%,10.54%,6.94%,-0.84%,4.05%,10.58%,-13.99%,-1.63%,-,-,-,
25,Return on Capital Employed (ROCE),-,-,6.48%,5.80%,-,8.24%,8.05%,5.80%,-,0.44%,-1.28%,-,-,3.05%,-,-
26,Earnings Yield,1.59%,1.74%,2.19%,2.15%,1.68%,1.53%,1.05%,0.68%,0.31%,0.48%,-,-,-,-,-,-
27,FCF Yield,-,-11.24%,-10.37%,-3.51%,-0.52%,0.89%,1.34%,0.72%,1.06%,-,-,-,-,-,-,
28,Dividend Yield,0.28%,-,-,-,-,0.22%,-,-,-,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,45.34%,17.24%,136.17%,2.59%,2.84%,2.92%,-,2.54%,3.18%,-,30.53%,2.28%,-,-
30,Buyback Yield / Dilution,1.79%,7.24%,-1.57%,-8.55%,-2.27%,-9.83%,-4.25%,-21.99%,-11.34%,7.51%,-14.70%,-,-,-,-,-
31,Total Shareholder Return,2.06%,7.24%,-1.57%,-8.55%,-2.27%,-9.61%,-4.25%,-21.99%,-11.34%,7.51%,-14.70%,-,-,-,-,-
