,Fiscal Quarter,Q4 2024,Q3 2024,Q4 2023,Q3 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023"
0,Revenue,122.66,-,3284,-
1,Cost of Revenue,116.36,-,3222,-
2,Gross Profit,6.3,-,62.13,-
3,"Selling, General & Admin",460.84,246.13,237.3,345.03
4,Operating Expenses,460.84,246.13,237.3,345.03
5,Operating Income,-454.54,-246.13,-175.17,-345.03
6,Interest & Investment Income,0.11,0.01,10284,0.11
7,Other Non Operating Income (Expenses),-3704,-752.36,-1475,-15.5
8,Pretax Income,-4159,-998.48,8634,-360.42
9,Net Income,-4159,-998.48,8634,-360.42
10,Net Income to Common,-4159,-998.48,8634,-360.42
11,Shares Outstanding (Basic),30,30,30,30
12,Shares Outstanding (Diluted),30,30,30,30
13,EPS (Basic),-138.62,-33.00,287.79,-12.00
14,EPS (Diluted),-138.62,-33.00,287.79,-12.00
15,Free Cash Flow,1282,-,414.38,-
16,Free Cash Flow Per Share,42.74,-,13.81,-
17,Gross Margin,5.14%,-,1.89%,-
18,Operating Margin,-370.56%,-,-5.33%,-
19,Profit Margin,-3390.22%,-,262.89%,-
20,Free Cash Flow Margin,1045.28%,-,12.62%,-
21,EBITDA,-451.6,-243.3,-,-
22,D&A For EBITDA,2.93,2.83,-,-
23,EBIT,-454.54,-246.13,-175.17,-345.03
24,EBIT Margin,-,-,-5.33%,-
25,Revenue as Reported,122.66,-,3284,-
