,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,56,270,228,88,84,122,126,114,120,98,192
1,Market Cap Growth,205.43%,205.43%,171.43%,-27.54%,-33.33%,7.02%,5.00%,15.85%,-37.50%,-,-
2,Enterprise Value,128,354,315,180,162,178,189,140,179,72,242
3,Last Close Price,0.08,0.45,0.38,0.18,0.18,0.26,0.26,0.24,0.25,0.21,0.40
4,PE Ratio,28.89,154.97,127.11,-5.97,-,-,-,-,109.92,-,-
5,PS Ratio,0.67,3.61,2.07,1.32,1.38,1.53,1.59,1.45,0.88,0.56,1.36
6,PB Ratio,0.49,2.65,2.10,1.03,0.96,1.21,1.14,0.98,0.93,0.89,1.48
7,P/TBV Ratio,2.65,2.65,2.10,1.03,0.96,1.21,1.14,0.98,0.93,0.89,1.49
8,P/FCF Ratio,-,-12.82,-,-12.86,-,-,-5.23,-,-3.03,-,-
9,P/OCF Ratio,-,-12.83,-,-12.97,-,-,-5.25,-,-3.04,-,-
10,EV/Sales Ratio,1.71,4.73,2.86,2.70,2.67,2.23,2.38,1.78,1.32,0.41,1.72
11,EV/EBITDA Ratio,142.72,-,58.49,-9.77,-,-,-,-,-,-,12.69
12,EV/EBIT Ratio,279.30,-,59.40,-9.72,-,-,-,-,-,-,13.11
13,EV/FCF Ratio,-6.09,-16.80,-,-26.23,-,-,-7.83,-,-4.52,-,-
14,Debt / Equity Ratio,0.89,0.89,0.97,1.14,1.12,0.89,0.64,0.61,0.57,0.60,0.34
15,Debt / FCF Ratio,-,-4.31,-,-14.29,-,-,-2.93,-,-1.86,-,-
16,Return on Capital Employed (ROCE),0.73%,-,2.45%,-7.80%,-,-,-,-,-,-,12.32%
17,Earnings Yield,3.09%,0.65%,0.79%,-16.75%,-22.56%,-4.99%,-5.47%,8.64%,0.91%,-24.43%,-5.08%
18,FCF Yield,-37.33%,-7.80%,-9.83%,-7.77%,-50.07%,-17.94%,-19.11%,3.34%,-33.02%,-100.31%,-4.60%
19,Buyback Yield / Dilution,-51.62%,-50.00%,-53.25%,-,-,-,-,-,-1.88%,-33.33%,-30.87%
20,Total Shareholder Return,-51.62%,-50.00%,-53.25%,-,-,-,-,-,-1.88%,-33.33%,-30.87%
