,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,948.52,1111,1072,977.57,550.58,570.93,677.64,430.12,350,205.01
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,120
2,Cash & Short-Term Investments,948.52,1111,1072,977.57,550.58,570.93,677.64,430.12,350,325.01
3,Cash Growth,-11.51%,13.66%,94.69%,71.22%,-18.75%,32.74%,93.61%,32.34%,46.62%,-18.80%
4,Accounts Receivable,1142,981.54,738.11,817.89,1147,1213,1286,988.2,673.5,437.79
5,Other Receivables,-,4.74,-,7.41,-,8.08,-,4.1,-,2.64
6,Receivables,1142,986.28,738.11,825.31,1147,1221,1286,992.3,673.5,440.43
7,Inventory,968.72,857.08,883.53,1055,1069,1034,758.83,675.42,588.08,618.85
8,Other Current Assets,16.83,8.6,19.53,12.34,65.32,42.66,117.79,37.93,51.74,33.44
9,Total Current Assets,3076,2963,2713,2870,2832,2868,2840,2136,1663,1418
10,"Property, Plant & Equipment",643.32,639.04,636.8,607.7,610.32,623.14,544.81,552.69,499.83,497.71
11,Long-Term Investments,3.78,3.78,3.78,2.8,2.8,-,-,-,-,-
12,Other Intangible Assets,6.51,5.48,5.23,5.14,5.16,5.53,3.67,4.15,3.17,3.59
13,Long-Term Deferred Tax Assets,25.41,20.93,24.72,23.31,23.4,16.31,14.58,16.36,11.82,10.42
14,Total Assets,3755,3632,3384,3509,3474,3513,3403,2709,2178,1929
15,Accounts Payable,459.25,533.78,393.58,626.67,703.21,820.17,922.31,554.47,420.63,297.19
16,Accrued Expenses,-,51.67,-,48.46,-,53.25,-,41.82,-,29.48
17,Short-Term Debt,-,-,-,-,-,22.09,24.42,-,-,-
18,Current Portion of Leases,2,2.18,2.26,1.72,2,1.63,1.95,2.28,1.45,1.56
19,Current Income Taxes Payable,78.14,73.49,66.74,67.87,66.15,58.22,102.25,55.31,24.93,12.03
20,Current Unearned Revenue,-,92.11,-,78.8,-,180.78,-,164.72,-,47.4
21,Other Current Liabilities,172.02,52.98,195.01,48.9,212.52,76.58,227.49,76.74,134.17,51.52
22,Total Current Liabilities,711.42,806.21,657.59,872.41,983.88,1213,1278,895.34,581.17,439.17
23,Long-Term Leases,1.68,1.9,2.44,1.44,1.89,1.11,0.58,1.01,0.95,1.43
24,Long-Term Unearned Revenue,17.35,18.1,15.99,16.42,16.84,17.27,17.69,18,13,13
25,Long-Term Deferred Tax Liabilities,111.68,91.28,84.44,78.11,69.61,50.92,41.29,28.95,13.36,2.08
26,Other Long-Term Liabilities,12.62,13.16,13.14,12.1,10.9,9.7,8.5,7.3,6.1,4.9
27,Total Liabilities,854.74,930.65,773.6,980.47,1083,1292,1346,950.61,614.58,460.57
28,Common Stock,319.63,319.84,319.84,319.84,319.84,319.84,319.84,319.84,320,320.31
29,Additional Paid-In Capital,325.37,327.27,327.27,327.27,-,327.27,327.27,327.27,328.12,330.07
30,Retained Earnings,2323,2122,2003,1922,-,1614,1450,1151,956.41,859.19
31,Treasury Stock,-31.14,-27.43,-,-,-,-,-,-,-1.01,-0.75
32,Comprehensive Income & Other,-36.87,-39.66,-39.96,-39.96,2071,-39.96,-39.96,-39.96,-39.96,-39.96
33,Shareholders' Equity,2900,2702,2610,2529,2390,2221,2057,1758,1564,1469
34,Total Liabilities & Equity,3755,3632,3384,3509,3474,3513,3403,2709,2178,1929
35,Total Debt,3.68,4.09,4.7,3.16,3.89,24.84,26.95,3.29,2.4,2.99
36,Net Cash (Debt),944.84,1107,1067,974.41,546.69,546.1,650.69,426.82,347.6,322.02
37,Net Cash Growth,-11.47%,13.60%,95.22%,78.43%,-15.98%,27.94%,87.20%,32.54%,47.48%,-19.55%
38,Net Cash Per Share,2.50,2.92,2.80,2.56,1.44,1.43,1.71,1.12,0.91,0.84
39,Filing Date Shares Outstanding,377.52,377.55,380.8,380.8,380.8,380.8,380.8,380.8,380.97,381.23
40,Total Common Shares Outstanding,377.52,377.55,380.8,380.8,380.8,380.8,380.8,380.8,380.97,381.23
41,Working Capital,2365,2157,2056,1998,1848,1655,1562,1240,1082,978.55
42,Book Value Per Share,7.68,7.16,6.85,6.64,6.28,5.83,5.40,4.62,4.10,3.85
43,Tangible Book Value,2894,2696,2605,2524,2385,2216,2053,1754,1560,1465
44,Tangible Book Value Per Share,7.67,7.14,6.84,6.63,6.26,5.82,5.39,4.61,4.10,3.84
45,Buildings,-,457.91,-,457.91,-,454.89,-,442.68,-,274.68
46,Machinery,-,473.16,-,462.08,-,435.34,-,372.43,-,353.95
47,Construction In Progress,-,79.99,-,20.9,-,57.62,-,42.02,-,135.56
48,Leasehold Improvements,-,47.7,-,43.39,-,-,-,-,-,-
