,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,1978,1625,1494,1847,2200,2050,2370,1738,1379,867.72
1,Revenue Growth (YoY),32.37%,-11.98%,-32.08%,-9.90%,-7.17%,17.92%,71.91%,100.31%,28.16%,-28.19%
2,Cost of Revenue,1343,1144,1080,1345,1666,1535,1712,1293,1058,710.4
3,Gross Profit,634.94,481.46,414.08,502.02,534.1,514.2,658.83,444.69,320.62,157.32
4,"Selling, General & Admin",178.69,139.44,130.27,123.57,130.33,133.06,125.59,114.76,105.99,88.13
5,Operating Expenses,178.69,139.42,130.27,122.63,130.33,133.82,125.59,115.58,105.99,88.13
6,Operating Income,456.25,342.04,283.81,379.39,403.77,380.38,533.24,329.11,214.64,69.19
7,Interest Expense,-0.4,-0.39,-0.61,-0.6,-0.07,-1.08,-1.06,-0.03,-0.96,-0.03
8,Interest & Investment Income,-,27.66,-,10.02,-,12.39,-,4.03,6.59,2.02
9,Currency Exchange Gain (Loss),-,-,-,1.7,-,-5.26,-,-1.47,-0.23,-0.93
10,Other Non Operating Income (Expenses),35.71,6.38,41.51,6.65,38.51,34.72,21.85,24.02,2.53,2.75
11,EBT Excluding Unusual Items,491.56,375.7,324.71,397.17,442.21,421.16,554.02,355.65,222.57,73
12,Gain (Loss) on Sale of Investments,-0.07,0.99,1.33,1.08,0.57,1.47,-1.59,-2.42,-5.55,4.74
13,Gain (Loss) on Sale of Assets,-,-,-,-,-,-0.89,-,0.01,0.01,0.12
14,Other Unusual Items,-,-,-,-,-,-10.87,-100,-,-,-
15,Pretax Income,491.49,376.7,326.04,398.24,442.78,414,559.84,353.24,217.02,77.86
16,Income Tax Expense,151.46,117.98,104.78,119.75,142.08,124.25,182.18,109.65,68.66,22.78
17,Net Income,340.04,258.71,221.26,278.5,300.69,289.75,377.66,243.59,148.36,55.08
18,Net Income to Common,340.04,258.71,221.26,278.5,300.69,289.75,377.66,243.59,148.36,55.08
19,Net Income Growth,53.68%,-7.10%,-26.42%,-3.88%,-20.38%,18.95%,154.56%,342.26%,47.26%,-62.86%
20,Shares Outstanding (Basic),378,379,381,381,381,381,381,381,381,381
21,Shares Outstanding (Diluted),378,379,381,381,381,381,381,381,381,381
22,Shares Change (YoY),-0.86%,-0.35%,-,-,-,-0.00%,-0.04%,-0.15%,-0.10%,-0.00%
23,EPS (Basic),0.90,0.68,0.58,0.73,0.79,0.76,0.99,0.64,0.39,0.14
24,EPS (Diluted),0.90,0.68,0.58,0.73,0.79,0.76,0.99,0.64,0.39,0.14
25,EPS Growth,55.02%,-7.01%,-26.42%,-4.01%,-20.38%,18.95%,154.67%,342.92%,47.42%,-62.48%
26,Free Cash Flow,-22,196.58,222.97,562.4,146.88,41.4,290.81,127.74,73.88,136.57
27,Free Cash Flow Per Share,-0.06,0.52,0.59,1.48,0.39,0.11,0.76,0.34,0.19,0.36
28,Dividend Per Share,0.406,0.365,0.373,0.338,0.363,0.316,0.331,0.206,0.131,0.137
29,Dividend Growth,9.00%,8.25%,2.81%,6.65%,9.48%,53.87%,151.93%,49.75%,-3.88%,11.05%
30,Operating Margin,23.07%,21.05%,18.99%,20.55%,18.35%,18.56%,22.50%,18.93%,15.57%,7.97%
31,Profit Margin,17.19%,15.92%,14.81%,15.08%,13.67%,14.14%,15.93%,14.01%,10.76%,6.35%
32,Free Cash Flow Margin,-1.11%,12.10%,14.92%,30.46%,6.68%,2.02%,12.27%,7.35%,5.36%,15.74%
33,EBITDA,482.74,367.42,311.38,406.7,433.33,407.78,559.66,350.28,236.79,90.97
34,D&A For EBITDA,26.49,25.38,27.57,27.31,29.56,27.4,26.42,21.17,22.15,21.78
35,EBIT,456.25,342.04,283.81,379.39,403.77,380.38,533.24,329.11,214.64,69.19
