,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+13 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+13 Quarters
0,Cash & Equivalents,10824,9546,9708,7506,7485,9509,-,6725,5859,17435,9155,12747,-,10294,6887,13620,12626,41851,40108,41217,Upgrade
1,Short-Term Investments,52000,52000,52000,52000,50000,50000,-,50000,50000,40000,40000,40000,-,40000,40000,35000,30000,-,-,-,Upgrade
2,Cash & Short-Term Investments,62824,61546,61708,59506,57485,59509,-,56725,55859,57435,49155,52747,50294,50294,46887,48620,42626,41851,40108,41217,Upgrade
3,Cash Growth,9.29%,3.42%,-,4.90%,2.91%,3.61%,-,7.54%,11.07%,14.20%,4.84%,8.49%,17.99%,20.17%,16.90%,17.96%,13.80%,9.01%,9.55%,15.45%,Upgrade
4,Accounts Receivable,8911,8375,9560,12910,17318,11845,-,15681,12788,9545,16276,9037,-,8648,9081,10261,12873,11238,11982,12721,Upgrade
5,Other Receivables,15210,4348,2611,2192,3404,2701,-,1806,3288,2555,1476,1638,-,2589,1915,1239,641.8,1191,655.95,689.74,Upgrade
6,Receivables,24121,12723,12171,15101,20722,14546,-,17487,16075,12100,17751,10675,-,11237,10996,11500,13515,12429,12638,13411,Upgrade
7,Inventory,2568,2603,3044,2471,2770,3928,-,3830,3447,2889,2055,2722,-,2055,2408,2120,2328,2378,2476,2679,Upgrade
8,Prepaid Expenses,358.91,425.35,538.47,858.62,854.97,708.67,-,802.08,729.7,742.77,590.05,347.81,-,677.24,847.78,960.79,914.72,705.64,980.83,831.46,Upgrade
9,Other Current Assets,876.24,653.02,464.49,457.29,444.75,110.3,-,88.7,154.42,30,74.72,30,-,33,919.56,946.52,888.53,829.43,1185,2068,Upgrade
10,Total Current Assets,90749,77951,77925,78395,82277,78802,-,78933,76265,73197,69626,66521,-,64296,62059,64146,60272,58194,57388,60207,Upgrade
11,"Property, Plant & Equipment",46676,53868,55607,58305,59193,60486,-,61254,62992,64735,66229,68013,-,71585,73761,72557,74641,76749,77486,77461,Upgrade
12,Long-Term Investments,3121,3173,3008,3008,3008,3008,-,2904,2904,2904,2912,2912,-,2912,3292,3292,3316,3316,3283,3330,Upgrade
13,Other Intangible Assets,3052,2250,2250,2250,2250,2250,-,2250,2250,2250,2250,2250,-,2250,2250,2250,2250,2250,2250,2250,Upgrade
14,Other Long-Term Assets,4636,14822,14341,12730,12781,12929,-,13007,12899,12445,12309,12203,-,12485,11799,11891,11814,12119,12000,11476,Upgrade
15,Total Assets,148234,152065,153133,154688,159510,157476,-,158349,157310,155531,153326,151900,-,153528,153161,154137,152293,152628,152408,154724,Upgrade
16,Accounts Payable,207.06,63.74,1050,2000,2812,1287,-,2418,711.7,176.48,590.55,456.93,-,226.96,516.47,383.79,741.4,472.2,1044,1726,Upgrade
17,Accrued Expenses,3001,2218,2410,2625,1389,3647,-,3173,1849,3571,2894,1650,-,3834,3097,2557,1336,3284,1981,1785,Upgrade
18,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,204.06,Upgrade
19,Current Income Taxes Payable,-,217.42,556,1074,1477,620.89,-,1229,1127,582.3,1673,344.15,-,571.33,1079,954.68,1113,367.75,873.92,1225,Upgrade
20,Current Unearned Revenue,270,360,-,68.18,136.36,204.55,-,136.36,204.55,272.73,-,68.18,-,204.55,204.55,136.36,204.55,272.73,-,45.45,Upgrade
21,Other Current Liabilities,303.73,883.37,1014,984.05,659.88,793.82,-,826.17,655.53,761.74,791.33,4127,-,588.15,688.67,3662,675.99,632.63,729.99,2806,Upgrade
22,Total Current Liabilities,3782,3743,5029,6752,6474,6554,-,7781,4548,5364,5949,6646,-,5425,5586,7695,4071,5030,4629,7792,Upgrade
23,Long-Term Unearned Revenue,-,270,-,-,-,-,-,204.55,204.55,204.55,-,-,-,-,68.18,204.55,204.55,204.55,-,68.18,Upgrade
24,Other Long-Term Liabilities,1230,1230,1230,1230,1431,1230,-,1506,1562,1506,1647,1647,-,596.49,596.49,596.49,546.49,546.49,546.49,546.49,Upgrade
25,Total Liabilities,5012,5243,6259,7982,7905,7784,-,9492,6315,7075,7596,8293,-,6022,6250,8496,4822,5781,5175,8407,Upgrade
26,Common Stock,138000,138000,138000,138000,138000,138000,-,138000,138000,138000,138000,138000,-,138000,138000,138000,138000,138000,138000,138000,Upgrade
27,Retained Earnings,5222,8822,8874,8706,13605,11692,-,10856,12996,10456,7730,5606,-,9506,8910,7641,9471,8847,9232,8317,Upgrade
28,Shareholders' Equity,143222,146822,146874,146706,151605,149692,-,148856,150996,148456,145730,143606,147506,147506,146910,145641,147471,146847,147232,146317,Upgrade
29,Total Liabilities & Equity,148234,152065,153133,154688,159510,157476,-,158349,157310,155531,153326,151900,-,153528,153161,154137,152293,152628,152408,154724,Upgrade
30,Total Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,204.06,Upgrade
31,Net Cash (Debt),62824,61546,61708,59506,57485,59509,-,56725,55859,57435,49155,52747,50294,50294,46887,48620,42626,41851,40108,41013,Upgrade
32,Net Cash Growth,9.29%,3.42%,-,4.90%,2.91%,3.61%,-,7.54%,11.07%,14.20%,4.84%,8.49%,17.99%,20.17%,16.90%,18.55%,15.05%,10.77%,12.05%,18.27%,Upgrade
33,Net Cash Per Share,4489.32,4756.38,4416.95,4305.61,4176.55,3348.19,-,4104.70,4047.78,4170.78,3564.95,3845.68,4073.27,3629.80,3381.46,3525.23,3072.43,3042.95,2889.98,2979.32,Upgrade
34,Filing Date Shares Outstanding,13.8,12.94,13.97,13.82,13.76,17.77,13.76,13.82,13.8,13.77,13.79,13.72,12.35,13.86,13.87,13.79,13.87,13.75,13.88,13.77,Upgrade
35,Total Common Shares Outstanding,13.8,12.94,13.97,13.82,13.76,17.77,13.76,13.82,13.8,13.77,13.79,13.72,12.35,13.86,13.87,13.79,13.87,13.75,13.88,13.77,Upgrade
36,Working Capital,86967,74208,72896,71643,75803,72248,-,71152,71718,67833,63676,59875,-,58871,56473,56451,56201,53164,52760,52415,Upgrade
37,Book Value Per Share,10378.41,11346.63,10513.06,10615.10,11014.74,8422.21,-,10771.35,10941.73,10780.51,10569.11,10470.02,10645.74,10645.74,10595.04,10559.94,10629.59,10677.03,10608.89,10628.91,Upgrade
38,Tangible Book Value,140170,144572,144624,144456,149355,147442,-,146606,148745,146206,143480,141356,145256,145256,144660,143391,145221,144597,144982,144067,Upgrade
39,Tangible Book Value Per Share,10157.28,11172.72,10351.99,10452.28,10851.25,8295.60,-,10608.52,10778.67,10617.10,10405.91,10305.96,10483.34,10483.34,10432.76,10396.78,10467.39,10513.42,10446.75,10465.45,Upgrade
40,Buildings,83925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
41,Machinery,104421,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
42,Construction In Progress,643.41,692.88,639.41,1544,639.41,639.41,-,639.41,639.41,639.41,639.41,639.41,-,639.41,639.41,639.41,615.8,615.8,2310,215.23,Upgrade
