,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,196.87,184.5,181.31,163.4,136.39
1,Revenue Growth (YoY),8.58%,12.92%,32.93%,-,-
2,Cost of Revenue,118.48,110.02,110.34,100.12,79.42
3,Gross Profit,78.39,74.48,70.97,63.28,56.97
4,"Selling, General & Admin",21.09,22.95,23.41,21.27,9.35
5,Operating Expenses,21.09,22.95,23.41,21.27,9.35
6,Operating Income,57.29,51.53,47.56,42.01,47.62
7,Interest Expense,-1.75,-1.62,-2.4,-1.64,-1.75
8,Interest & Investment Income,0.53,1.23,1.27,0.09,0.16
9,Currency Exchange Gain (Loss),-,0.09,-,-,-
10,Other Non Operating Income (Expenses),0.4,1.24,-0.64,-8.89,-7.77
11,EBT Excluding Unusual Items,56.47,52.48,45.78,31.57,38.26
12,Gain (Loss) on Sale of Assets,-,-,-,0,-
13,Other Unusual Items,-,1.87,-,-,-
14,Pretax Income,56.47,54.35,45.78,31.57,38.26
15,Income Tax Expense,8.26,8.32,7.2,7.03,5.81
16,Earnings From Continuing Operations,48.21,46.03,38.58,24.54,32.44
17,Minority Interest in Earnings,-0.37,-0.23,-0.41,0.23,-0.71
18,Net Income,47.83,45.8,38.18,24.77,31.74
19,Net Income to Common,47.83,45.8,38.18,24.77,31.74
20,Net Income Growth,25.30%,84.86%,20.29%,-,-
21,Shares Outstanding (Basic),1000,1001,907,810,810
22,Shares Outstanding (Diluted),1000,1001,907,810,810
23,Shares Change (YoY),10.31%,23.55%,11.92%,-,-
24,EPS (Basic),0.05,0.05,0.04,0.03,0.04
25,EPS (Diluted),0.05,0.05,0.04,0.03,0.04
26,EPS Growth,13.60%,49.62%,7.48%,-,-
27,Free Cash Flow,58.23,28.94,31.78,0.83,12.9
28,Free Cash Flow Per Share,0.06,0.03,0.04,0.00,0.02
29,Operating Margin,29.10%,27.93%,26.23%,25.71%,34.91%
30,Profit Margin,24.30%,24.82%,21.06%,15.16%,23.27%
31,Free Cash Flow Margin,29.58%,15.69%,17.53%,0.51%,9.46%
32,EBITDA,60.73,55.01,50.95,45.35,49.76
33,D&A For EBITDA,3.44,3.48,3.39,3.34,2.14
34,EBIT,57.29,51.53,47.56,42.01,47.62
