,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,245,295,2070,580,-,-
1,Market Cap Growth,-49.14%,-49.14%,-,-,-,-
2,Enterprise Value,-85,18,1839,552,-,-
3,Last Close Price,0.24,0.29,2.07,0.58,-,-
4,PE Ratio,2.44,2.93,22.38,8.53,-,-
5,PS Ratio,0.60,0.72,5.14,1.56,-,-
6,PB Ratio,0.46,0.55,4.19,1.33,-,-
7,P/TBV Ratio,0.56,0.56,4.22,1.34,-,-
8,P/FCF Ratio,2.62,3.15,30.95,16.46,-,-
9,P/OCF Ratio,2.32,2.32,17.87,10.89,-,-
10,EV/Sales Ratio,0.04,0.04,4.56,1.48,-,-
11,EV/EBITDA Ratio,0.14,0.14,15.75,5.31,-,-
12,EV/EBIT Ratio,0.15,0.15,16.85,5.71,-,-
13,EV/FCF Ratio,-0.91,0.19,27.49,15.68,-,-
14,Debt / Equity Ratio,0.14,0.14,0.14,0.16,0.37,-
15,Debt / FCF Ratio,0.81,0.81,1.01,1.97,5.30,-
16,Return on Capital Employed (ROCE),21.50%,21.50%,21.16%,21.52%,41.33%,-
17,Earnings Yield,41.06%,34.10%,4.47%,11.73%,-,-
18,FCF Yield,38.23%,31.75%,3.23%,6.08%,-,-
19,Buyback Yield / Dilution,-16.56%,-10.31%,-23.55%,-11.92%,-,-
20,Total Shareholder Return,-16.56%,-10.31%,-23.55%,-11.92%,-,-
