,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,322,578,789,881,928,975,1253,1378,1362,1282,1858,Upgrade
1,Market Cap Growth,-34.39%,-34.39%,-15.00%,-9.57%,-25.96%,-29.25%,-7.97%,7.50%,-26.72%,-39.39%,-18.31%,Upgrade
2,Enterprise Value,26392,26915,27199,27323,27420,27884,28745,29151,30361,29159,29424,Upgrade
3,Last Close Price,0.10,0.19,0.26,0.28,0.30,0.32,0.41,0.43,0.42,0.40,0.57,Upgrade
4,PE Ratio,-,-,-,-,-,-7.92,-,-,-,-,14.75,Upgrade
5,PS Ratio,0.12,0.22,0.28,0.33,0.23,0.17,0.31,0.79,0.94,0.55,0.64,Upgrade
6,PB Ratio,0.05,0.04,0.05,0.05,0.05,0.05,0.06,0.07,0.06,0.06,0.09,Upgrade
7,P/TBV Ratio,0.08,0.08,0.10,0.11,0.11,0.11,0.14,0.15,0.14,0.13,0.19,Upgrade
8,P/FCF Ratio,1.69,-,1.40,1.31,1.40,2.10,7.21,1.13,0.96,20.06,-,Upgrade
9,P/OCF Ratio,2.08,2.08,1.26,1.20,1.27,1.19,1.72,0.79,0.59,0.95,2.39,Upgrade
10,EV/Sales Ratio,10.16,10.36,9.68,10.15,6.85,4.79,7.15,16.79,20.86,12.42,10.12,Upgrade
11,EV/EBITDA Ratio,56.65,271.32,107.29,277.11,-,20.51,52.01,-266.71,-,-,52.36,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,28.11,141.95,-,-,-,130.37,Upgrade
13,EV/FCF Ratio,138.98,-,48.32,40.73,41.41,60.02,165.29,23.92,21.50,456.32,-,Upgrade
14,Debt / Equity Ratio,1.31,1.31,1.23,1.12,1.06,0.99,1.03,1.04,0.97,0.92,0.95,Upgrade
15,Debt / FCF Ratio,105.08,-,35.82,29.65,29.78,41.44,115.96,17.69,14.45,320.53,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,2.67%,0.53%,-,-,-,0.54%,Upgrade
17,Earnings Yield,-278.96%,-146.86%,-85.01%,-61.23%,-17.11%,-7.59%,-23.69%,-18.85%,-39.64%,-20.23%,9.41%,Upgrade
18,FCF Yield,59.04%,32.84%,71.38%,76.11%,71.36%,47.67%,13.88%,88.45%,103.69%,4.99%,-27.07%,Upgrade
19,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,2.28%,Upgrade
20,Buyback Yield / Dilution,0.01%,-,0.03%,0.04%,0.78%,3.43%,2.69%,-,-,-,-,Upgrade
21,Total Shareholder Return,0.01%,-,0.03%,0.04%,0.78%,3.43%,2.69%,-,-,-,2.28%,Upgrade
