,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+15 Quarters
0,Cash & Equivalents,34003,27306,31618,16683,14806,5521,11600,-,5164,11642,24842,19027,27561,-,29472,31346,15631,-,41621,35751,Upgrade
1,Short-Term Investments,1500,1500,1000,1000,2000,2000,2000,-,3000,3000,2800,2800,1800,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,35503,28806,32618,17683,16806,7521,13600,8164,8164,14642,27642,21827,29361,-,29472,31346,15631,-,41621,35751,Upgrade
3,Cash Growth,111.25%,283.03%,139.84%,116.58%,105.85%,-48.64%,-50.80%,-62.60%,-72.19%,-,-6.21%,-30.36%,87.84%,-,-29.19%,-12.32%,-66.13%,-,-9.17%,13.23%,Upgrade
4,Accounts Receivable,10413,18549,15493,15012,15401,15397,11574,-,8783,11323,14496,15692,12904,-,16834,18052,8333,-,12383,10561,Upgrade
5,Other Receivables,908.78,1964,3206,3008,2858,2885,1370,-,1125,1296,1274,1145,792.54,-,581.27,1152,574.26,-,624.13,500.3,Upgrade
6,Receivables,11321,20514,18698,18020,18258,18282,12944,-,9908,12618,15770,16837,13697,-,17415,19204,8907,-,13007,11061,Upgrade
7,Inventory,1508,1032,659.15,719.33,728.42,1063,1166,-,1198,1138,1306,856.82,1233,-,789.19,992.21,729.28,-,715.96,1012,Upgrade
8,Prepaid Expenses,434.69,288.59,340.27,342.99,312.97,69.67,159.97,-,160.06,44.39,64.88,144.02,99.69,-,84.55,143.06,122.59,-,295.24,100.09,Upgrade
9,Other Current Assets,1838,2439,1109,777.75,1466,940.49,517.41,-,17971,918.06,761.75,6703,3019,-,1072,735.37,726.25,-,481.72,224,Upgrade
10,Total Current Assets,50605,53078,53424,37543,37572,27875,28388,-,37402,29362,45545,46368,47408,-,48833,52420,26116,-,56120,48149,Upgrade
