,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,44,50,80,84,128,149,107,121,155,118,760
1,Market Cap Growth,-40.95%,-40.95%,-37.50%,-43.55%,19.40%,23.18%,-30.93%,2.72%,-79.58%,-75.50%,245.45%
2,Enterprise Value,66,47,106,98,147,159,129,149,194,154,807
3,Last Close Price,0.06,0.06,0.10,0.10,0.16,0.19,0.13,0.15,0.19,0.15,0.95
4,PE Ratio,11.69,13.18,122.14,-,-,84.45,47.86,199.01,-,117600.00,-
5,PS Ratio,0.22,0.24,0.41,0.38,0.54,0.48,0.31,0.41,0.64,0.32,1.68
6,PB Ratio,0.56,0.63,1.03,1.12,1.67,1.38,1.00,1.14,1.48,1.11,7.23
7,P/TBV Ratio,0.63,0.63,1.03,1.12,1.67,1.38,1.00,1.14,1.48,1.11,7.23
8,P/FCF Ratio,5.80,-,2.72,-,549.36,-,5.65,5.55,10.82,-,-
9,P/OCF Ratio,6.71,-,2.59,-,250.00,-,4.39,4.67,8.39,28.45,-
10,EV/Sales Ratio,0.32,0.23,0.55,0.44,0.62,0.52,0.38,0.51,0.80,0.41,1.78
11,EV/EBITDA Ratio,3.98,3.55,10.70,-3.98,-,17.11,10.91,18.63,295.43,-,105.17
12,EV/EBIT Ratio,18.28,13.02,107.77,-,-,-,63.20,-248.26,-,-,354.76
13,EV/FCF Ratio,8.72,-,3.61,-,631.66,-,6.82,6.87,13.49,-,-
14,Debt / Equity Ratio,0.48,0.48,0.40,0.52,0.40,0.30,0.23,0.30,0.41,0.45,0.46
15,Debt / FCF Ratio,5.00,-,1.05,-,133.21,-,1.32,1.46,3.02,-,-
16,Return on Capital Employed (ROCE),4.20%,4.20%,1.20%,-,-,-,1.86%,-0.55%,-,-,2.08%
17,Earnings Yield,8.55%,7.61%,0.82%,-38.85%,-23.47%,1.18%,2.09%,0.50%,-0.35%,0.00%,0.04%
18,FCF Yield,17.24%,15.29%,36.73%,7.02%,0.18%,2.86%,17.70%,18.01%,9.24%,-3.04%,-1.82%
