,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Revenue,120.59,83.18,110.86,112.24,126.72,180.59,163.7,131.68,109.31,263.72
1,Revenue Growth (YoY),8.77%,-25.89%,-12.51%,-37.85%,-22.59%,37.14%,49.76%,-50.07%,-42.14%,40.46%
2,Cost of Revenue,105.34,68.31,97.1,131.87,113.68,168.42,151.08,118.57,103.38,250.43
3,Gross Profit,15.25,14.87,13.77,-19.62,13.03,12.17,12.62,13.12,5.92,13.29
4,"Selling, General & Admin",13.95,12.09,15.56,13.83,13.56,10.1,11.34,12.82,11.83,12.35
5,Operating Expenses,13.31,13.19,14.46,13.73,13.66,10.57,12.17,14.16,11.81,12.6
6,Operating Income,1.93,1.68,-0.7,-33.35,-0.63,1.6,0.45,-1.05,-5.89,0.69
7,Interest Expense,-0.81,-0.81,-0.95,-0.96,-0.72,-0.42,-0.95,-1.15,-1.07,-1.32
8,Interest & Investment Income,0.07,0.08,0.07,0.1,0.08,0.07,0.06,0.07,0.07,0.07
9,Other Non Operating Income (Expenses),0.36,0.14,0.01,0.36,0.17,0.04,2.47,1.86,2.39,0.15
10,EBT Excluding Unusual Items,1.55,1.09,-1.57,-33.85,-1.1,1.29,2.04,-0.27,-4.5,-0.41
11,Gain (Loss) on Sale of Assets,-,-,-,-,-,-0.25,-,0.04,0.09,-
12,Legal Settlements,-,1.14,-,-,-,-,-,-,-,-
13,Other Unusual Items,-,-,-,0.07,2.16,-,-,-,4.76,-
14,Pretax Income,1.55,2.23,-1.57,-33.78,1.06,1.04,2.04,-0.23,0.34,-0.41
15,Income Tax Expense,-,-,-,-2.72,0.04,0.3,0.54,0.66,0,-0.07
16,Earnings From Continuing Operations,1.55,2.23,-1.57,-31.06,1.02,0.74,1.5,-0.89,0.34,-0.34
17,Net Income,1.55,2.23,-1.57,-31.06,1.02,0.74,1.5,-0.89,0.34,-0.34
18,Preferred Dividends & Other Adjustments,0.01,-,-,-,-,-,-,-,-,-
19,Net Income to Common,1.54,2.23,-1.57,-31.06,1.02,0.74,1.5,-0.89,0.34,-0.34
20,Net Income Growth,-,-,-,-,-31.93%,-,340.29%,-,-45.77%,-
21,Shares Outstanding (Basic),800,800,800,800,800,800,800,800,800,800
22,Shares Outstanding (Diluted),800,800,800,800,800,800,800,800,800,800
23,EPS (Basic),0.00,0.00,-0.00,-0.04,0.00,0.00,0.00,-0.00,0.00,-0.00
24,EPS (Diluted),0.00,0.00,-0.00,-0.04,0.00,0.00,0.00,-0.00,0.00,-0.00
25,EPS Growth,-,-,-,-,-31.96%,-,340.24%,-,-45.72%,-
26,Free Cash Flow,-23.81,31.39,-2.01,7.91,-7.68,11.94,7.04,14.72,-0.38,-3.2
27,Free Cash Flow Per Share,-0.03,0.04,-0.00,0.01,-0.01,0.01,0.01,0.02,-0.00,-0.00
28,Operating Margin,1.60%,2.02%,-0.63%,-29.71%,-0.49%,0.89%,0.27%,-0.80%,-5.39%,0.26%
29,Profit Margin,1.27%,2.68%,-1.42%,-27.67%,0.80%,0.41%,0.91%,-0.68%,0.31%,-0.13%
30,Free Cash Flow Margin,-19.74%,37.74%,-1.81%,7.05%,-6.06%,6.61%,4.30%,11.17%,-0.34%,-1.21%
31,EBITDA,8.41,4.84,5.07,-29.61,4.42,4.87,6.99,1.03,-0.38,0.46
32,D&A For EBITDA,6.48,3.16,5.77,3.74,5.05,3.27,6.55,2.08,5.51,-0.23
33,EBIT,1.93,1.68,-0.7,-33.35,-0.63,1.6,0.45,-1.05,-5.89,0.69
