,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,93,60,88,60,82,82,186,238,443,180,220
1,Market Cap Growth,0%,0%,7.25%,-27.54%,-55.71%,-65.30%,-58.02%,31.76%,102.04%,-63.85%,-77.13%
2,Enterprise Value,-8,-53,-91,-179,-84,-134,37,119,312,64,86
3,Last Close Price,0.08,0.05,0.07,0.05,0.07,0.07,0.17,0.22,0.41,0.17,0.21
4,PE Ratio,17.52,-,6.89,-,-,-,-,8.64,14.54,89.48,-
5,PS Ratio,0.15,0.09,0.18,0.16,0.24,0.31,0.72,0.83,1.56,0.72,0.86
6,PB Ratio,0.27,0.17,0.26,0.19,0.24,0.24,0.51,0.64,1.19,0.57,0.75
7,P/TBV Ratio,0.17,0.17,0.26,0.19,0.24,0.25,0.52,0.66,1.23,0.60,0.79
8,P/FCF Ratio,-,-,-,-,3.36,-,1.76,39.74,-,-40.06,-
9,P/OCF Ratio,-,-,-,-,3.11,-,1.76,33.72,-,-367.70,-
10,EV/Sales Ratio,-,-,-,-,-,-,0.14,0.42,1.10,0.25,0.34
11,EV/EBITDA Ratio,-,-,-,-,-,-,2.35,2.47,5.50,7.77,-
12,EV/EBIT Ratio,-,-,-,-,-,-,3.08,2.75,6.11,25.86,-
13,EV/FCF Ratio,0.11,-,-,-,-,-,0.35,19.96,-,-14.11,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.02,0.06
15,Debt / FCF Ratio,-,-,-,-,0.12,-,0.01,0.25,-,-1.48,-
16,Return on Capital Employed (ROCE),5.66%,-,3.01%,-,-,-,3.25%,11.64%,13.65%,0.77%,-
17,Earnings Yield,5.71%,8.91%,14.51%,-54.05%,-46.03%,-24.66%,-3.05%,11.57%,6.88%,1.12%,-2.24%
18,FCF Yield,-81.65%,-127.38%,-130.38%,-6.09%,29.77%,50.93%,56.91%,2.52%,-3.60%,-2.50%,-3.50%
19,Buyback Yield / Dilution,-1.39%,-,-2.83%,-,-6.13%,-9.13%,-6.08%,-6.26%,0.08%,0.15%,0.41%
20,Total Shareholder Return,-1.39%,-,-2.83%,-,-6.13%,-9.13%,-6.08%,-6.26%,0.08%,0.15%,0.41%
