,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,12.21,15.8,14.98,15.32,28.77,32.43,26.47,21.7,25.9,25.52
1,Short-Term Investments,2.7,1.42,13.87,22.29,0.25,0.28,0.32,0.13,1.19,1.09
2,Trading Asset Securities,2.74,2.9,3.21,3.71,3.74,6.41,1.3,1.16,-,0.48
3,Cash & Short-Term Investments,17.66,20.13,32.07,41.31,32.75,39.13,28.1,22.99,27.08,27.09
4,Cash Growth,-44.94%,-51.28%,-2.08%,5.57%,16.58%,70.23%,3.74%,-15.15%,-14.20%,14.28%
5,Accounts Receivable,16.06,16.2,11.78,13.08,9.05,10.48,8.32,10.66,5.66,12.06
6,Other Receivables,11,13.83,6.31,2.79,13.51,12.32,22.92,26.77,16.44,7.33
7,Receivables,27.06,30.03,18.09,15.87,22.56,22.8,31.24,37.43,22.1,19.39
8,Inventory,4.68,2.6,4.09,0.79,0.66,1.16,1.95,2.57,3.46,4.41
9,Prepaid Expenses,1.8,1.93,0.28,0.19,0.16,0.23,0.18,1.48,1.01,3.41
10,Other Current Assets,0.03,0.03,0.03,0.03,0.03,0.03,0.24,0.81,1.53,1.53
11,Total Current Assets,51.23,54.72,54.55,58.19,56.16,63.35,61.71,65.28,55.17,55.83
12,"Property, Plant & Equipment",16.4,16.12,7.14,6.77,7.09,6.61,6.94,7.41,8.73,8.74
13,Long-Term Investments,2.91,3.05,3.67,3.58,5.34,2.63,3.06,1.54,1.43,1.46
14,Long-Term Accounts Receivable,-,-,-,-,-,0.4,0.96,1.47,1.69,-
15,Total Assets,70.54,73.9,65.36,68.53,68.6,72.99,72.67,75.77,67.1,66.11
16,Accounts Payable,8.36,7.13,5.13,2.54,3.17,3.46,3.22,5.59,5.65,3.43
17,Accrued Expenses,1.7,4.07,1.31,4.8,0.84,3.69,1.98,2.38,3.16,4.75
18,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,0.5,2.62
19,Current Portion of Leases,0.56,0.31,0.31,0.37,0.35,0.16,0.21,0.27,0.45,0.36
20,Current Income Taxes Payable,0.17,0.26,0.22,0.15,0.67,1,1.62,2.09,1.28,0.98
21,Other Current Liabilities,2.4,2.54,2.53,2.49,0.42,0.99,0.56,0.65,0.13,0.18
22,Total Current Liabilities,13.19,14.3,9.51,10.35,5.45,9.3,7.6,10.97,11.18,12.32
23,Long-Term Leases,0.26,0.13,0.02,0.14,0.28,0.08,0.05,0.13,0.22,0.07
24,Long-Term Deferred Tax Liabilities,0.13,0.13,0.07,0.07,0.12,0.12,0.21,0.21,0.21,0.21
25,Total Liabilities,13.58,14.55,9.6,10.55,5.85,9.5,7.86,11.31,11.61,12.6
26,Common Stock,2.14,2.14,2.14,2.14,2.14,1.97,1.97,1.97,1.85,1.85
27,Additional Paid-In Capital,29.37,29.37,29.37,29.37,29.37,27.01,27.01,27.01,22.38,22.38
28,Retained Earnings,24.37,27.16,23.4,23.69,27.67,29.77,31.15,30.64,25.82,24.94
29,Comprehensive Income & Other,1.02,0.44,0.45,2.35,1.83,3.18,2.85,2.71,2.62,1.72
30,Total Common Equity,56.91,59.11,55.36,57.55,61.02,61.93,62.98,62.33,52.67,50.9
31,Minority Interest,0.06,0.24,0.4,0.43,1.73,1.56,1.83,2.14,2.82,2.61
32,Shareholders' Equity,56.96,59.35,55.77,57.98,62.74,63.49,64.81,64.46,55.49,53.51
33,Total Liabilities & Equity,70.54,73.9,65.36,68.53,68.6,72.99,72.67,75.77,67.1,66.11
34,Total Debt,0.82,0.43,0.33,0.51,0.63,0.24,0.26,0.4,1.17,3.05
35,Net Cash (Debt),16.84,19.7,31.74,40.8,32.12,38.89,27.83,22.59,25.91,24.04
36,Net Cash Growth,-46.96%,-51.72%,-1.18%,4.90%,15.41%,72.16%,7.42%,-6.03%,-7.82%,15.32%
37,Net Cash Per Share,0.01,0.02,0.03,0.04,0.03,0.04,0.03,0.02,0.03,0.02
38,Filing Date Shares Outstanding,1195,1195,1195,1195,1195,1095,1095,1095,1031,1031
39,Total Common Shares Outstanding,1195,1195,1195,1195,1195,1095,1095,1095,1031,1031
40,Working Capital,38.03,40.42,45.04,47.84,50.71,54.05,54.11,54.3,43.99,43.51
41,Book Value Per Share,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05
42,Tangible Book Value,56.91,59.11,55.36,57.55,61.02,61.93,62.98,62.33,52.67,50.9
43,Tangible Book Value Per Share,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05
44,Machinery,-,5.34,-,4.96,-,4.63,-,4.85,-,5.69
45,Leasehold Improvements,-,0.55,-,0.33,-,0.33,-,0.33,-,0.33
