,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,9900,8046,8240,9062,11425,12831,13160,15937,19299,15334,14038,Upgrade
1,Market Cap Growth,-11.22%,-11.22%,-27.88%,-29.37%,-13.18%,-19.49%,-31.81%,3.93%,37.48%,-17.54%,-40.01%,Upgrade
2,Enterprise Value,46775,48784,49826,48639,52197,54289,54710,60277,56516,51352,54958,Upgrade
3,Last Close Price,13.24,10.76,10.67,11.26,13.81,15.03,15.11,17.68,21.08,16.40,13.82,Upgrade
4,PE Ratio,-,-,-,11.87,65.89,-,32.19,-31.94,-,-,-,Upgrade
5,Forward PE,-,8.68,8.68,8.68,8.68,8.68,8.68,8.68,11.13,6.62,4.89,Upgrade
6,PS Ratio,0.91,0.74,0.76,0.85,1.16,1.44,1.58,2.04,1.73,1.49,1.93,Upgrade
7,PB Ratio,0.18,0.12,0.12,0.13,0.16,0.18,0.18,0.21,0.26,0.20,0.18,Upgrade
8,P/TBV Ratio,0.15,0.15,0.15,0.16,0.20,0.23,0.22,0.26,0.33,0.26,0.23,Upgrade
9,P/FCF Ratio,-,-,6.94,-,3.55,6.23,7.03,12.35,20.19,4.27,4.17,Upgrade
10,P/OCF Ratio,-,-,5.09,4.12,3.16,5.12,5.49,7.55,8.93,3.12,2.79,Upgrade
11,PEG Ratio,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.39,0.23,-,Upgrade
12,EV/Sales Ratio,4.30,4.48,4.59,4.57,5.29,6.11,6.55,7.70,5.07,4.98,7.57,Upgrade
13,EV/EBITDA Ratio,12.84,13.51,13.31,11.86,13.99,17.64,18.81,22.32,14.42,15.06,23.41,Upgrade
14,EV/EBIT Ratio,16.63,17.54,17.04,14.86,18.02,24.22,26.35,31.71,17.98,19.48,34.08,Upgrade
15,EV/FCF Ratio,-,-,41.95,-,16.22,26.38,29.25,46.73,59.12,14.28,16.34,Upgrade
16,Debt / Equity Ratio,0.49,0.49,0.51,0.49,0.47,0.47,0.45,0.44,0.50,0.39,0.40,Upgrade
17,Debt / FCF Ratio,-,-,29.45,-,10.41,16.17,17.53,25.95,38.04,8.22,9.45,Upgrade
18,Return on Capital Employed (ROCE),2.88%,2.88%,3.07%,3.70%,3.38%,2.37%,2.05%,1.83%,3.26%,2.60%,1.52%,Upgrade
19,Earnings Yield,-17.52%,-21.56%,-8.51%,8.43%,1.52%,-1.41%,3.11%,-3.13%,-14.57%,-55.69%,-64.18%,Upgrade
20,FCF Yield,-,14.41%,19.62%,28.16%,16.04%,14.22%,8.09%,4.95%,23.45%,23.97%,Upgrade,
21,Dividend Yield,6.57%,8.09%,8.15%,7.72%,6.30%,5.52%,5.49%,4.69%,3.94%,5.06%,6.00%,Upgrade
22,Buyback Yield / Dilution,-,-,0.02%,-2.17%,-2.29%,-1.51%,-2.97%,-0.15%,0.88%,-2.77%,Upgrade,
23,Total Shareholder Return,6.57%,8.09%,8.15%,7.74%,4.13%,3.23%,3.98%,1.72%,3.79%,5.94%,3.24%,Upgrade
